n_users,trial,V0,V_DG,V_Xstar,X_DG_size,Xstar_size,delta_hat_star,bound,ratio,slack,violated,valid,rollback_count,accepted_admissions,inner_call_count,runtime_sec,used_exact_inner,stage2_method,inner_solver_mode,centralized_success,centralized_solver
50,1,1249.6997373019901,972.7810274856602,894.6711220638904,10,17,53.945038584449996,3.5948051198055637,1.0873057188227786,2.507499400982785,False,True,28,38,68,0.010185999795794487,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,2,1246.872956182849,1031.4761245018817,940.6386051191573,7,15,40.88059233631588,1.9032045823277866,1.096570052396709,0.8066345299310775,False,True,27,34,63,0.007925800047814846,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,3,1156.225750123748,968.1055890860729,874.4970967282768,8,15,43.34058732234501,2.1988696173000433,1.1070426565256877,1.0918269607743556,False,True,26,34,62,0.009874800220131874,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,4,1171.1165977547457,1016.0207967751498,929.5020944752569,8,14,30.455800069535684,1.5316323121140172,1.0930806964439779,0.4385516156700393,False,True,32,40,74,0.009577600285410881,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,5,1140.5654938394941,949.0584086973589,884.4231916458659,9,15,41.01055799364311,2.092767466895253,1.0730817754012196,1.0196856914940333,False,True,27,36,65,0.03611589968204498,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,6,1092.9907548148883,960.7684918202823,867.6257008227158,5,15,30.642522413112893,1.677340075608292,1.1073536559708235,0.5699864196374684,False,True,26,31,59,0.006400099955499172,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,7,1293.5803978648785,1071.6764865511338,958.151149574775,10,17,42.58315313238526,2.1960157350920073,1.1184837455204653,1.077531989571542,False,True,27,37,66,0.012646700255572796,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,8,1063.951230360196,888.5229426238865,799.4767044819605,8,16,34.78454310936605,2.0283201564057842,1.1113806539236506,0.9169395024821336,False,True,28,36,66,0.019476700574159622,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,9,1148.1634048302028,1010.8865352039941,909.1644598969617,10,14,27.122729909511577,1.4588427323157493,1.1118852306639448,0.3469575016518045,False,True,26,36,64,0.00792280025780201,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,10,1262.7918738920691,1100.4748727977094,993.1730585022899,6,14,46.993688907466904,2.0099816894621387,1.108039392910266,0.9019422965518726,False,True,31,37,70,0.00856850016862154,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,11,1276.3939203352797,1067.357716002763,993.9855992194981,8,14,40.08938740452721,1.7287527152759294,1.0738160762498759,0.6549366390260536,False,True,26,34,62,0.014755700714886189,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,12,1181.4637712481388,1017.944709066695,942.0727165173765,6,14,38.10959318101837,1.764627535564782,1.080537299530125,0.684090236034657,False,True,28,34,64,0.009270700626075268,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,13,1143.011798103662,1009.8133120643807,930.6139285528766,6,13,31.37016360145708,1.5120268383141058,1.0851044467329871,0.42692239158111867,False,True,18,24,44,0.009747600182890892,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,14,1128.7006394527464,981.9436346020874,873.3267338462551,5,18,39.41528841683201,2.598328313233571,1.1243714368818964,1.4739568763516746,False,True,35,40,77,0.009645800106227398,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,15,1200.9297000733861,980.295643063923,896.8264002856411,9,15,42.99432517849863,2.08256206175451,1.09307179488884,0.9894902668656702,False,True,28,37,67,0.01197769958525896,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,16,1170.6186843102034,993.6342783102009,889.1041877856169,8,15,43.835075032892085,2.196063049278369,1.1175678755770169,1.0784951737013522,False,True,25,33,60,0.008816800080239773,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,17,1191.696759519733,1029.1174367569226,955.1137612049365,9,15,35.415719106963984,1.7507181920363095,1.0774815300102323,0.6732366620260772,False,True,30,39,71,0.015137400478124619,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,18,1212.6665168847726,1057.3030470800059,938.702792688683,5,15,41.10566426017521,1.9654371902022127,1.126344840257289,0.8390923499449237,False,True,29,34,65,0.013587100431323051,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,19,1178.477526585733,1011.0295836844679,955.4993710656171,8,14,26.910573797062057,1.4363534860947706,1.0581164303194892,0.37823705577528144,False,True,27,35,64,0.011362300254404545,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,20,1162.3593484119137,1025.767297348657,964.4031398565562,5,11,36.26602040388426,1.4750386021415018,1.0636291556467017,0.41140944649480016,False,True,23,28,53,0.006772999651730061,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,21,1212.073749501687,1042.6539873234537,943.3140384591845,6,16,45.90985566301587,2.44214591764949,1.1053095202807877,1.3368363973687025,False,True,31,37,70,0.015940699726343155,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,22,1205.0714356449614,997.2800489044286,914.5987747715816,9,14,43.59752835347544,1.953021882605447,1.09040168914888,0.8626201934565672,False,True,28,37,67,0.016677699983119965,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,23,1206.0559956531713,1040.0686247754184,960.591277204484,7,15,34.78294272365328,1.711607134549241,1.082737944281807,0.6288691902674339,False,True,33,40,75,0.012063399888575077,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,24,1012.0909978276546,878.8109509462716,814.3219216881546,5,11,44.166413592722776,1.8392501039124016,1.079193532116176,0.7600565717962255,False,True,28,33,63,0.014380499720573425,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
50,25,1237.9410471086462,1073.4657160716738,984.7698683280041,9,15,30.316624285646814,1.541927026687367,1.090067588983264,0.451859437704103,False,True,27,36,65,0.010278299450874329,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,1,2477.3381081771345,2283.04410588674,2129.9241647026815,9,18,31.571659320069003,1.2811443928332829,1.0718898558557048,0.209254536977578,False,True,70,79,151,0.03384090028703213,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,2,2294.647240408673,2073.0317976089214,1909.5171839485088,9,20,43.69283751251914,1.5842972053151732,1.0856313915553755,0.4986658137597977,False,True,32,41,75,0.012333800084888935,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,3,2403.135311956723,2196.2065783820344,2056.113364164399,8,19,46.66979864352116,1.553977389532886,1.0681349660282806,0.4858424235046055,False,True,73,81,156,0.024079900234937668,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,4,2454.1774830299864,2225.348689336825,2058.010471413357,10,19,36.98113671158973,1.3800438611138564,1.0813106737054388,0.2987331874084176,False,True,33,43,78,0.01342019997537136,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,5,2410.0615880377404,2182.025969011539,2069.8422401990456,9,18,54.22891646013067,1.6429075679068998,1.054199168725876,0.5887083991810238,False,True,62,71,135,0.028637800365686417,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,6,2335.2762445449384,2130.6369289670192,1993.8313324671049,9,17,39.18785896305584,1.375658896429832,1.0686144280472487,0.30704446838258326,False,True,45,54,101,0.02459200005978346,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,7,2210.312000185964,2022.0286609992527,1878.3221899767732,7,16,38.923342421620376,1.3677706893025197,1.0765078918778341,0.2912627974246855,False,True,68,75,145,0.020849999971687794,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,8,2375.4442436875083,2161.6818244516153,2056.0706839714267,10,17,40.13709815390395,1.379297396180572,1.0513655203118768,0.3279318758686951,False,True,62,72,136,0.023158099502325058,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,9,2343.728164545448,2167.4906845150026,2022.8784829193228,9,17,40.04166470955933,1.3852429240537922,1.071488328546054,0.3137545955077383,False,True,24,33,59,0.008793099783360958,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,10,2411.791445972169,2181.7414320415523,2037.7048769105356,9,20,40.038911652250306,1.4722117207285441,1.0706856801311668,0.4015260405973773,False,True,73,82,157,0.02682159934192896,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,11,2181.5085070721166,1953.4935606560214,1835.8952871511092,11,19,33.92750561991961,1.3973587766286821,1.0640550004828422,0.33330377614583995,False,True,61,72,135,0.02396210003644228,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,12,2444.083547899527,2212.6773440731413,2047.464720158554,10,17,41.95277479400588,1.3878038477023746,1.080691316577017,0.30711253112535775,False,True,28,38,68,0.0150950001552701,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,13,2211.1454227679287,2006.9050863949547,1889.4094593600908,7,17,43.57086583605379,1.4740985826163773,1.0621864289144913,0.41191215370188594,False,True,58,65,125,0.017902799881994724,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,14,2375.536655871435,2214.4662690379414,2093.911739920812,9,17,37.670045533096506,1.3473602622398761,1.057573835046977,0.28978642719289915,False,True,34,43,79,0.015190799720585346,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,15,2379.587557293895,2153.2810755354844,2045.189716705149,9,17,48.16449480828838,1.4937444187380862,1.0528515070985558,0.44089291163953037,False,True,65,74,141,0.03446139954030514,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,16,2291.4934958780764,2079.294482693617,1954.2345769530518,10,19,39.19374473334094,1.4560911393355307,1.0639943163504724,0.3920968229850583,False,True,25,35,62,0.011451399885118008,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
100,17,2465.02576526461,2243.5472042849797,2133.277710813064,9,18,38.55248780242536,1.3700521310195692,1.0516901727857495,0.31836195823381974,False,True,66,75,143,0.03728120028972626,False,algorithm_2_plus_algorithm_1,primal_dual,True,pyomo_scip
