figure_id,block,trial,iteration,pE,pN,restricted_gap,grid_ne_gap
C1,C,1,1,0.5,0.5,81.97443795089066,164.2057909
C1,C,1,2,4.654127176458759,0.5,63.41652179435755,58.95977056
C1,C,1,3,4.654127176458759,2.135321489906115,3.9377932048078037,12.22639643
C1,C,1,4,4.654127176458759,2.135321489906115,3.9377932048078037,12.22639643
C1,C,1,5,4.654127176458759,2.7040635737003953,0.0,25.23890251
C1,C,2,1,0.5,0.5,59.595691367929824,164.2057909
C1,C,2,2,3.658707067660438,0.5,56.173303641977775,74.33377804
C1,C,2,3,3.658707067660438,2.125267925124432,0.9428419305231586,9.90424784
C1,C,2,4,3.0044222041001216,2.125267925124432,4.506342971719761,22.51223441
C1,C,2,5,3.0044222041001216,2.125267925124432,4.506342971719761,22.51223441
C1,C,2,6,2.753889980251581,2.125267925124432,2.902136661120011,29.92842687
C1,C,2,7,2.753889980251581,2.522735079543465,3.7799115646724744,13.82104432
C1,C,2,8,2.497334490970788,2.522735079543465,3.029495428093057,19.08116912
C1,C,2,9,2.497334490970788,2.98682290648659,3.0001843581853365,8.905958886
C1,C,2,10,2.2361381706231236,2.98682290648659,0.7453392271376345,5.619388003
C1,C,2,11,2.2361381706231236,2.98682290648659,0.7453392271376345,5.619388003
C1,C,2,12,1.7024634899668971,2.98682290648659,0.0,24.16107383
C1,C,3,1,0.5,0.5,38.19315974979912,164.2057909
C1,C,3,2,2.5916579392887713,0.5,64.40837773489321,96.13786615
C1,C,3,3,2.5916579392887713,2.2515441004902192,6.236831028145318,27.68149031
C1,C,3,4,2.4726018936750966,2.2515441004902192,0.0,31.16170603
C1,C,4,1,0.5,0.5,74.83855388269151,164.2057909
C1,C,4,2,3.3910263341287856,0.5,91.38268342025037,78.20615838
C1,C,4,3,3.3910263341287856,2.7845670855062594,6.451573932456029,9.301712754
C1,C,4,4,3.223681437894063,2.7845670855062594,2.9295908533503336,12.79848888
C1,C,4,5,3.223681437894063,2.8578068568400177,0.0,12.79848888
C1,C,5,1,0.5,0.5,51.88896915565343,164.2057909
C1,C,5,2,2.6954144073550013,0.5,85.91445776732641,94.35795707
C1,C,5,3,2.6954144073550013,2.7275507854296617,3.408239472429159,9.352252814
C1,C,5,4,2.4317039822568054,2.7275507854296617,0.031288311157311455,12.73007286
C1,C,5,5,2.4317039822568054,2.895269964043881,6.074649715230521,5.220613091
C1,C,5,6,2.33038763379126,2.895269964043881,0.0,8.55591182
C1,C,6,1,0.5,0.5,75.72802531476239,164.2057909
C1,C,6,2,3.265941320244337,0.5,84.6436812771757,80.53691275
C1,C,6,3,3.265941320244337,3.025873225054675,0.0,8.50657495
C1,C,7,1,0.5,0.5,62.192010731526835,164.2057909
C1,C,7,2,3.3376474302379076,0.5,67.25196641035333,78.20615838
C1,C,7,3,3.3376474302379076,2.3272347864145098,0.0,5.722936901
C1,C,8,1,0.5,0.5,68.10786667894916,164.2057909
C1,C,8,2,2.5052184022836066,0.5,86.21536237838734,99.61808187
C1,C,8,3,2.5052184022836066,2.8725268703070523,0.0,3.518018072
C1,C,9,1,0.5,0.5,72.1659948362398,164.2057909
C1,C,9,2,4.641009329200185,0.5,40.48692817128895,58.95977056
C1,C,9,3,4.641009329200185,1.5121732042822238,0.5950583628224422,18.69131418
C1,C,9,4,3.8361031487998423,1.5121732042822238,6.896941387700359,28.18791946
C1,C,9,5,3.8361031487998423,1.8887519755465996,3.0940973019042985,12.08053691
C1,C,9,6,3.4454917093123285,1.8887519755465996,0.05673920609159211,21.83031945
C1,C,9,7,3.4454917093123285,1.8901704556988894,2.2737254541654153,21.83031945
C1,C,9,8,3.1021354516515296,1.8901704556988894,2.6031321878534612,26.65733954
C1,C,9,9,3.1021354516515296,2.2035257056549473,0.0,14.57680262
C1,C,10,1,0.5,0.5,44.040967299107166,164.2057909
C1,C,10,2,2.337715067734003,0.5,64.98621391656499,104.6559756
C1,C,10,3,2.337715067734003,2.1246553479141252,4.574272068519477,40.22644542
C1,C,10,4,2.568505783998726,2.1246553479141252,0.2148282968696691,31.70833594
C1,C,10,5,2.568505783998726,2.130026055335867,0.0,31.70833594
