method,n_users,trial,success,final_pE,final_pN,offloading_size,restricted_gap,final_grid_ne_gap,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
GA,10,1,1,2.504007,1.371495,3,0.09346981660909393,0.0,23.341535060109223,22.819942615749767,46.16147767585899,32.45088290050626,2989,240,3229,
GA,10,2,1,4.156466,4.158907,2,2.222879523829736,1.9856125484869231,23.079760344871303,18.870483291346737,41.95024363621804,36.27272650040686,3499,240,3739,
GA,10,3,1,5.081604,3.680225,0,0.0,3.660742837769659,0.0,0.0,0.0,10.63555539958179,3524,240,3764,
GA,10,4,1,3.060115,4.233813,3,2.2336299106663944,1.9033656630017433,25.889257054664448,32.74825009626399,58.637507150928435,30.454794299788773,2589,240,2829,
GA,10,5,1,1.34901,1.495351,3,0.08427774091348184,0.0,17.533197042716917,16.92127032418086,34.454467366897774,23.10193349979818,2691,240,2931,
GA,15,1,1,2.359587,2.547395,4,0.9406962946819206,0.7268079470208413,28.134024170108052,28.52912079301587,56.663144963123926,71.7422752007842,3397,240,3637,
GA,15,2,1,2.904633,2.35271,4,0.2634597485767003,0.17539559444475827,36.419882415784286,35.53067082455499,71.95055324033927,75.07165649998933,3117,240,3357,
GA,15,3,1,3.20377,2.185316,4,4.290961410031471,3.3550150966355012,33.77985509045134,27.483058257176143,61.26291334762749,72.38126059994102,3322,240,3562,
GA,15,4,1,2.989705,5.90316,3,0.07008480520472915,0.0,27.38038752412649,39.059033252950826,66.43942077707732,72.34134139958769,3370,240,3610,
GA,15,5,1,3.531372,3.460155,2,0.07617909528523015,0.006592016314932891,21.46178021335622,24.7167424380505,46.17852265140672,47.13761129975319,2965,240,3205,
GA,20,1,1,5.883423,4.06591,2,0.5956854390942112,0.39336530194605857,22.895267595088118,11.853205015733817,34.748472610821935,104.33202460035682,3294,240,3534,
GA,20,2,1,3.43828,1.082867,5,0.35754397239625035,0.3097697783366513,47.307370832416765,30.054392305571124,77.3617631379879,109.70373170077801,3549,240,3789,
GA,20,3,1,3.894528,2.457314,5,16.19630850905162,6.535594780917613,53.15577499488295,32.8095189009117,85.96529389579464,108.45811909995973,2616,240,2856,
GA,20,4,1,4.337433,4.694664,4,0.011536215240383285,0.007687778712870852,45.02304254291494,40.82102751585306,85.84407005876801,88.9359033992514,2684,240,2924,
GA,20,5,1,4.144049,2.842262,3,4.357788844921405,4.22524374945986,32.77430465365671,30.67923164242777,63.45353629608448,96.36311060003936,3195,240,3435,
GA,25,1,1,4.564343,2.445979,5,8.237100385473823,7.3645553036975215,55.9718382810954,36.63820826276763,92.61004654386304,219.99159849993885,2867,240,3107,
GA,25,2,1,4.629423,3.384749,2,10.492373461095756,10.08112004835709,23.080347790574084,22.689828547169633,45.77017633774372,163.51913269981742,3245,240,3485,
GA,25,3,1,5.439458,4.112212,2,0.3070876432169598,5.478056738350627,23.47187545120741,16.253596853844403,39.72547230505181,141.26946800015867,3292,240,3532,
GA,25,4,1,3.366772,3.326008,3,0.562318565960755,0.0,30.189110152992725,28.631658098289776,58.8207682512825,153.80020410008729,3549,240,3789,
GA,25,5,1,3.727212,2.058782,2,5.104422286192829,4.811442513980477,17.56403994451495,18.648828078933647,36.21286802344859,101.68532489985228,3625,240,3865,
GA,30,1,1,2.05289,4.70137,6,0.13384772390799782,3.334802599400753,44.343039579536935,53.041667988834554,97.38470756837148,246.2022562995553,2767,240,3007,
GA,30,2,1,4.755673,3.220049,3,1.5673268612413693,3.2218085180150595,36.6475062178952,39.62799242204055,76.27549863993575,190.30824180040509,2613,240,2853,
GA,30,3,1,3.647875,4.940528,2,2.459044223791416,8.2761459824398,19.705782430277633,27.09371843274794,46.79950086302557,145.5009134998545,2609,240,2849,
GA,30,4,1,5.174431,5.721702,2,3.9231726075898514,1.9104698627395145,24.775934692179305,26.48216420960839,51.25809890178769,182.83579309936613,3116,240,3356,
GA,30,5,1,1.34901,1.548597,8,4.476290048460079,0.0,44.95797915399683,61.54388,106.50185915399683,139.62779080029577,2587,240,2827,
