method,n_users,count,failure_count,final_grid_ne_gap_mean,final_grid_ne_gap_std,final_grid_ne_gap_median,final_grid_ne_gap_q25,final_grid_ne_gap_q75,final_grid_ne_gap_min,final_grid_ne_gap_max,joint_revenue_mean,joint_revenue_std,joint_revenue_median,joint_revenue_q25,joint_revenue_q75,joint_revenue_min,joint_revenue_max,runtime_sec_mean,runtime_sec_std,runtime_sec_median,runtime_sec_q25,runtime_sec_q75,runtime_sec_min,runtime_sec_max,stage2_solver_calls_mean,stage2_solver_calls_std,stage2_solver_calls_median,stage2_solver_calls_q25,stage2_solver_calls_q75,stage2_solver_calls_min,stage2_solver_calls_max,audit_stage2_solver_calls_mean,audit_stage2_solver_calls_std,audit_stage2_solver_calls_median,audit_stage2_solver_calls_q25,audit_stage2_solver_calls_q75,audit_stage2_solver_calls_min,audit_stage2_solver_calls_max,total_stage2_solver_calls_mean,total_stage2_solver_calls_std,total_stage2_solver_calls_median,total_stage2_solver_calls_q25,total_stage2_solver_calls_q75,total_stage2_solver_calls_min,total_stage2_solver_calls_max
Proposed,10,5,0,4.37065949925861,2.8739254661217015,3.7970105026270105,3.2044860126829455,6.467635218109692,0.0,8.384165762873405,49.81684816686375,12.346873257694185,46.2558304862998,39.452426960622645,57.32113348607032,36.216797097653604,69.83805280367235,0.49074066020548346,0.1771721711065877,0.4887540005147457,0.30829610023647547,0.6260418007150292,0.2871099002659321,0.7435014992952347,57.0,29.257477676655586,49.0,37.0,55.0,31.0,113.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,297.0,29.257477676655586,289.0,277.0,295.0,271.0,353.0
Proposed,15,5,0,5.557108964711282,3.118753482697104,3.712283434878067,3.4957810478540843,8.894795819599445,1.989139531098651,9.693544990126163,72.51388167591838,13.0024755984298,76.88747301593645,62.59773967785986,78.70219637757504,53.62544094104005,90.75655836718055,0.6332665799185634,0.21779936525537452,0.6406498998403549,0.5569535000249743,0.7849252000451088,0.2718378994613886,0.9119664002209902,44.2,6.997142273814361,43.0,37.0,49.0,37.0,55.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,284.2,6.99714227381436,283.0,277.0,289.0,277.0,295.0
Proposed,20,5,0,5.958143711547851,3.4860882137120273,5.9471087435077905,5.061450777522182,8.723883075884814,0.0,10.058275960824467,87.79479100682099,15.742739432092593,95.93018298994241,70.67461930874762,97.90562666054873,67.52108897694052,106.94243709792563,0.9483376801013946,0.5818672571196907,0.5200592000037432,0.4971340000629425,1.486221100203693,0.42697490006685257,1.811299200169742,43.0,5.366563145999495,43.0,37.0,49.0,37.0,49.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,283.0,5.366563145999495,283.0,277.0,289.0,277.0,289.0
Proposed,25,5,0,3.8879060340485863,2.91703827526576,3.9973237859113766,1.4442213500754946,5.977116086797736,0.0,8.020868947458325,93.7365472148574,26.003491426203347,82.66663389984981,69.36348324297052,117.4086856129548,67.72626049704664,131.51767282146528,0.8703006999567151,0.4405177288041093,0.6171204997226596,0.5666169002652168,1.0204755999147892,0.47837019991129637,1.6689202999696136,45.4,16.799999999999997,37.0,37.0,37.0,37.0,79.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,285.4,16.800000000000004,277.0,277.0,277.0,277.0,319.0
Proposed,30,5,0,4.544010262655914,2.6048001630153523,5.16626978212642,1.7687569282436542,6.755976648879006,1.2786973986412278,7.750350555389261,105.91554280208985,9.550533815089121,109.15072006521783,95.51515545139776,110.18085238246513,94.81496568618164,119.9160204251869,1.406854360178113,0.5136528170899332,1.2709133001044393,1.0677172001451254,1.4812676003202796,0.8656011996790767,2.348772500641644,57.4,26.180909075125715,49.0,43.0,49.0,37.0,109.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,297.4,26.180909075125715,289.0,283.0,289.0,277.0,349.0
BO-online,10,5,0,20.472791827858973,8.948781998017234,19.404161680808084,13.862312834308966,21.218368968738595,11.075455156793565,36.80366049864565,40.56298348262179,5.938845051612803,41.59754628180531,34.48309843370418,45.30036321967839,33.10696461829705,48.32694485962401,0.802007419988513,0.5200388494938312,0.640858999453485,0.35170899983495474,0.9322883002460003,0.3387683006003499,1.746412499807775,57.0,29.257477676655586,49.0,37.0,55.0,31.0,113.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,297.0,29.257477676655586,289.0,277.0,295.0,271.0,353.0
BO-online,15,5,0,41.49609880804594,5.83798154913812,42.148034348649105,39.054561552317374,47.20481278736827,31.670321125775708,47.40276422611928,46.398967216741774,3.161973845324914,47.23135614603884,42.934368030297456,48.91400342157604,42.52297661948222,50.39213186631429,1.3927785597741604,0.14788531880762362,1.4254273995757103,1.3384830998256803,1.5161736002191901,1.1358294999226928,1.5479791993275285,44.2,6.997142273814361,43.0,37.0,49.0,37.0,55.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,284.2,6.99714227381436,283.0,277.0,289.0,277.0,295.0
BO-online,20,5,0,58.13140776776936,11.301797948533704,56.91092436974791,53.7912336076838,68.18495011488001,39.960773521027356,71.80915722550773,53.96580015326649,5.139488060373213,54.29124490257744,49.80338012710607,57.29392580456835,47.028766541875044,61.41168339020558,2.275452739931643,0.4731406429087189,2.3505229000002146,1.9069012003019452,2.5551958000287414,1.611690099351108,2.952953699976206,43.0,5.366563145999495,43.0,37.0,49.0,37.0,49.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,283.0,5.366563145999495,283.0,277.0,289.0,277.0,289.0
BO-online,25,5,0,63.277436540007294,17.714752024763794,58.924369747899156,46.84369747899161,81.58465062417403,42.81680672268907,86.21765812628263,52.530399641421084,6.809381474311619,52.72783282815969,48.03959183614475,57.23940585802746,42.59193814578365,62.05322953898985,3.537365760281682,1.6297976794568771,2.6984050003811717,2.5605255998671055,3.468294200487435,2.2614707006141543,6.698133300058544,45.4,16.799999999999997,37.0,37.0,37.0,37.0,79.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,285.4,16.800000000000004,277.0,277.0,277.0,277.0,319.0
BO-online,30,5,0,62.68331501615518,28.18112684213714,66.9781512605042,66.65292699063534,73.01848739495799,10.623199634342505,96.14380980033589,59.84306947686728,3.1460632804138,58.78090156466091,57.111093024202205,63.454571093929324,56.2036367920395,63.66514490950442,5.692994860000908,1.4031355475141232,5.154146699234843,4.771828000433743,5.402615400031209,4.685537000186741,8.450847200118005,57.4,26.180909075125715,49.0,43.0,49.0,37.0,109.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,297.4,26.180909075125715,289.0,283.0,289.0,277.0,349.0
