metric,method,n_users,count,mean,std,min,max,source
ne_gap,Proposed,50,10,4.97948772625,4.40104525315,0,14.5702145601,q4_proposed_ne_gap_audit
ne_gap,Proposed,100,10,3.8827233206,3.2680831099,0,9.70928756418,q4_proposed_ne_gap_audit
ne_gap,Proposed,150,10,5.46532756033,3.92075545817,0.0607123843415,12.1698095756,q4_proposed_ne_gap_audit
ne_gap,Proposed,200,10,6.85307822662,1.94050991352,4.4671911874,11.0084475368,q4_proposed_ne_gap_audit
ne_gap,Proposed,250,10,6.49624862133,3.30438099819,0.990617652395,10.6711255582,q4_proposed_ne_gap_audit
ne_gap,GA,50,10,102.609976746,18.0530392884,71.7391973976,130.724668788,budget_matched
ne_gap,GA,100,10,148.632050703,33.5816481391,60.6662434585,181.897677944,budget_matched
ne_gap,GA,150,10,202.064446274,21.9182975542,152.093687232,220,budget_matched
ne_gap,GA,200,10,217.731483992,2.95255740513,210.601521166,220,budget_matched
ne_gap,GA,250,10,212.033120458,14.5168417686,172.570606084,220,budget_matched
ne_gap,BO-online,50,10,102.609976746,18.0530392884,71.7391973976,130.724668788,budget_matched
ne_gap,BO-online,100,10,149.808959659,30.5473015382,72.4353330151,181.897677944,budget_matched
ne_gap,BO-online,150,10,202.064446274,21.9182975542,152.093687232,220,budget_matched
ne_gap,BO-online,200,10,217.731483992,2.95255740513,210.601521166,220,budget_matched
ne_gap,BO-online,250,10,212.303967619,13.7848575839,175.279077697,220,budget_matched
ne_gap,MARL,50,10,27.9508922471,11.4019510354,3.83510198096,44.0037789708,budget_matched
ne_gap,MARL,100,10,41.8210370599,15.4307401634,14.5565398212,65.2725545093,budget_matched
ne_gap,MARL,150,10,52.7151346061,19.3493498026,26.9652179312,90.01226661,budget_matched
ne_gap,MARL,200,10,77.7064692093,11.4026426739,63.8644807947,96.5042203149,budget_matched
ne_gap,MARL,250,10,70.3086672473,18.2021640411,22.9857807666,96.8541581611,budget_matched
joint_revenue,Proposed,50,10,138.592202305,18.2937699131,114.397377672,180.079790547,budget_matched
joint_revenue,Proposed,100,10,202.45070502,20.2349169509,172.629150942,244.202402089,budget_matched
joint_revenue,Proposed,150,10,266.574165338,41.7262045963,187.896595985,327.075311872,budget_matched
joint_revenue,Proposed,200,10,310.159972353,26.1331349896,276.1451083,356.298086565,budget_matched
joint_revenue,Proposed,250,10,323.497925774,40.6014346389,266.539316658,409.250493256,budget_matched
joint_revenue,GA,50,10,63.9756604996,4.24630028122,54.8561599224,68.6,budget_matched
joint_revenue,GA,100,10,78.9371415383,31.011424615,68.6,171.971415383,budget_matched
joint_revenue,GA,150,10,68.6,4.49386683978e-15,68.6,68.6,budget_matched
joint_revenue,GA,200,10,68.6,1.85286876479e-14,68.6,68.6,budget_matched
joint_revenue,GA,250,10,82.943276,43.029828,68.6,212.03276,budget_matched
joint_revenue,BO-online,50,10,63.9756604996,4.24630028122,54.8561599224,68.6,budget_matched
