method,n_users,count,failure_count,final_grid_ne_gap_mean,final_grid_ne_gap_std,final_grid_ne_gap_median,final_grid_ne_gap_q25,final_grid_ne_gap_q75,final_grid_ne_gap_min,final_grid_ne_gap_max,joint_revenue_mean,joint_revenue_std,joint_revenue_median,joint_revenue_q25,joint_revenue_q75,joint_revenue_min,joint_revenue_max,runtime_sec_mean,runtime_sec_std,runtime_sec_median,runtime_sec_q25,runtime_sec_q75,runtime_sec_min,runtime_sec_max,stage2_solver_calls_mean,stage2_solver_calls_std,stage2_solver_calls_median,stage2_solver_calls_q25,stage2_solver_calls_q75,stage2_solver_calls_min,stage2_solver_calls_max,audit_stage2_solver_calls_mean,audit_stage2_solver_calls_std,audit_stage2_solver_calls_median,audit_stage2_solver_calls_q25,audit_stage2_solver_calls_q75,audit_stage2_solver_calls_min,audit_stage2_solver_calls_max,total_stage2_solver_calls_mean,total_stage2_solver_calls_std,total_stage2_solver_calls_median,total_stage2_solver_calls_q25,total_stage2_solver_calls_q75,total_stage2_solver_calls_min,total_stage2_solver_calls_max
Proposed,50,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.59220230534407,18.293769913050944,135.75082581900733,129.1089364644101,142.9957463099597,114.39737767187137,180.0797905465118,0.5487981790036429,0.12625072860173633,0.5451665830041748,0.4691718955000397,0.5920850627589971,0.3596277079777792,0.7691459589987062,43.0,4.6475800154489,43.0,38.5,47.5,37.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,4.6475800154489,43.0,38.5,47.5,37.0,49.0
Proposed,100,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.45070502005737,20.234916950943067,201.19606680035614,187.09045125566126,215.06912831835456,172.62915094152203,244.2024020887483,1.447410091588972,0.5405648050554405,1.3751798954908736,0.9867996249813586,1.7625222607457545,0.7574846249772236,2.4398129580076784,54.4,19.24681791881453,49.0,40.0,55.0,37.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.4,19.24681791881453,49.0,40.0,55.0,37.0,103.0
Proposed,150,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.57416533808475,41.72620459626122,255.70508064985364,243.22085620299535,305.42943467491494,187.8965959846983,327.0753118718762,1.700282516796142,0.5331423832723465,1.789591813023435,1.357968603973859,1.9429163752356544,0.8873164579854347,2.5015095000271685,46.6,8.138795979750322,46.0,38.5,53.5,37.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6,8.138795979750322,46.0,38.5,53.5,37.0,61.0
Proposed,200,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.1599723534021,26.13313498964861,308.49969381178965,288.23924034879974,322.5000165139421,276.1451083004145,356.29808656512387,2.852825812710216,1.4503566713272025,1.9373556255013682,1.80157850998512,4.233174302775296,1.455138250021264,5.561999208002817,58.0,17.84936973677222,49.0,44.5,70.0,37.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,17.84936973677222,49.0,44.5,70.0,37.0,91.0
Proposed,250,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.49792577438143,40.60143463890289,325.21860443715553,298.16458376394735,338.02055265226136,266.53931665751537,409.25049325568193,2.7282024666958025,1.3338200083353586,2.457441917009419,2.2417120310274186,2.6620557604910573,1.4164801249862649,6.549279416969512,57.4,22.481992794234234,52.0,44.5,59.5,37.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4,22.481992794234234,52.0,44.5,59.5,37.0,121.0
BO-online,50,10,0,102.60997674587479,18.053039288390785,107.24705882352941,87.39108597001194,110.49867321504001,71.73919739762886,130.7246687877992,63.97566049960871,4.24630028122061,65.67418766102097,60.88875979609689,67.4677894024133,54.85615992244815,68.6,8.185231658391421,1.069092443725533,7.999937270971714,7.296074780999334,8.926535312493797,6.806719041953329,10.328027583018411,43.0,4.6475800154489,43.0,38.5,47.5,37.0,49.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,283.0,4.6475800154489,283.0,278.5,287.5,277.0,289.0
BO-online,100,10,0,149.80895965879492,30.547301538239974,155.15184809616576,137.97673302566903,172.05692849977157,72.43533301512693,181.89767794401996,74.33392887416565,17.201786622496932,68.6,68.6,68.60000000000001,68.6,125.93928874165644,31.633853170694785,12.952489454121192,25.812499666993972,22.681790666494635,35.601296468492365,19.88506691600196,59.65527441696031,54.4,19.24681791881453,49.0,40.0,55.0,37.0,103.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,294.4,19.24681791881453,289.0,280.0,295.0,277.0,343.0
BO-online,150,10,0,202.06444627427908,21.918297554175318,212.70665246474283,194.5143859850589,217.31291659717283,152.0936872320917,220.00000000000006,68.6,4.4938668397781774e-15,68.6,68.6,68.6,68.6,68.60000000000001,81.652121079294,23.320102325170126,79.20802806247957,64.08673504203034,90.57743939575448,53.45964154199464,135.08942470798502,46.6,8.138795979750322,46.0,38.5,53.5,37.0,61.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,286.6,8.13879597975032,286.0,278.5,293.5,277.0,301.0
BO-online,200,10,0,217.73148399155994,2.95255740513167,219.04334140419883,216.38959621290283,220.00000000000003,210.60152116594696,220.00000000000006,68.60000000000002,1.852868764786606e-14,68.60000000000001,68.6,68.60000000000001,68.6,68.60000000000002,212.99952962521928,66.56319275482454,190.44737310451455,161.4206685835088,276.29672582281637,130.99131254199892,331.6164689169964,58.0,17.84936973677222,49.0,44.5,70.0,37.0,91.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,298.0,17.84936973677222,289.0,284.5,310.0,277.0,331.0
BO-online,250,10,0,212.3039676193886,13.784857583928922,220.0,211.8093918577649,220.00000000000003,175.27907769702034,220.00000000000006,82.11329218998887,40.539876569966594,68.6,68.6,68.60000000000001,68.59999999999998,203.73292189988865,462.2595354458084,186.09071176824062,398.26019779150374,340.551702229277,503.2237889787939,233.2358008750016,801.7445196249755,57.4,22.481992794234234,52.0,44.5,59.5,37.0,121.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,297.4,22.481992794234234,292.0,284.5,299.5,277.0,361.0
GA,50,10,0,102.60997674587479,18.053039288390785,107.24705882352941,87.39108597001194,110.49867321504001,71.73919739762886,130.7246687877992,63.97566049960871,4.24630028122061,65.67418766102097,60.88875979609689,67.4677894024133,54.85615992244815,68.6,8.174848820798797,1.0834117598582176,7.941953833505977,7.242100343239144,8.913287937510177,6.793963041040115,10.323028249957133,43.0,4.6475800154489,43.0,38.5,47.5,37.0,49.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,283.0,4.6475800154489,283.0,278.5,287.5,277.0,289.0
