method,n_users,trial,success,final_pE,final_pN,offloading_size,restricted_gap,final_grid_ne_gap,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
Proposed,10,1,1,1.0463137245394123,0.7707890231486104,6,0.0,3.7970105026270105,26.88957256012591,30.431560925944417,57.32113348607032,0.6260418007150292,49,240,289,
Proposed,10,2,1,2.063176068954945,0.8360043081057394,6,0.0,6.467635218109692,40.954925602909924,28.883127200762434,69.83805280367235,0.7435014992952347,55,240,295,
Proposed,10,3,1,1.0611386293870142,0.5323858429756291,4,0.0,3.2044860126829455,18.556993241597482,20.895433719025164,39.452426960622645,0.30829610023647547,37,240,277,
Proposed,10,4,1,2.282062076839089,5.614140198580037,2,6.124310120822216,8.384165762873405,16.20774614294367,30.048084343356127,46.2558304862998,0.4887540005147457,113,240,353,
Proposed,10,5,1,3.070621434700414,0.5,3,0.0,0.0,26.563258858949713,9.653538238703893,36.216797097653604,0.2871099002659321,31,240,271,
Proposed,15,1,1,1.5062990693860157,0.9239156032036785,7,0.0,3.712283434878067,40.330848887789315,36.556624128147135,76.88747301593645,0.9119664002209902,49,240,289,
Proposed,15,2,1,3.336679113105221,2.07615354465929,3,0.0,9.693544990126163,29.332084422404506,24.29335651863554,53.62544094104005,0.2718378994613886,37,240,277,
Proposed,15,3,1,3.3045244785019436,0.7611826863902591,6,0.0,8.894795819599445,51.41051241397422,27.291683963600814,78.70219637757504,0.6406498998403549,43,240,283,
Proposed,15,4,1,2.360908200341348,0.9892052615771426,7,0.0,1.989139531098651,53.36651214348397,37.39004622369657,90.75655836718055,0.7849252000451088,37,240,277,
Proposed,15,5,1,1.8899682230111812,1.0512783776592722,5,0.0,3.4957810478540843,33.987943117792646,28.609796560067213,62.59773967785986,0.5569535000249743,55,240,295,
Proposed,20,1,1,1.86531659864198,1.1977902666325646,9,0.0,0.0,54.43884062211086,43.46678603843787,97.90562666054873,1.811299200169742,49,240,289,
Proposed,20,2,1,3.8531824580969745,0.524461694651281,5,0.0,10.058275960824467,50.09615152269639,20.57846778605124,70.67461930874762,0.42697490006685257,37,240,277,
Proposed,20,3,1,7.356904630277709,3.5701036305117997,3,0.0,8.723883075884814,43.56762947233735,23.95345950460317,67.52108897694052,0.5200592000037432,43,240,283,
Proposed,20,4,1,2.3056277984555296,1.0696627521126745,9,0.0,5.061450777522182,64.60294149948989,42.33949559843575,106.94243709792563,1.486221100203693,49,240,289,
