method,n_users,count,failure_count,final_grid_ne_gap_mean,final_grid_ne_gap_std,final_grid_ne_gap_median,final_grid_ne_gap_q25,final_grid_ne_gap_q75,final_grid_ne_gap_min,final_grid_ne_gap_max,joint_revenue_mean,joint_revenue_std,joint_revenue_median,joint_revenue_q25,joint_revenue_q75,joint_revenue_min,joint_revenue_max,runtime_sec_mean,runtime_sec_std,runtime_sec_median,runtime_sec_q25,runtime_sec_q75,runtime_sec_min,runtime_sec_max,stage2_solver_calls_mean,stage2_solver_calls_std,stage2_solver_calls_median,stage2_solver_calls_q25,stage2_solver_calls_q75,stage2_solver_calls_min,stage2_solver_calls_max,audit_stage2_solver_calls_mean,audit_stage2_solver_calls_std,audit_stage2_solver_calls_median,audit_stage2_solver_calls_q25,audit_stage2_solver_calls_q75,audit_stage2_solver_calls_min,audit_stage2_solver_calls_max,total_stage2_solver_calls_mean,total_stage2_solver_calls_std,total_stage2_solver_calls_median,total_stage2_solver_calls_q25,total_stage2_solver_calls_q75,total_stage2_solver_calls_min,total_stage2_solver_calls_max
Proposed,10,5,0,4.37065949925861,2.8739254661217015,3.7970105026270105,3.2044860126829455,6.467635218109692,0.0,8.384165762873405,49.81684816686375,12.346873257694185,46.2558304862998,39.452426960622645,57.32113348607032,36.216797097653604,69.83805280367235,0.49074066020548346,0.1771721711065877,0.4887540005147457,0.30829610023647547,0.6260418007150292,0.2871099002659321,0.7435014992952347,57.0,29.257477676655586,49.0,37.0,55.0,31.0,113.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,297.0,29.257477676655586,289.0,277.0,295.0,271.0,353.0
Proposed,15,5,0,5.557108964711282,3.118753482697104,3.712283434878067,3.4957810478540843,8.894795819599445,1.989139531098651,9.693544990126163,72.51388167591838,13.0024755984298,76.88747301593645,62.59773967785986,78.70219637757504,53.62544094104005,90.75655836718055,0.6332665799185634,0.21779936525537452,0.6406498998403549,0.5569535000249743,0.7849252000451088,0.2718378994613886,0.9119664002209902,44.2,6.997142273814361,43.0,37.0,49.0,37.0,55.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,284.2,6.99714227381436,283.0,277.0,289.0,277.0,295.0
Proposed,20,5,0,5.958143711547851,3.4860882137120273,5.9471087435077905,5.061450777522182,8.723883075884814,0.0,10.058275960824467,87.79479100682099,15.742739432092593,95.93018298994241,70.67461930874762,97.90562666054873,67.52108897694052,106.94243709792563,0.9483376801013946,0.5818672571196907,0.5200592000037432,0.4971340000629425,1.486221100203693,0.42697490006685257,1.811299200169742,43.0,5.366563145999495,43.0,37.0,49.0,37.0,49.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,283.0,5.366563145999495,283.0,277.0,289.0,277.0,289.0
Proposed,25,5,0,3.8879060340485863,2.91703827526576,3.9973237859113766,1.4442213500754946,5.977116086797736,0.0,8.020868947458325,93.7365472148574,26.003491426203347,82.66663389984981,69.36348324297052,117.4086856129548,67.72626049704664,131.51767282146528,0.8703006999567151,0.4405177288041093,0.6171204997226596,0.5666169002652168,1.0204755999147892,0.47837019991129637,1.6689202999696136,45.4,16.799999999999997,37.0,37.0,37.0,37.0,79.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,285.4,16.800000000000004,277.0,277.0,277.0,277.0,319.0
Proposed,30,5,0,4.544010262655914,2.6048001630153523,5.16626978212642,1.7687569282436542,6.755976648879006,1.2786973986412278,7.750350555389261,105.91554280208985,9.550533815089121,109.15072006521783,95.51515545139776,110.18085238246513,94.81496568618164,119.9160204251869,1.406854360178113,0.5136528170899332,1.2709133001044393,1.0677172001451254,1.4812676003202796,0.8656011996790767,2.348772500641644,57.4,26.180909075125715,49.0,43.0,49.0,37.0,109.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,297.4,26.180909075125715,289.0,283.0,289.0,277.0,349.0
GA,10,5,0,1.509944209851665,1.3832453563819984,1.9033656630017433,0.0,1.9856125484869231,0.0,3.660742837769659,36.24073916598065,19.744450624342367,41.95024363621804,34.454467366897774,46.16147767585899,0.0,58.637507150928435,26.58317852001637,9.052651032592673,30.454794299788773,23.10193349979818,32.45088290050626,10.63555539958179,36.27272650040686,3058.4,392.69509800862045,2989.0,2691.0,3499.0,2589.0,3524.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,3298.4,392.69509800862045,3229.0,2931.0,3739.0,2829.0,3764.0
GA,15,5,0,0.8527621308832067,1.2789970211374349,0.17539559444475827,0.006592016314932891,0.7268079470208413,0.0,3.3550150966355012,60.498910995914954,8.795454388985624,61.26291334762749,56.663144963123926,66.43942077707732,46.17852265140672,71.95055324033927,67.73482900001109,10.362850215154376,72.34134139958769,71.7422752007842,72.38126059994102,47.13761129975319,75.07165649998933,3234.2,166.64861235545888,3322.0,3117.0,3370.0,2965.0,3397.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,3474.2,166.64861235545888,3562.0,3357.0,3610.0,3205.0,3637.0
GA,20,5,0,2.2943322778746107,2.6266950167276004,0.39336530194605857,0.3097697783366513,4.22524374945986,0.007687778712870852,6.535594780917613,69.47462719989139,19.205556535061767,77.3617631379879,63.45353629608448,85.84407005876801,34.748472610821935,85.96529389579464,101.55857788007707,7.848108024547056,104.33202460035682,96.36311060003936,108.45811909995973,88.9359033992514,109.70373170077801,3067.6,360.6453105199068,3195.0,2684.0,3294.0,2616.0,3549.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,3307.6,360.6453105199068,3435.0,2924.0,3534.0,2856.0,3789.0
GA,25,5,0,5.5470349208771434,3.3219499959325565,5.478056738350627,4.811442513980477,7.3645553036975215,0.0,10.08112004835709,54.62786629227794,20.49330926240993,45.77017633774372,39.72547230505181,58.8207682512825,36.21286802344859,92.61004654386304,156.0531456399709,38.27103217597829,153.80020410008729,141.26946800015867,163.51913269981742,101.68532489985228,219.99159849993885,3315.6,267.20299399520206,3292.0,3245.0,3549.0,2867.0,3625.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,3555.6,267.20299399520206,3532.0,3485.0,3789.0,3107.0,3865.0
GA,30,5,0,3.3486453925190256,2.74147099560146,3.2218085180150595,1.9104698627395145,3.334802599400753,0.0,8.2761459824398,75.64393302542346,23.8828052392757,76.27549863993575,51.25809890178769,97.38470756837148,46.79950086302557,106.50185915399683,180.89499909989536,38.24431314257109,182.83579309936613,145.5009134998545,190.30824180040509,139.62779080029577,246.2022562995553,2738.4,199.39468398129375,2613.0,2609.0,2767.0,2587.0,3116.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,2978.4,199.39468398129375,2853.0,2849.0,3007.0,2827.0,3356.0
