n_users,trial,final_pE,final_pN,restricted_gap,recorded_final_grid_ne_gap,true_grid_ne_gap,audit_grid_points,audit_stage2_solver_calls,runtime_sec,esp_revenue,nsp_revenue,joint_revenue,source_row_final_grid_ne_gap_source,error
50,1,4.7397809944554865,1.5713604241190193,0.0,0.0,6.658515049976259,120,240,19.941370042040944,97.9981433202345,61.37942993175751,159.377573251992,restricted_gap_zero_certified,
50,2,1.896006841167177,1.4291079261546944,0.0,0.0,2.135736553593013,120,240,19.963556916918606,62.38020322466892,56.76431704618778,119.1445202708567,restricted_gap_zero_certified,
50,3,8.939154840831117,1.5065809475449887,0.0,0.0,1.664653717506127,120,240,22.274097041925415,127.66631358266778,52.413476963844005,180.0797905465118,restricted_gap_zero_certified,
50,4,2.016889814157829,1.7395091926807458,0.0,0.0,0.0,120,240,17.878322917036712,60.790509455105855,68.87839635572742,129.66890581083328,restricted_gap_zero_certified,
50,5,2.46288313507871,1.6787850073349242,0.0,0.0,5.732633320048407,120,240,21.72195629205089,71.5019928583217,66.75140029339698,138.25339315171868,restricted_gap_zero_certified,
50,6,3.6050239448073103,2.689025884624899,0.0,0.0,14.57021456014747,120,240,19.18486162496265,60.5250518283515,53.87232584351987,114.39737767187137,restricted_gap_zero_certified,
50,7,3.9177676649616155,4.136481749823598,0.0,0.0,9.3000871691587,120,240,22.37430091702845,68.2696709906944,68.991161662064,137.26083265275838,restricted_gap_zero_certified,
50,8,2.786247118200113,1.240957452387599,0.0,0.0,1.872905582706494,120,240,21.870113915996626,85.00252088975235,49.238298095503964,134.2408189852563,restricted_gap_zero_certified,
50,9,2.624406401978074,1.7181830405114251,0.0,0.0,7.124324844287045,120,240,20.153059583972208,76.24920907558304,68.32732162045701,144.57653069604004,restricted_gap_zero_certified,
50,10,2.358690521012906,1.6682717533438869,0.0,0.0,7.910362717169534,120,240,20.595644499990158,69.01837049222745,59.903909523374935,128.92228001560238,restricted_gap_zero_certified,
100,1,4.654127176458759,2.7040635737003953,0.0,0.0,13.186181209634924,120,240,122.29387000005227,109.20299150441947,86.95431499916536,196.15730650358483,restricted_gap_zero_certified,
100,2,1.7024634899668971,2.98682290648659,0.0,0.0,8.411722568592268,120,240,139.9494381659897,93.35073127192017,112.88409582520725,206.23482709712744,restricted_gap_zero_certified,
100,3,2.4726018936750966,2.8464487749336476,0.0,0.0,1.4881753735974428,120,240,115.33360679098405,78.08410048033903,94.54505046118298,172.62915094152203,restricted_gap_zero_certified,
100,4,3.2236814378940566,2.857806856840022,0.0,0.0,2.576619967068936,120,240,149.1614419160178,130.2901278151474,113.9122742736009,244.2024020887483,restricted_gap_zero_certified,
100,5,2.33038763379126,2.895269964043881,0.0,0.0,0.0,120,240,101.89753750001546,94.72792005899325,115.2979562055543,210.02587626454755,restricted_gap_zero_certified,
100,6,3.265941320244337,3.025873225054675,0.0,0.0,9.780800902481076,120,240,160.35302479099482,116.2418016000768,104.2436812771757,220.48548287725248,restricted_gap_zero_certified,
100,7,3.3376474302379098,2.327234786414507,0.0,0.0,10.11200408351175,120,240,134.07960087503307,100.77136212755897,86.85196641035328,187.62332853791224,restricted_gap_zero_certified,
100,8,2.5052184022836066,2.8725268703070523,0.0,0.0,1.858463116173553,120,240,153.98473237501457,110.9348499579029,105.81536237838735,216.75021233629025,restricted_gap_zero_certified,
