method,n_users,trial,success,final_pE,final_pN,offloading_size,restricted_gap,final_grid_ne_gap,final_grid_ne_gap_source,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
Proposed,50,1,1,4.7397809944554865,1.5713604241190193,9,0.0,0.0,restricted_gap_zero_certified,97.9981433202345,61.37942993175751,159.377573251992,0.740361666015815,49,0,49,
GA,50,1,1,3.270619,2.393198,10,0.4929851983486344,0.15231958628496045,audit_grid,88.26018987535917,81.50467079203524,169.76486066739443,367.82637874997454,2944,240,3184,
BO-online,50,1,1,4.564120307161731,1.383481765886254,10,11.890211556037414,9.490981465390178,audit_grid,104.35319192308883,54.93927063545016,159.292462558539,156.46773270802805,1071,240,1311,
MARL,50,1,1,3.005,2.4059999999999997,10,3.9112861684541826,3.8351019809630316,audit_grid,84.5774074806811,81.72420220529166,166.30160968597278,9.199234333995264,68,240,308,
Proposed,50,2,1,1.896006841167177,1.4291079261546944,10,0.0,0.0,restricted_gap_zero_certified,62.38020322466892,56.76431704618778,119.1445202708567,0.7691459589987062,49,0,49,
GA,50,2,1,1.295914,2.263459,11,1.1512832750824487,1.0065969475471803,audit_grid,56.47788383126817,73.34600887827386,129.82389270954204,332.8655063750339,2763,240,3003,
BO-online,50,2,1,1.5481890242492657,1.863558910016822,11,1.0722095436245667,1.0592932122522996,audit_grid,61.809082653664824,66.48872000862822,128.29780266229304,137.75509599997895,1071,240,1311,
MARL,50,2,1,4.202999999999999,5.401,1,19.285110484523635,25.2984280695875,audit_grid,8.695218358832053,8.930143358983925,17.625361717815977,6.283802082994953,60,240,300,
Proposed,50,3,1,8.939154840831117,1.5065809475449887,8,0.0,0.0,restricted_gap_zero_certified,127.66631358266778,52.413476963844005,180.0797905465118,0.5546560829970986,43,0,43,
Proposed,50,4,1,2.016889814157829,1.7395091926807458,9,0.0,0.0,restricted_gap_zero_certified,60.790509455105855,68.87839635572742,129.66890581083328,0.4994960830081254,43,0,43,
Proposed,50,5,1,2.46288313507871,1.6787850073349242,9,0.0,0.0,restricted_gap_zero_certified,71.5019928583217,66.75140029339698,138.25339315171868,0.5954982920084149,49,0,49,
Proposed,50,6,1,3.6050239448073103,2.689025884624899,6,0.0,0.0,restricted_gap_zero_certified,60.5250518283515,53.87232584351987,114.39737767187137,0.3596277079777792,37,0,37,
Proposed,50,7,1,3.9177676649616155,4.136481749823598,7,0.0,0.0,restricted_gap_zero_certified,68.2696709906944,68.991161662064,137.26083265275838,0.39260970801115036,37,0,37,
Proposed,50,8,1,2.786247118200113,1.240957452387599,9,0.0,0.0,restricted_gap_zero_certified,85.00252088975235,49.238298095503964,134.2408189852563,0.45906383299734443,37,0,37,
Proposed,50,9,1,2.624406401978074,1.7181830405114251,9,0.0,0.0,restricted_gap_zero_certified,76.24920907558304,68.32732162045701,144.57653069604004,0.5356770830112509,43,0,43,
Proposed,50,10,1,2.358690521012906,1.6682717533438869,9,0.0,0.0,restricted_gap_zero_certified,69.01837049222745,59.903909523374935,128.92228001560238,0.5818453750107437,43,0,43,
Proposed,100,1,1,4.654127176458759,2.7040635737003953,10,0.0,0.0,restricted_gap_zero_certified,109.20299150441947,86.95431499916536,196.15730650358483,1.327515790995676,55,0,55,
Proposed,100,2,1,1.7024634899668971,2.98682290648659,14,0.0,0.0,restricted_gap_zero_certified,93.35073127192017,112.88409582520725,206.23482709712744,2.4398129580076784,103,0,103,
Proposed,100,3,1,2.4726018936750966,2.8464487749336476,10,0.0,0.0,restricted_gap_zero_certified,78.08410048033903,94.54505046118298,172.62915094152203,0.892275707970839,49,0,49,
Proposed,100,4,1,3.2236814378940566,2.857806856840022,14,0.0,0.0,restricted_gap_zero_certified,130.2901278151474,113.9122742736009,244.2024020887483,1.535184417036362,49,0,49,
Proposed,100,5,1,2.33038763379126,2.895269964043881,12,0.0,0.0,restricted_gap_zero_certified,94.72792005899325,115.2979562055543,210.02587626454755,1.4228439999860711,55,0,55,
Proposed,100,6,1,3.265941320244337,3.025873225054675,13,0.0,0.0,restricted_gap_zero_certified,116.2418016000768,104.2436812771757,220.48548287725248,0.9548729999805801,37,0,37,
Proposed,100,7,1,3.3376474302379098,2.327234786414507,11,0.0,0.0,restricted_gap_zero_certified,100.77136212755897,86.85196641035328,187.62332853791224,0.7574846249772236,37,0,37,
Proposed,100,8,1,2.5052184022836066,2.8725268703070523,14,0.0,0.0,restricted_gap_zero_certified,110.9348499579029,105.81536237838735,216.75021233629025,1.8383015419822186,37,0,37,
Proposed,100,9,1,3.1021354516515296,2.2035257056549473,12,0.0,0.0,restricted_gap_zero_certified,109.1028750791019,77.80995041580903,186.91282549491092,2.223229374969378,73,0,73,
Proposed,100,10,1,2.568505783998726,2.130026055335867,12,0.0,0.0,restricted_gap_zero_certified,98.68459584524288,84.80104221343467,183.48563805867755,1.0825794999836944,49,0,49,
Proposed,150,1,1,2.857849006046319,2.7688382702868424,14,0.0,0.0,restricted_gap_zero_certified,123.77436824833956,110.3535308114737,234.12789905981327,1.8652057920116931,55,0,55,
Proposed,150,2,1,4.92679656639285,1.8290162514642239,11,0.0,0.0,restricted_gap_zero_certified,116.4179548792821,71.47864110541622,187.8965959846983,0.8873164579854347,37,0,37,
Proposed,150,3,1,5.236468418135505,2.907026910064831,17,0.0,0.0,restricted_gap_zero_certified,204.1870151724641,115.88107640259325,320.06809157505734,2.460449374979362,55,0,55,
Proposed,150,4,1,3.548350789641332,2.9549526748745087,14,0.0,0.0,restricted_gap_zero_certified,141.03914058617053,117.79810699498034,258.8372475811509,1.5079285419778898,43,0,43,
Proposed,150,5,1,3.434398338622461,2.9156443858852086,14,0.0,0.0,restricted_gap_zero_certified,131.45778107602283,116.22577543540837,247.6835565114312,1.3079819579725154,43,0,43,
Proposed,150,6,1,3.158322939485162,3.5351519624808154,16,0.0,0.0,restricted_gap_zero_certified,142.2261495634292,140.53510255386146,282.76125211729067,2.5015095000271685,37,0,37,
Proposed,150,7,1,5.3167129984463415,2.9171244856476686,12,0.0,0.0,restricted_gap_zero_certified,147.01573947693814,105.55717424161823,252.57291371855638,0.9017470419639722,37,0,37,
Proposed,150,8,1,4.142914672858241,3.4099340294970175,12,0.0,0.0,restricted_gap_zero_certified,132.06916640824383,109.66412302527293,241.73328943351675,1.7139778340351768,61,0,61,
Proposed,150,9,1,5.473368130725956,3.1250108233217233,16,0.0,0.0,restricted_gap_zero_certified,202.47487893900723,124.60043293286894,327.0753118718762,1.8992302500410005,49,0,49,
Proposed,150,10,1,4.619566303345881,3.4386275792915515,16,0.0,0.0,restricted_gap_zero_certified,175.8403923557943,137.14510317166207,312.98549552745635,1.9574784169672057,49,0,49,
Proposed,200,1,1,4.290842249831346,3.8004991887352806,16,0.0,0.0,restricted_gap_zero_certified,172.272715414361,149.34086870544417,321.6135841198052,1.7852869579801336,43,0,43,
Proposed,200,2,1,3.5361762049019414,3.831474885312231,18,0.0,0.0,restricted_gap_zero_certified,169.9364985661652,152.8589954124892,322.7954939786544,3.0091802090173587,61,0,61,
Proposed,200,3,1,4.588946759855281,3.348446068813185,15,0.0,0.0,restricted_gap_zero_certified,164.91333581701903,132.70334148873926,297.6166773057583,1.9765770839876495,43,0,43,
Proposed,200,4,1,3.0881375371060527,3.4363765597365057,15,0.0,0.0,restricted_gap_zero_certified,139.09004591095427,137.05506238946023,276.1451083004145,1.677138167025987,49,0,49,
Proposed,200,5,1,4.129938739366248,3.7390620911387322,15,0.0,0.0,restricted_gap_zero_certified,157.47064158042832,141.13024891719695,298.6008904976253,1.8504531660000794,49,0,49,
Proposed,200,6,1,3.1610498892673817,4.25963850750701,20,0.0,0.0,restricted_gap_zero_certified,176.1065019112203,169.98554030028038,346.0920422115007,4.641172334027942,73,0,73,
Proposed,200,7,1,3.442370638265715,3.3243116745275096,15,0.0,0.0,restricted_gap_zero_certified,146.3534484182709,132.5724669811004,278.9259153993713,1.8981341670150869,49,0,49,
Proposed,200,8,1,2.8336237847447228,4.968334025547808,18,0.0,0.0,restricted_gap_zero_certified,157.9647255432115,198.33336102191237,356.29808656512387,4.6731785840238445,85,0,85,
Proposed,200,9,1,4.986759294959907,2.799991354491511,15,0.0,0.0,restricted_gap_zero_certified,178.23737525548245,106.87605277433106,285.1134280298135,1.455138250021264,37,0,37,
Proposed,200,10,1,3.367275816412938,4.04402820192878,17,0.0,0.0,restricted_gap_zero_certified,163.94185338315975,154.45664374279428,318.398497125954,5.561999208002817,91,0,91,
Proposed,250,1,1,4.300491571103917,3.0952267209123376,15,0.0,0.0,restricted_gap_zero_certified,155.9578478494301,114.1491848510127,270.1070327004428,2.38794574997155,55,0,55,
Proposed,250,2,1,5.876164809935101,4.314415996985184,19,0.0,0.0,restricted_gap_zero_certified,241.54591452668674,167.70457872899522,409.25049325568193,2.6219274169998243,43,0,43,
