method,n_users,count,failure_count,final_grid_ne_gap_mean,final_grid_ne_gap_std,final_grid_ne_gap_median,final_grid_ne_gap_q25,final_grid_ne_gap_q75,final_grid_ne_gap_min,final_grid_ne_gap_max,joint_revenue_mean,joint_revenue_std,joint_revenue_median,joint_revenue_q25,joint_revenue_q75,joint_revenue_min,joint_revenue_max,runtime_sec_mean,runtime_sec_std,runtime_sec_median,runtime_sec_q25,runtime_sec_q75,runtime_sec_min,runtime_sec_max,stage2_solver_calls_mean,stage2_solver_calls_std,stage2_solver_calls_median,stage2_solver_calls_q25,stage2_solver_calls_q75,stage2_solver_calls_min,stage2_solver_calls_max,audit_stage2_solver_calls_mean,audit_stage2_solver_calls_std,audit_stage2_solver_calls_median,audit_stage2_solver_calls_q25,audit_stage2_solver_calls_q75,audit_stage2_solver_calls_min,audit_stage2_solver_calls_max,total_stage2_solver_calls_mean,total_stage2_solver_calls_std,total_stage2_solver_calls_median,total_stage2_solver_calls_q25,total_stage2_solver_calls_q75,total_stage2_solver_calls_min,total_stage2_solver_calls_max
Proposed,50,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.59220230534407,18.293769913050944,135.75082581900733,129.1089364644101,142.9957463099597,114.39737767187137,180.0797905465118,0.5487981790036429,0.12625072860173633,0.5451665830041748,0.4691718955000397,0.5920850627589971,0.3596277079777792,0.7691459589987062,43.0,4.6475800154489,43.0,38.5,47.5,37.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,4.6475800154489,43.0,38.5,47.5,37.0,49.0
Proposed,100,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.45070502005737,20.234916950943067,201.19606680035614,187.09045125566126,215.06912831835456,172.62915094152203,244.2024020887483,1.447410091588972,0.5405648050554405,1.3751798954908736,0.9867996249813586,1.7625222607457545,0.7574846249772236,2.4398129580076784,54.4,19.24681791881453,49.0,40.0,55.0,37.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.4,19.24681791881453,49.0,40.0,55.0,37.0,103.0
Proposed,150,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.57416533808475,41.72620459626122,255.70508064985364,243.22085620299535,305.42943467491494,187.8965959846983,327.0753118718762,1.700282516796142,0.5331423832723465,1.789591813023435,1.357968603973859,1.9429163752356544,0.8873164579854347,2.5015095000271685,46.6,8.138795979750322,46.0,38.5,53.5,37.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6,8.138795979750322,46.0,38.5,53.5,37.0,61.0
Proposed,200,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.1599723534021,26.13313498964861,308.49969381178965,288.23924034879974,322.5000165139421,276.1451083004145,356.29808656512387,2.852825812710216,1.4503566713272025,1.9373556255013682,1.80157850998512,4.233174302775296,1.455138250021264,5.561999208002817,58.0,17.84936973677222,49.0,44.5,70.0,37.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,17.84936973677222,49.0,44.5,70.0,37.0,91.0
Proposed,250,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.49792577438143,40.60143463890289,325.21860443715553,298.16458376394735,338.02055265226136,266.53931665751537,409.25049325568193,2.7282024666958025,1.3338200083353586,2.457441917009419,2.2417120310274186,2.6620557604910573,1.4164801249862649,6.549279416969512,57.4,22.481992794234234,52.0,44.5,59.5,37.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4,22.481992794234234,52.0,44.5,59.5,37.0,121.0
GA,50,10,0,1.3853616932131203,2.7006057096199814,0.19441723690106727,0.047649168325783364,1.1995814273588046,0.0,9.284813869033968,150.76153064783853,26.347244767306098,152.82785134821899,137.9119594988357,169.10516350441995,93.03012461649232,193.8878711169607,388.5654190835077,89.91755972294071,355.4149779375002,328.46918334427755,402.4013176562439,297.27072875003796,566.2519470420084,2998.9,355.6170552715378,3018.0,2802.0,3197.25,2437.0,3701.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,3238.9,355.6170552715378,3258.0,3042.0,3437.25,2677.0,3941.0
GA,100,10,0,5.126407987485342,6.330546913909131,1.7480450750478553,0.6241023147501252,7.99797873422731,0.08972899902785514,20.55721452607395,190.13440137670418,43.32110849805067,195.93402097973444,152.21896063569588,217.48467301279175,122.15304348176244,269.5492595004863,1375.1772729791876,387.5220982191909,1301.0570930624963,1162.2239151145186,1393.3800914587046,920.4449570829747,2179.2655658749864,2877.4,194.2149324846058,2888.0,2753.75,2968.25,2586.0,3197.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,3117.4,194.2149324846058,3128.0,2993.75,3208.25,2826.0,3437.0
GA,150,10,0,1.2380129066390495,2.340920536701857,0.29364661474120624,0.08210317377254839,1.0412134099064474,0.0,8.109899495798288,294.80711985979895,47.66121184085195,307.27249430183997,258.10184217130904,325.3571227823299,211.80098566464716,370.71932237214014,4142.736312379316,442.9926343848951,4154.040951333533,3885.684729916771,4461.959177406257,3414.669940833992,4891.72157516703,3028.3,386.9441949428884,3003.5,2832.5,3382.5,2278.0,3523.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,3268.3,386.9441949428884,3243.5,3072.5,3622.5,2518.0,3763.0
GA,200,10,0,2.0757536452538177,1.9093929554943123,1.6318347104042346,0.3409811215755951,3.6332943089000977,0.0,5.5530910924370005,317.3899685432716,25.66238459945214,329.46192227252925,295.1356838084617,334.5362977863975,275.0207053835612,350.52870477712634,11722.6333444792,3597.285456854948,10219.236312479508,9969.535375937001,11370.151575416494,8206.118416957994,19943.837869209,3067.1,296.57897767711046,3066.5,2848.0,3295.0,2508.0,3524.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,3307.1,296.57897767711046,3306.5,3088.0,3535.0,2748.0,3764.0
GA,250,10,0,1.4170777112826216,1.2329613339493382,1.0875105817763,0.6173918318835092,2.0315719629894957,0.0,4.1686930567769025,346.2410942255464,46.3762005903854,340.1094265306614,316.8907491097878,367.9980396631274,287.26497336213856,450.7763172733396,19053.962569850108,3904.4861022344458,20039.495973812518,15075.361073709006,20924.172547500493,14437.384799625026,26801.756287833035,3022.5,358.6400005576623,2965.0,2723.5,3188.5,2609.0,3753.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,3262.5,358.6400005576623,3205.0,2963.5,3428.5,2849.0,3993.0
BO-online,50,10,0,4.013351981650713,2.5531424392385222,3.4273465350074765,2.2204717033581716,5.358148516004581,1.006982328163346,9.490981465390178,136.4797135620721,24.12563252119372,136.0841600450096,123.54334654591142,137.6593951901535,96.87621247304753,192.53835989734154,145.2530418872193,21.51460909134474,140.79121835398837,130.51002974975563,153.77403083302488,116.14698554103961,191.65149712504353,1071.0,0.0,1071.0,1071.0,1071.0,1071.0,1071.0,240.0,0.0,240.0,240.0,240.0,240.0,240.0,1311.0,0.0,1311.0,1311.0,1311.0,1311.0,1311.0
