n_users,trial,final_pE,final_pN,restricted_gap,recorded_final_grid_ne_gap,true_grid_ne_gap,audit_grid_points,audit_stage2_solver_calls,runtime_sec,esp_revenue,nsp_revenue,joint_revenue,source_row_final_grid_ne_gap_source,error
50,1,5.04201888414955,1.3950473156451193,0.0,0.0,4.144212842728393,120,240,16.74646216596011,101.08715680016284,55.40189262580476,156.4890494259676,restricted_gap_zero_certified,
50,2,1.3101388714361029,2.353110123686611,0.0,0.0,4.0362324357642265,120,240,16.556701708002947,51.829533770201124,69.69958491273336,121.52911868293448,restricted_gap_zero_certified,
50,3,5.349750341695347,2.531626678783541,0.0,0.0,1.8409087272187463,120,240,21.205129750072956,111.07867255704066,73.99636246194414,185.0750350189848,restricted_gap_zero_certified,
50,4,2.016889814157829,1.7395091926807458,0.0,0.0,0.0,120,240,14.26941850001458,60.790509455105855,68.87839635572742,129.66890581083328,restricted_gap_zero_certified,
50,5,2.4464139444864883,1.6968778901612005,0.0,0.0,5.008918006997362,120,240,17.228565708966926,71.2605707197384,67.47511560644803,138.73568632618642,restricted_gap_zero_certified,
50,6,3.6050239448073103,2.689025884624899,0.0,0.0,14.57021456014747,120,240,15.663287541945465,60.5250518283515,53.87232584351987,114.39737767187137,restricted_gap_zero_certified,
50,7,3.9177676649616155,4.136481749823598,0.0,0.0,9.3000871691587,120,240,18.07937958301045,68.2696709906944,68.991161662064,137.26083265275838,restricted_gap_zero_certified,
50,8,2.786247118200113,1.240957452387599,0.0,0.0,1.872905582706494,120,240,17.33906233299058,85.00252088975235,49.238298095503964,134.2408189852563,restricted_gap_zero_certified,
50,9,2.364480938997096,2.036102650253622,0.0,0.0,0.2259739440505939,120,240,16.456421833019704,78.05996342908429,80.41570409564696,158.47566752473125,restricted_gap_zero_certified,
50,10,1.4406078422212067,1.9239166427061543,0.0,0.0,8.795423993697199,120,240,17.395188500056975,66.13811760501092,76.55666570824616,142.69478331325706,restricted_gap_zero_certified,
100,1,3.5892309022465057,2.6297886751139252,0.0,0.0,2.1989194739083757,120,240,107.3295035000192,123.35548657853815,104.79154700455702,228.14703358309515,restricted_gap_zero_certified,
100,2,1.8431262403001252,2.7975991154186084,0.0,0.0,9.709287564177544,120,240,107.58903249993455,97.17446364272391,109.22500507468685,206.39946871741074,restricted_gap_zero_certified,
100,3,3.7343865155596294,5.483883694981194,0.0,0.0,0.0,120,240,65.50672704202589,61.05396080994997,79.93312671841132,140.9870875283613,restricted_gap_zero_certified,
100,4,3.2236814378940566,2.857806856840022,0.0,0.0,2.576619967068936,120,240,114.05758374999277,130.2901278151474,113.9122742736009,244.2024020887483,restricted_gap_zero_certified,
100,5,2.4317032899723805,2.742801782797997,0.0,0.0,0.06647326385790109,120,240,78.5627904580906,96.78257737555168,109.3120713119199,206.0946486874716,restricted_gap_zero_certified,
100,6,3.732200725096451,2.658272404975288,0.0,0.0,9.155096869677237,120,240,119.91349370905664,123.37144880670374,98.34141858810341,221.71286739480715,restricted_gap_zero_certified,
100,7,1.776160596264757,3.1373974562396008,0.0,0.0,3.857361921060928,120,240,108.2755356670823,99.2965011616123,125.09589824958404,224.39239941119632,restricted_gap_zero_certified,
100,8,2.759793712339824,2.612254583495818,0.0,0.0,1.13735529890711,120,240,104.62528154195752,116.4780352515437,100.87260435050699,217.3506396020507,restricted_gap_zero_certified,
100,9,4.641009329200185,1.5136943418525703,0.0,0.0,4.537504119927888,120,240,98.56663829192985,121.16599483623979,60.147773674102815,181.3137685103426,restricted_gap_zero_certified,
100,10,3.3132639284839165,1.7830577410582549,0.0,0.0,5.5886147274177205,120,240,77.74287933309097,101.5286254616237,70.92230964233019,172.4509351039539,restricted_gap_zero_certified,
150,1,3.7646159930565894,2.3174444264496104,0.0,0.0,6.361046471427343,120,240,287.3230807079235,132.24805228451024,92.29777705798446,224.5458293424947,restricted_gap_zero_certified,
150,2,4.371631527435715,1.7831173477544084,0.0,0.0,8.052547707381763,120,240,247.61089508410078,109.63449989443959,70.56608227575491,180.20058217019448,restricted_gap_zero_certified,
150,3,5.236468418135505,2.90710805350833,0.0,0.0,10.962736683196226,120,240,386.1889895829372,204.1870151724641,115.8843221403332,320.0713373127973,restricted_gap_zero_certified,
150,4,3.484759079768033,3.010187544386106,0.0,0.0,2.4924646372724055,120,240,305.5688513329951,139.7624031877681,120.00750177544423,259.7699049632123,restricted_gap_zero_certified,
