metric,method,n_users,count,mean,std,min,max,source
ne_gap,Proposed,50,10,4.97948772625,4.40104525315,0,14.5702145601,q4_proposed_ne_gap_audit
ne_gap,Proposed,100,10,3.8827233206,3.2680831099,0,9.70928756418,q4_proposed_ne_gap_audit
ne_gap,Proposed,150,10,5.46532756033,3.92075545817,0.0607123843415,12.1698095756,q4_proposed_ne_gap_audit
ne_gap,Proposed,200,10,6.85307822662,1.94050991352,4.4671911874,11.0084475368,q4_proposed_ne_gap_audit
ne_gap,Proposed,250,10,6.49624862133,3.30438099819,0.990617652395,10.6711255582,q4_proposed_ne_gap_audit
ne_gap,GA,50,10,1.38536169321,2.70060570962,0,9.28481386903,old_rerun_baseline
ne_gap,GA,100,10,5.12640798749,6.33054691391,0.0897289990279,20.5572145261,old_rerun_baseline
ne_gap,GA,150,10,1.23801290664,2.3409205367,0,8.1098994958,old_rerun_baseline
ne_gap,GA,200,10,2.07575364525,1.90939295549,0,5.55309109244,old_rerun_baseline
ne_gap,GA,250,10,1.41707771128,1.23296133395,0,4.16869305678,old_rerun_baseline
ne_gap,BO-online,50,10,4.01335198165,2.55314243924,1.00698232816,9.49098146539,old_rerun_baseline
ne_gap,BO-online,100,10,3.62180096457,2.62912328087,0.275780238922,9.42061132548,old_rerun_baseline
ne_gap,BO-online,150,10,4.69122764821,3.24330739422,0.843256638559,11.3572190916,old_rerun_baseline
ne_gap,BO-online,200,10,6.60773313934,4.7698901679,0.246525061679,16.8091919364,old_rerun_baseline
ne_gap,BO-online,250,10,7.38833606761,5.26865004449,0.611409996017,20.6743462596,old_rerun_baseline
ne_gap,MARL,50,10,27.9508922471,11.4019510354,3.83510198096,44.0037789708,old_rerun_baseline
ne_gap,MARL,100,10,36.1307139087,16.2059345529,8.36932299719,56.9091846586,old_rerun_baseline
ne_gap,MARL,150,10,52.7151346061,19.3493498026,26.9652179312,90.01226661,old_rerun_baseline
ne_gap,MARL,200,10,77.7064692093,11.4026426739,63.8644807947,96.5042203149,old_rerun_baseline
ne_gap,MARL,250,10,70.3086672473,18.2021640411,22.9857807666,96.8541581611,old_rerun_baseline
joint_revenue,Proposed,50,10,141.856727541,19.3996243147,114.397377672,185.075035019,q4_proposed
joint_revenue,Proposed,100,10,204.305125063,29.3206365736,140.987087528,244.202402089,q4_proposed
joint_revenue,Proposed,150,10,270.144052197,48.7422055718,180.20058217,358.427686443,q4_proposed
joint_revenue,Proposed,200,10,307.767909551,30.4166482989,269.719961536,377.003000873,q4_proposed
joint_revenue,Proposed,250,10,325.460768042,42.4453309627,270.414056187,427.004839896,q4_proposed
joint_revenue,GA,50,10,150.761530648,26.3472447673,93.0301246165,193.887871117,old_rerun_baseline
joint_revenue,GA,100,10,190.134401377,43.3211084981,122.153043482,269.5492595,old_rerun_baseline
joint_revenue,GA,150,10,294.80711986,47.6612118409,211.800985665,370.719322372,old_rerun_baseline
