method,n_users,trial,success,final_pE,final_pN,offloading_size,restricted_gap,final_grid_ne_gap,final_grid_ne_gap_source,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
Proposed,50,1,1,5.04201888414955,1.3950473156451193,9,0.0,0.0,restricted_gap_zero_certified,101.08715680016284,55.40189262580476,156.4890494259676,0.3825995000079274,49,0,49,
Proposed,50,2,1,1.3101388714361029,2.353110123686611,10,0.0,0.0,restricted_gap_zero_certified,51.829533770201124,69.69958491273336,121.52911868293448,0.651334417052567,67,0,67,
Proposed,50,3,1,5.349750341695347,2.531626678783541,9,0.0,0.0,restricted_gap_zero_certified,111.07867255704066,73.99636246194414,185.0750350189848,0.3280327500542626,49,0,49,
Proposed,50,4,1,2.016889814157829,1.7395091926807458,9,0.0,0.0,restricted_gap_zero_certified,60.790509455105855,68.87839635572742,129.66890581083328,0.2538962080143392,43,0,43,
Proposed,50,5,1,2.4464139444864883,1.6968778901612005,9,0.0,0.0,restricted_gap_zero_certified,71.2605707197384,67.47511560644803,138.73568632618642,0.3362018750049174,49,0,49,
Proposed,50,6,1,3.6050239448073103,2.689025884624899,6,0.0,0.0,restricted_gap_zero_certified,60.5250518283515,53.87232584351987,114.39737767187137,0.19655754102859646,37,0,37,
Proposed,50,7,1,3.9177676649616155,4.136481749823598,7,0.0,0.0,restricted_gap_zero_certified,68.2696709906944,68.991161662064,137.26083265275838,0.196902499999851,37,0,37,
Proposed,50,8,1,2.786247118200113,1.240957452387599,9,0.0,0.0,restricted_gap_zero_certified,85.00252088975235,49.238298095503964,134.2408189852563,0.25237670890055597,37,0,37,
Proposed,50,9,1,2.364480938997096,2.036102650253622,10,0.0,0.0,restricted_gap_zero_certified,78.05996342908429,80.41570409564696,158.47566752473125,0.41223233297932893,49,0,49,
Proposed,50,10,1,1.4406078422212067,1.9239166427061543,11,0.0,0.0,restricted_gap_zero_certified,66.13811760501092,76.55666570824616,142.69478331325706,0.8393460839288309,61,0,61,
Proposed,100,1,1,3.5892309022465057,2.6297886751139252,13,0.0,0.0,restricted_gap_zero_certified,123.35548657853815,104.79154700455702,228.14703358309515,0.989302417030558,61,0,61,
Proposed,100,2,1,1.8431262403001252,2.7975991154186084,14,0.0,0.0,restricted_gap_zero_certified,97.17446364272391,109.22500507468685,206.39946871741074,0.7174471659818664,55,0,55,
Proposed,100,3,1,3.7343865155596294,5.483883694981194,6,0.0,0.0,restricted_gap_zero_certified,61.05396080994997,79.93312671841132,140.9870875283613,0.2543809999478981,37,0,37,
Proposed,100,4,1,3.2236814378940566,2.857806856840022,14,0.0,0.0,restricted_gap_zero_certified,130.2901278151474,113.9122742736009,244.2024020887483,0.8859172499505803,49,0,49,
Proposed,100,5,1,2.4317032899723805,2.742801782797997,12,0.0,0.0,restricted_gap_zero_certified,96.78257737555168,109.3120713119199,206.0946486874716,0.7478849580511451,49,0,49,
Proposed,100,6,1,3.732200725096451,2.658272404975288,13,0.0,0.0,restricted_gap_zero_certified,123.37144880670374,98.34141858810341,221.71286739480715,0.7300103328889236,55,0,55,
Proposed,100,7,1,1.776160596264757,3.1373974562396008,15,0.0,0.0,restricted_gap_zero_certified,99.2965011616123,125.09589824958404,224.39239941119632,1.2416937090456486,79,0,79,
Proposed,100,8,1,2.759793712339824,2.612254583495818,14,0.0,0.0,restricted_gap_zero_certified,116.4780352515437,100.87260435050699,217.3506396020507,0.955376333091408,61,0,61,
Proposed,100,9,1,4.641009329200185,1.5136943418525703,11,0.0,0.0,restricted_gap_zero_certified,121.16599483623979,60.147773674102815,181.3137685103426,0.5869049170287326,55,0,55,
Proposed,100,10,1,3.3132639284839165,1.7830577410582549,11,0.0,0.0,restricted_gap_zero_certified,101.5286254616237,70.92230964233019,172.4509351039539,0.6969085420714691,67,0,67,
Proposed,150,1,1,3.7646159930565894,2.3174444264496104,13,0.0,0.0,restricted_gap_zero_certified,132.24805228451024,92.29777705798446,224.5458293424947,1.0279571670107543,79,0,79,
Proposed,150,2,1,4.371631527435715,1.7831173477544084,11,0.0,0.0,restricted_gap_zero_certified,109.63449989443959,70.56608227575491,180.20058217019448,1.0262569999322295,61,0,61,
Proposed,150,3,1,5.236468418135505,2.90710805350833,17,0.0,0.0,restricted_gap_zero_certified,204.1870151724641,115.8843221403332,320.0713373127973,0.9206476249964908,37,0,37,
Proposed,150,4,1,3.484759079768033,3.010187544386106,14,0.0,0.0,restricted_gap_zero_certified,139.7624031877681,120.00750177544423,259.7699049632123,1.4702191670658067,85,0,85,
Proposed,150,5,1,3.764462005815609,2.968158141146822,13,0.0,0.0,restricted_gap_zero_certified,129.90367330840527,113.07625382649516,242.97992713490044,0.9003762500360608,55,0,55,
Proposed,150,6,1,4.463824427638524,3.173535326446158,14,0.0,0.0,restricted_gap_zero_certified,149.72635491985667,113.97041512886852,263.69677004872517,0.9428278330015019,49,0,49,
Proposed,150,7,1,5.3167129984463415,2.9171244856476686,12,0.0,0.0,restricted_gap_zero_certified,147.01573947693814,105.55717424161823,252.57291371855638,0.5442720419960096,37,0,37,
Proposed,150,8,1,3.067068293591825,3.4313393332486037,16,0.0,0.0,restricted_gap_zero_certified,149.0855013472808,136.85357332994417,285.939074677225,1.6631336669670418,79,0,79,
Proposed,150,9,1,4.308271486755768,4.002281768869367,18,0.0,0.0,restricted_gap_zero_certified,198.73641568866137,159.69127075477468,358.4276864434361,1.063461208017543,43,0,43,
Proposed,150,10,1,4.60069668916366,3.4539290414529535,16,0.0,0.0,restricted_gap_zero_certified,175.47933449785015,137.75716165811815,313.2364961559683,2.302273540990427,85,0,85,
Proposed,200,1,1,5.343799604719224,2.940744021778612,15,0.0,0.0,restricted_gap_zero_certified,180.83749740350723,117.22976087114446,298.0672582746517,0.9065700409701094,37,0,37,
Proposed,200,2,1,3.5174676981950004,3.8543080028273717,18,0.0,0.0,restricted_gap_zero_certified,169.48381261883935,153.77232011309482,323.25613273193414,1.7162184999324381,61,0,61,
Proposed,200,3,1,4.188564387751551,3.3563285387800943,15,0.0,0.0,restricted_gap_zero_certified,157.52199114336847,132.86038066527854,290.382371808647,0.9640324159990996,37,0,37,
Proposed,200,4,1,3.297747465759353,3.2688309432792098,15,0.0,0.0,restricted_gap_zero_certified,143.76266028497076,130.3532377311684,274.11589801613917,1.305433625006117,79,0,79,
Proposed,200,5,1,3.056355750464648,4.472750944483334,17,6.416974808719772,5.910846248774391,audit_grid,151.610919605781,167.82457636486015,319.4354959706411,2.952443208079785,115,240,355,
Proposed,200,6,1,2.1320634558892397,5.25595326330416,23,0.0,0.0,restricted_gap_zero_certified,167.16487034117648,209.8381305321664,377.0030008733429,4.208947082981467,85,0,85,
Proposed,200,7,1,3.914908026504228,3.059104999392821,14,0.0,0.0,restricted_gap_zero_certified,147.75576156048334,121.96419997571284,269.7199615361962,0.8561657910468057,49,0,49,
Proposed,200,8,1,4.763149830985427,3.3847105220990916,15,0.0,0.0,restricted_gap_zero_certified,173.49809109907434,134.9884208839637,308.48651198303804,1.458846875000745,85,0,85,
Proposed,200,9,1,4.986759294959907,2.799991354491511,15,0.0,0.0,restricted_gap_zero_certified,178.23737525548245,106.87605277433106,285.1134280298135,0.778853458003141,37,0,37,
Proposed,200,10,1,2.680920165098882,4.794086829870113,18,0.0,0.0,restricted_gap_zero_certified,154.78915375073964,177.30988253385428,332.0990362845939,2.0266661249333993,79,0,79,
Proposed,250,1,1,4.093478354094465,3.3215018029710723,15,0.0,0.0,restricted_gap_zero_certified,152.1399395822065,118.27411660520691,270.4140561874134,1.3595607919851318,43,0,43,
Proposed,250,2,1,4.880791457439631,4.630402700152742,21,0.0,0.0,restricted_gap_zero_certified,242.1887318894837,184.8161080061097,427.00483989559336,2.2981226249830797,61,0,61,
Proposed,250,3,1,3.3528468340639965,4.315807976574551,18,0.0,0.0,restricted_gap_zero_certified,168.74035442383638,172.23231906298204,340.9726734868184,1.966591625008732,61,0,61,
Proposed,250,4,1,3.7903496272654356,4.13716741251963,19,0.0,0.0,restricted_gap_zero_certified,190.36896469373627,162.72921978205918,353.09818447579545,2.115569708053954,67,0,67,
Proposed,250,5,1,3.817393043929562,4.233922595058138,17,0.0,0.0,restricted_gap_zero_certified,175.06823324306797,163.68978846730093,338.7580217103689,1.1180522090289742,37,0,37,
Proposed,250,6,1,5.623164371593495,3.219133290739762,16,0.0,0.0,restricted_gap_zero_certified,195.14320209512294,128.36533162959051,323.50853372471346,1.9579201659653336,85,0,85,
Proposed,250,7,1,4.870441296933229,3.2700691461904663,14,0.0,0.0,restricted_gap_zero_certified,164.67526284728476,130.21402584329513,294.88928869057986,1.1794213330140337,49,0,49,
