figure_id,block,method,Q,trial,candidate_family_size,restricted_gap,grid_ne_gap,runtime_sec,stage2_calls,final_pE,final_pN
F1,F,Proposed,1,1,4.0,0.0,41.08696971,0.1138757998123765,19,6.637766076709,2.462410178226
F1,F,Proposed,1,2,4.0,0.0,5.556086668,0.24669579975306988,39,3.454392793548,2.446790261242
F1,F,Proposed,1,3,4.0,0.0,28.62175648,0.19089889992028475,20,6.648932073272,3.229574756272
F1,F,Proposed,1,4,4.0,0.0,41.83372759,0.173994199372828,22,7.04922222074,2.154158426578
F1,F,Proposed,1,5,4.0,0.0,10.90003706,0.1394051006063819,22,9.94809622933,0.601877104362
F1,F,Proposed,1,6,4.0,0.0,45.29147581,0.13306420017033815,27,8.856824145114,1.780345649686
F1,F,Proposed,1,7,4.0,0.0,63.77190636,0.3699965002015233,17,4.28847533453,0.5
F1,F,Proposed,1,8,4.0,0.0,4.026845638,0.40884939953684807,53,1.763078525122,3.397281269228
F1,F,Proposed,1,9,4.0,0.0,21.06894604,0.2361571006476879,19,3.805355711366,3.578277747099
F1,F,Proposed,1,10,4.0,0.0,21.84813587,0.2598107997328043,39,7.208479097336,0.71538834817
F1,F,Proposed,2,1,9.0,0.0,17.22264275,0.8892542999237776,122,3.283430874352,2.972649164262
F1,F,Proposed,2,2,9.0,0.0,7.412303938,0.5945372004061937,43,5.171047167083,1.706080673147
F1,F,Proposed,2,3,9.0,0.0,33.43216259,0.6040893001481891,101,8.671922621488,1.608571586047
F1,F,Proposed,2,4,9.0,0.0,37.71979132,0.3699032003059983,38,7.933880334827,1.797068261749
F1,F,Proposed,2,5,9.0,0.0,10.90003706,0.33785909973084927,43,9.94809622933,0.601877104362
F1,F,Proposed,2,6,9.0,0.0,35.06052526,0.4211508994922042,90,5.71069762942,3.123297481751
F1,F,Proposed,2,7,9.0,0.0,17.10880319,1.9986519003286958,192,3.998496933914,2.386871355721
F1,F,Proposed,2,8,9.0,0.0,0.4538327398,0.6138318991288543,57,1.993269916687,3.299047722073
F1,F,Proposed,2,9,9.0,0.0,13.77662818,0.5664411000907421,42,3.325296441698,2.10159554685
F1,F,Proposed,2,10,9.0,0.0,26.10096077,0.5137948002666235,81,5.751377246717,1.00785704021
F1,F,Proposed,3,1,16.0,0.0,25.23890251,1.3550137002021074,174,4.603021116231,2.744464574429
F1,F,Proposed,3,2,16.0,0.0,6.142111185,1.610984000377357,105,5.2078650269,1.943425725208
F1,F,Proposed,3,3,16.0,0.0,27.24349694,1.4138746000826359,217,5.814041747267,3.576923069714
F1,F,Proposed,3,4,16.0,0.0,9.392806074,1.188438099808991,135,5.920289870676,1.754762015193
F1,F,Proposed,3,5,16.0,0.0,10.90003706,0.5104914996773005,69,9.94809622933,0.601877104362
F1,F,Proposed,3,6,16.0,0.0,10.11813176,0.8011722005903721,117,3.008514011328,3.222613340719
F1,F,Proposed,3,7,16.0,0.0,17.43531349,1.4170675994828343,91,3.764271445867,2.621388400072
