method,n_users,trial,success,final_pE,final_pN,offloading_size,restricted_gap,final_grid_ne_gap,final_grid_ne_gap_source,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
Proposed,200,1,1,4.290842249831346,3.800499188735287,16,0.0,0.0,restricted_gap_zero_certified,172.27271541436102,149.34086870544428,321.6135841198053,19.628548599779606,43,0,43,
Proposed,200,2,1,3.5361762049019414,3.831474885312231,18,0.0,0.0,restricted_gap_zero_certified,169.9364985661652,152.8589954124892,322.7954939786544,35.02472560014576,61,0,61,
Proposed,200,3,1,4.588946759855281,3.348446068813185,15,0.0,0.0,restricted_gap_zero_certified,164.91333581701903,132.70334148873926,297.6166773057583,20.121560900472105,43,0,43,
Proposed,200,4,1,3.0881375371060527,3.4363765597365057,15,0.0,0.0,restricted_gap_zero_certified,139.09004591095427,137.05506238946023,276.1451083004145,24.9081667996943,49,0,49,
Proposed,200,5,1,4.129938739366248,3.7390620911387322,15,0.0,0.0,restricted_gap_zero_certified,157.47064158042832,141.13024891719695,298.6008904976253,22.600854099728167,49,0,49,
Proposed,200,6,1,3.1610498892673817,4.25963850750701,20,0.0,0.0,restricted_gap_zero_certified,176.1065019112203,169.98554030028038,346.0920422115007,54.56073920056224,73,0,73,
Proposed,200,7,1,3.4423706382657127,3.3243116745275096,15,0.0,0.0,restricted_gap_zero_certified,146.35344841827083,132.5724669811004,278.9259153993712,22.5082374997437,49,0,49,
Proposed,200,8,1,2.8336237847447228,4.968334025547808,18,0.0,0.0,restricted_gap_zero_certified,157.9647255432115,198.33336102191237,356.29808656512387,48.820465500466526,85,0,85,
Proposed,200,9,1,4.986759294959907,2.799991354491511,15,0.0,0.0,restricted_gap_zero_certified,178.23737525548245,106.87605277433106,285.1134280298135,17.845692199654877,37,0,37,
Proposed,200,10,1,3.367275816412938,4.04402820192878,17,0.0,0.0,restricted_gap_zero_certified,163.94185338315975,154.45664374279428,318.398497125954,61.14646149985492,91,0,91,
Proposed,400,1,1,4.938495075845278,4.285414775931544,16,0.0,0.0,restricted_gap_zero_certified,196.06289019370465,171.01659103726178,367.0794812309664,28.163607600145042,43,0,43,
Proposed,400,2,1,5.390920239368197,4.31883688523745,21,0.0,0.0,restricted_gap_zero_certified,255.29172680035802,172.35347540949803,427.64520220985605,63.87881449982524,55,0,55,
Proposed,400,3,1,4.28421201269857,4.447146046737612,19,0.0,0.0,restricted_gap_zero_certified,200.88787071744736,177.48584186950453,378.3737125869519,40.116535399109125,49,0,49,
Proposed,400,4,1,3.8575708864886153,4.525532978561995,17,0.0,0.0,restricted_gap_zero_certified,170.6317148937521,180.62131914247982,351.25303403623195,39.547229499556124,67,0,67,
Proposed,400,5,1,3.2387508767771993,5.201238060762966,21,0.0,0.0,restricted_gap_zero_certified,195.7504269324894,191.69247310991855,387.4429000424079,53.9176883995533,67,0,67,
Proposed,400,6,1,5.1565254887483505,3.89333681246833,16,0.0,0.0,restricted_gap_zero_certified,198.6476372635754,155.33347249873322,353.9811097623086,33.67895139940083,55,0,55,
Proposed,400,7,1,5.233506450216741,3.756309683020508,20,0.0,0.0,restricted_gap_zero_certified,230.0461875855912,149.85238732082033,379.89857490641157,32.93845469970256,37,0,37,
Proposed,400,8,1,5.012747354763844,4.117787669753125,17,0.0,0.0,restricted_gap_zero_certified,199.42066114085753,164.311506790125,363.73216793098254,27.485618200153112,37,0,37,
Proposed,400,9,1,6.122619968947587,3.869454250077238,16,0.0,0.0,restricted_gap_zero_certified,207.2833107067807,140.98582193793573,348.2691326447164,22.433590800501406,37,0,37,
Proposed,400,10,1,5.76329423585199,3.9168847490517082,18,0.0,0.0,restricted_gap_zero_certified,232.05131611025507,156.2753899620684,388.3267060723235,17.943173700012267,43,0,43,
Proposed,600,1,1,4.927329672301637,4.30738534872555,18,0.0,0.0,restricted_gap_zero_certified,209.88861288993328,160.51317308069136,370.40178597062464,42.40388939995319,37,0,37,
Proposed,600,2,1,5.0926873444955625,4.391310712084075,21,0.0,0.0,restricted_gap_zero_certified,245.86696435435996,175.25242848336305,421.119392837723,57.752023600041866,49,0,49,
Proposed,600,3,1,5.254885436029714,6.064580560937168,23,0.0,0.0,restricted_gap_zero_certified,277.1642984554606,217.26402888991555,494.42832734537615,82.25177810061723,61,0,61,
Proposed,600,4,1,6.742179615122329,4.57495031877664,21,0.0,0.0,restricted_gap_zero_certified,292.4738105839854,182.59801275106565,475.0718233350511,63.918648700229824,55,0,55,
Proposed,600,5,1,5.217570211889944,5.171107966259201,19,0.0,0.0,restricted_gap_zero_certified,235.748765283603,206.44431865036807,442.1930839339711,55.698250900022686,55,0,55,
Proposed,600,6,1,6.534920879751526,3.9278011947936924,20,0.0,0.0,restricted_gap_zero_certified,271.79032653748413,156.22803982677092,428.01836636425503,61.75319270044565,55,0,55,
Proposed,600,7,1,5.332463260633029,4.555893247505911,19,0.0,0.0,restricted_gap_zero_certified,236.71821930276195,181.83572990023643,418.5539492029984,53.09706549998373,55,0,55,
Proposed,600,8,1,5.18781780917978,4.392558051792034,19,0.0,0.0,restricted_gap_zero_certified,226.2153498348632,175.30232207168137,401.5176719065446,43.39379130024463,43,0,43,
Proposed,600,9,1,6.1890995304857075,4.0161424222247755,21,0.0,0.0,restricted_gap_zero_certified,280.44842504158294,160.24569688899106,440.694121930574,47.50261389929801,43,0,43,
Proposed,600,10,1,6.114151394953401,4.016757733870945,16,0.0,0.0,restricted_gap_zero_certified,211.5490259987595,140.55244842825454,352.10147442701407,42.45632370002568,49,0,49,
Proposed,800,1,1,6.17698446717284,4.805591027562262,19,0.0,0.0,restricted_gap_zero_certified,259.9933814310763,191.8236411024905,451.8170225335668,68.19553169980645,67,0,67,
Proposed,800,2,1,7.385335965142429,3.624146186904244,17,0.0,0.0,restricted_gap_zero_certified,244.75469289799022,142.84945320777464,387.60414610576487,62.00699769984931,55,0,55,
Proposed,800,3,1,4.685164343503313,5.632728109950715,22,0.0,0.0,restricted_gap_zero_certified,246.43985800551394,224.90912439802858,471.34898240354255,53.16715340036899,43,0,43,
Proposed,800,4,1,6.176599869025379,4.594243989174429,21,0.0,0.0,restricted_gap_zero_certified,277.87588164218766,183.36975956697717,461.24564120916483,56.070402099750936,49,0,49,
Proposed,800,5,1,7.2120576668247915,4.322963609971794,20,0.0,0.0,restricted_gap_zero_certified,286.5196595887547,171.75314602024184,458.2728056089965,107.40931040048599,97,0,97,
Proposed,800,6,1,5.79186654343698,5.12044632875525,22,0.0,0.0,restricted_gap_zero_certified,283.6597792845723,204.41785315020994,488.07763243478223,71.8387355003506,61,0,61,
Proposed,800,7,1,7.21447451867396,4.756872090147293,22,0.0,0.0,restricted_gap_zero_certified,318.66508921586393,189.87488360589168,508.5399728217556,70.24882570002228,61,0,61,
Proposed,800,8,1,5.088669468601382,4.710722377407291,21,0.0,0.0,restricted_gap_zero_certified,255.36622414353184,188.02889509629162,443.39511923982343,49.109745300374925,43,0,43,
Proposed,800,9,1,5.45568524418427,3.3573410336427143,19,0.0,0.0,restricted_gap_zero_certified,226.26321999161593,133.89364134570855,360.1568613373245,51.162711299955845,49,0,49,
Proposed,800,10,1,7.705113503897217,4.458330719238713,19,0.0,0.0,restricted_gap_zero_certified,289.25702460461963,166.3335781747807,455.59060277940034,52.69452289957553,49,0,49,
Proposed,1000,1,1,6.166857703500303,4.908423031703613,20,0.0,0.0,restricted_gap_zero_certified,262.442469302778,188.36882423987203,450.81129354265005,135.74156910087913,103,0,103,
Proposed,1000,2,1,6.355373459815276,4.374390075389209,22,0.0,0.0,restricted_gap_zero_certified,285.16270988422707,174.57560301556833,459.7383128997954,146.6834578998387,103,0,103,
Proposed,1000,3,1,5.602348614294256,5.849935683923883,25,0.0,0.0,restricted_gap_zero_certified,316.849240503165,232.31923624863578,549.1684767518008,115.73971990030259,67,0,67,
Proposed,1000,4,1,7.769809340036576,4.527728360205178,19,0.0,0.0,restricted_gap_zero_certified,291.9932413629454,174.58619573851124,466.5794371014566,64.80319090001285,49,0,49,
Proposed,1000,5,1,6.524587686485336,4.513256090480445,23,0.0,0.0,restricted_gap_zero_certified,313.7540507357573,180.1302436192178,493.88429435497505,64.39693249948323,43,0,43,
Proposed,1000,6,1,6.664540915339944,5.856603264930899,24,5.809703968717599,5.809703968717599,restricted_gap_upper_bound_after_slow_audit,332.2225684441679,221.06329431557174,553.2858627597396,26.08927240036428,145,0,145,
Proposed,1000,7,1,5.976050024572317,5.494194806915311,23,0.0,0.0,restricted_gap_zero_certified,300.20130205597445,214.4588803785492,514.6601824345237,68.75049079954624,37,0,37,
Proposed,1000,8,1,5.413943217244327,5.338501012752136,22,0.0,0.0,restricted_gap_zero_certified,275.03203511945213,212.74428709625894,487.77632221571105,100.1517223007977,61,0,61,
Proposed,1000,9,1,4.79908184274765,6.241754490927777,24,0.0,0.0,restricted_gap_zero_certified,276.0820742578087,249.27017963711108,525.3522538949198,85.53868980053812,49,0,49,
Proposed,1000,10,1,7.5736195357936165,4.9044983015464325,23,0.0,0.0,restricted_gap_zero_certified,343.39440875321884,195.77993206185738,539.1743408150762,91.48767339996994,55,0,55,
Proposed,1200,1,1,5.412984587841685,5.586380188644835,24,0.0,0.0,restricted_gap_zero_certified,293.1975338139311,223.05520754579337,516.2527413597245,168.39361209981143,103,0,103,
Proposed,1200,2,1,5.724947602269228,5.507471213442293,25,0.0,0.0,restricted_gap_zero_certified,311.9927577086085,219.8988485376917,531.8916062463002,142.39566219970584,79,0,79,
Proposed,1200,3,1,7.886209935623497,3.6571614306986526,20,0.0,0.0,restricted_gap_zero_certified,295.1394384508777,145.88645722794612,441.0258956788239,82.00580270029604,55,0,55,
Proposed,1200,4,1,4.649236357720247,6.794963882030668,24,0.0,0.0,restricted_gap_zero_certified,276.4154087472769,271.3985552812267,547.8139640285036,136.5697634005919,79,0,79,
Proposed,1200,5,1,6.529464024679313,6.17557618317695,28,0.0,0.0,restricted_gap_zero_certified,381.4686679982181,246.17274203576113,627.6414100339792,91.25208189990371,37,0,37,
Proposed,1200,6,1,7.032358340874473,4.3817962613496215,22,0.0,0.0,restricted_gap_zero_certified,316.08370604826536,174.87185045398485,490.9555565022502,111.74861469957978,73,0,73,
Proposed,1200,7,1,6.967468694521176,5.705988419775945,24,0.0,0.0,restricted_gap_zero_certified,330.98780624400194,219.36231591272383,550.3501221567258,104.98109000083059,61,0,61,
Proposed,1200,8,1,6.201819139312654,5.199911412642904,22,0.0,0.0,restricted_gap_zero_certified,288.28748456812895,207.59645650571616,495.8839410738451,97.94318339973688,67,0,67,
Proposed,1200,9,1,8.253904645694245,3.8287393474707736,20,0.0,0.0,restricted_gap_zero_certified,306.9770316140407,152.749573898831,459.7266055128717,68.47173259966075,49,0,49,
Proposed,1200,10,1,5.949708684133159,5.05371046134254,20,0.0,0.0,restricted_gap_zero_certified,257.64362880236393,201.74841845370156,459.3920472560655,68.73292429931462,43,0,43,
Proposed,1400,1,1,7.0870763349164125,5.121132844511961,23,0.0,0.0,restricted_gap_zero_certified,324.7292852761757,204.4453137804785,529.1745990566542,97.03754639998078,55,0,55,
Proposed,1400,2,1,6.737926554403158,5.0626138847539695,20,0.0,0.0,restricted_gap_zero_certified,273.8721197649351,202.1045553901588,475.9766751550939,80.48764749988914,49,0,49,
Proposed,1400,3,1,7.064702549063941,4.638953995443374,21,0.0,0.0,restricted_gap_zero_certified,295.05164176068627,183.53857990496664,478.5902216656529,113.05463419947773,61,0,61,
Proposed,1400,4,1,6.376822024023537,6.333779439752218,27,0.0,0.0,restricted_gap_zero_certified,357.98468584917595,252.95117759008872,610.9358634392647,121.29835850000381,61,0,61,
Proposed,1400,5,1,6.842413046935957,5.794637208224471,24,0.0,0.0,restricted_gap_zero_certified,338.14921707986565,230.99300175152146,569.1422188313871,121.53447810001671,61,0,61,
Proposed,1400,6,1,7.209965723252343,5.311471962382015,23,0.0,0.0,restricted_gap_zero_certified,336.3231956613965,212.05887849528062,548.3820741566772,89.06448539998382,49,0,49,
Proposed,1400,7,1,8.355966621379485,4.254113908669506,19,0.0,0.0,restricted_gap_zero_certified,295.2353727140203,169.7645563467803,464.9999290608006,79.6499811001122,55,0,55,
