method,n_users,count,failure_count,final_grid_ne_gap_mean,final_grid_ne_gap_std,final_grid_ne_gap_median,final_grid_ne_gap_q25,final_grid_ne_gap_q75,final_grid_ne_gap_min,final_grid_ne_gap_max,joint_revenue_mean,joint_revenue_std,joint_revenue_median,joint_revenue_q25,joint_revenue_q75,joint_revenue_min,joint_revenue_max,runtime_sec_mean,runtime_sec_std,runtime_sec_median,runtime_sec_q25,runtime_sec_q75,runtime_sec_min,runtime_sec_max,stage2_solver_calls_mean,stage2_solver_calls_std,stage2_solver_calls_median,stage2_solver_calls_q25,stage2_solver_calls_q75,stage2_solver_calls_min,stage2_solver_calls_max,audit_stage2_solver_calls_mean,audit_stage2_solver_calls_std,audit_stage2_solver_calls_median,audit_stage2_solver_calls_q25,audit_stage2_solver_calls_q75,audit_stage2_solver_calls_min,audit_stage2_solver_calls_max,total_stage2_solver_calls_mean,total_stage2_solver_calls_std,total_stage2_solver_calls_median,total_stage2_solver_calls_q25,total_stage2_solver_calls_q75,total_stage2_solver_calls_min,total_stage2_solver_calls_max
Proposed,200,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.1599723534021,26.133134989648628,308.49969381178965,288.23924034879974,322.5000165139421,276.1451083004145,356.29808656512387,32.71654519001022,15.390490497078222,23.754510449711233,20.718230050290003,45.37153052538633,17.845692199654877,61.14646149985492,58.0,17.84936973677222,49.0,44.5,70.0,37.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,17.84936973677222,49.0,44.5,70.0,37.0,91.0
Proposed,400,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.60020214231565,22.467028791906415,372.72659690895915,356.4188743044771,385.55681875840884,348.2691326447164,427.64520220985605,36.0103664197959,13.366226041009305,33.308703049551696,27.655115550151095,39.974208924220875,17.943173700012267,63.87881449982524,49.0,11.063453348751466,46.0,38.5,55.0,37.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,11.063453348751466,46.0,38.5,55.0,37.0,67.0
Proposed,600,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.40999972541323,40.96121053155192,424.568879600989,405.77674123065805,441.8183434331218,352.10147442701407,494.42832734537615,55.02275778008625,11.774570823539802,54.39765820000321,44.420996950007975,60.752900425344706,42.40388939995319,82.25177810061723,50.2,6.99714227381436,52.0,44.5,55.0,37.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2,6.99714227381436,52.0,44.5,55.0,37.0,61.0
Proposed,800,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.60487864741225,41.89423193063007,456.93170419419846,445.50059506325925,468.82314710494813,360.1568613373245,508.5399728217556,64.19039360005408,16.43360106753693,59.03869989980012,52.812680524773896,69.73550219996832,49.109745300374925,107.40931040048599,57.4,15.226293048539425,52.0,49.0,61.0,43.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.4,15.226293048539425,52.0,49.0,61.0,43.0,97.0
Proposed,1000,10,0,0.5809703968717599,1.7429111906152797,0.0,0.0,0.0,0.0,5.809703968717599,504.0430776770648,35.81903220306832,504.27223839474937,471.8786583800202,535.7188190850371,450.81129354265005,553.2858627597396,89.93827190017328,34.52461954113582,88.51318160025403,65.7900158748962,111.84272050042637,26.08927240036428,146.6834578998387,71.2,32.86883021952561,58.0,49.0,94.0,37.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.2,32.86883021952561,58.0,49.0,94.0,37.0,145.0
Proposed,1200,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0933889849091,52.70674160045624,506.0683412167848,467.5338432602163,543.8333745829527,441.0258956788239,627.6414100339792,107.24944672994316,31.346342276017626,101.46213670028374,84.31737250019796,130.36447622533888,68.47173259966075,168.39361209981143,64.6,18.821264569629747,64.0,50.5,77.5,37.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.6,18.821264569629747,64.0,50.5,77.5,37.0,103.0
Proposed,1400,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,526.882992586692,42.61554552463167,530.2517461483874,490.2503824652168,545.0537022168479,464.9999290608006,610.9358634392647,100.04795837001875,20.530609085835714,93.83595729991794,82.63185697491281,119.2374274248723,71.55897600017488,136.15910830069333,59.2,11.71153277756588,58.0,50.5,61.0,49.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.2,11.71153277756588,58.0,50.5,61.0,49.0,91.0
Proposed,1600,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.6788323903736,23.696372146913486,569.6246651505619,543.4510011523016,586.336373971061,537.529664556163,604.3597874391835,103.60087770996616,24.132460159636288,98.0935224997811,90.70811600005254,122.23645302490331,64.0439796000719,146.25002489984035,55.0,11.063453348751466,55.0,44.5,67.0,37.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,11.063453348751466,55.0,44.5,67.0,37.0,67.0
Proposed,1800,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.5832874639719,38.1415376617151,565.1176619554863,541.8728442917158,604.7218001817556,508.7026654606099,634.491023445535,103.7831471000798,35.910830066885254,100.27623750036582,74.83890057494864,118.60645722481422,61.96626009978354,187.062774900347,58.6,20.819221887476967,55.0,43.0,67.0,37.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.6,20.819221887476967,55.0,43.0,67.0,37.0,109.0
Proposed,2000,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.4277670360964,48.33968453274113,611.3024769172606,571.5478122799351,632.1103689339166,549.6684208067753,719.7990833837478,100.22205471992493,31.24679392129865,105.72590309986845,67.23018152476288,117.94623204995878,63.35685160011053,150.1458839001134,59.2,16.110865898517066,64.0,41.5,71.5,37.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.2,16.110865898517066,64.0,41.5,71.5,37.0,79.0
