figure_id,block,method,Q,trial,candidate_family_size,restricted_gap,grid_ne_gap,runtime_sec,stage2_calls,final_pE,final_pN
F1,F,Proposed,1,1,2.0,0.0,nan,0.00020620808936655521,1,0.5,0.5
F1,F,Proposed,1,2,2.0,0.0,nan,0.00023616605903953314,1,0.5,0.5
F1,F,Proposed,1,3,2.0,0.0,nan,0.00020420807413756847,1,0.5,0.5
F1,F,Proposed,1,4,2.6666666666666665,0.0,nan,0.015368791995570064,11,0.5,0.1439353609090465
F1,F,Proposed,1,5,2.0,0.0,nan,0.00020858400966972113,1,0.5,0.5
F1,F,Proposed,1,6,2.0,0.0,nan,0.0002132089575752616,1,0.5,0.5
F1,F,Proposed,1,7,2.0,0.0,nan,0.00020508398301899433,1,0.5,0.5
F1,F,Proposed,1,8,2.0,0.0,nan,0.00019762490410357714,1,0.5,0.5
F1,F,Proposed,1,9,2.0,0.0,nan,0.00020079105161130428,1,0.5,0.5
F1,F,Proposed,1,10,2.0,0.0,nan,0.0002015409991145134,1,0.5,0.5
F1,F,Proposed,1,11,2.0,0.0,nan,0.0003112920094281435,3,0.5,0.5
F1,F,Proposed,1,12,2.0,0.0,nan,0.00019212497863918543,1,0.5,0.5
F1,F,Proposed,1,13,2.0,0.0,nan,0.00020400003995746374,1,0.5,0.5
F1,F,Proposed,1,14,2.0,0.0,nan,0.0001996250357478857,1,0.5,0.5
F1,F,Proposed,1,15,2.0,0.0,nan,0.00020245893392711878,1,0.5,0.5
F1,F,Proposed,1,16,2.0,0.0,nan,0.0002009579911828041,1,0.5,0.5
F1,F,Proposed,1,17,2.0,0.0,nan,0.00020258408039808273,1,0.5,0.5
F1,F,Proposed,1,18,2.0,0.0,nan,0.0002975419629365206,3,0.5,0.5
F1,F,Proposed,1,19,2.0,0.0,nan,0.0001925829565152526,1,0.5,0.5
F1,F,Proposed,1,20,2.0,0.0,nan,0.00019933399744331837,1,0.5,0.5
F1,F,Proposed,2,1,3.0,0.0,nan,0.0002377500059083104,1,0.5,0.5
F1,F,Proposed,2,2,3.0,0.0,nan,0.00026108394376933575,1,0.5,0.5
F1,F,Proposed,2,3,3.0,0.0,nan,0.00025616702623665333,1,0.5,0.5
F1,F,Proposed,2,4,4.0,0.0,nan,0.008830499951727688,11,0.5,0.1439353609090465
F1,F,Proposed,2,5,3.0,0.0,nan,0.00026412494480609894,1,0.5,0.5
F1,F,Proposed,2,6,3.0,0.0,nan,0.0002578750718384981,1,0.5,0.5
F1,F,Proposed,2,7,3.0,0.0,nan,0.0002512501087039709,1,0.5,0.5
F1,F,Proposed,2,8,3.0,0.0,nan,0.0002500839764252305,1,0.5,0.5
F1,F,Proposed,2,9,3.0,0.0,nan,0.00031283299904316664,1,0.5,0.5
F1,F,Proposed,2,10,3.0,0.0,nan,0.00033191696275025606,1,0.5,0.5
