provider,fixed_price,boundary_price,pE,pN,event_type,left_size,right_size,left_set,right_set,dropped,added
E,0.5,1.38352020492,1.38352020492,0.5,drop,18,17,6;11;13;15;16;31;38;45;48;51;64;65;67;70;77;81;90;97,6;11;13;15;16;31;38;45;48;51;64;65;70;77;81;90;97,67,
E,0.5,1.81845239943,1.81845239943,0.5,drop,17,16,6;11;13;15;16;31;38;45;48;51;64;65;70;77;81;90;97,6;11;13;15;16;31;38;45;48;64;65;70;77;81;90;97,51,
E,0.5,1.93561671009,1.93561671009,0.5,swap,16,16,6;11;13;15;16;31;38;45;48;64;65;70;77;81;90;97,6;11;13;15;16;31;38;45;48;51;65;70;77;81;90;97,64,51
E,0.5,2.1997388089,2.1997388089,0.5,drop,16,15,6;11;13;15;16;31;38;45;48;51;65;70;77;81;90;97,6;11;13;15;16;31;38;45;48;65;70;77;81;90;97,51,
E,0.5,2.61997872971,2.61997872971,0.5,swap,15,15,6;11;13;15;16;31;38;45;48;65;70;77;81;90;97,6;11;13;15;16;31;38;45;48;51;65;70;77;90;97,81,51
E,0.5,2.73369050209,2.73369050209,0.5,drop,15,14,6;11;13;15;16;31;38;45;48;51;65;70;77;90;97,6;11;13;15;16;31;38;45;48;65;70;77;90;97,51,
E,0.5,3.35313779195,3.35313779195,0.5,drop,14,13,6;11;13;15;16;31;38;45;48;65;70;77;90;97,6;11;13;15;31;38;45;48;65;70;77;90;97,16,
E,0.5,4.02879544265,4.02879544265,0.5,drop,13,12,6;11;13;15;31;38;45;48;65;70;77;90;97,6;11;15;31;38;45;48;65;70;77;90;97,13,
E,0.5,4.63976035421,4.63976035421,0.5,drop,12,11,6;11;15;31;38;45;48;65;70;77;90;97,6;15;31;38;45;48;65;70;77;90;97,11,
E,0.5,6.0076490077,6.0076490077,0.5,drop,11,10,6;15;31;38;45;48;65;70;77;90;97,6;31;38;45;48;65;70;77;90;97,15,
E,0.5,7.18645423263,7.18645423263,0.5,drop,10,9,6;31;38;45;48;65;70;77;90;97,6;31;38;45;48;65;70;77;97,90,
E,0.5,8.69034134804,8.69034134804,0.5,drop,9,8,6;31;38;45;48;65;70;77;97,6;31;45;48;65;70;77;97,38,
E,0.5,10.7071377829,10.7071377829,0.5,drop,8,7,6;31;45;48;65;70;77;97,6;45;48;65;70;77;97,31,
E,0.5,12.3211614534,12.3211614534,0.5,drop,7,6,6;45;48;65;70;77;97,6;45;65;70;77;97,48,
E,0.5,12.4355976163,12.4355976163,0.5,drop,6,5,6;45;65;70;77;97,6;45;65;77;97,70,
E,0.5,12.8179063509,12.8179063509,0.5,drop,5,4,6;45;65;77;97,6;65;77;97,45,
E,0.5,13.349100687,13.349100687,0.5,drop,4,3,6;65;77;97,6;77;97,65,
E,0.5,17.0343493865,17.0343493865,0.5,drop,3,2,6;77;97,77;97,6,
E,0.5,17.1747467677,17.1747467677,0.5,drop,2,1,77;97,97,77,
E,0.5,19.152601375,19.152601375,0.5,drop,1,0,97,,97,
N,0.5,4.86666583678,0.5,4.86666583678,drop,18,17,6;11;13;15;16;31;38;45;48;51;64;65;67;70;77;81;90;97,6;11;13;15;16;31;38;45;48;51;64;65;67;70;77;90;97,81,
N,0.5,5.47766409633,0.5,5.47766409633,drop,17,16,6;11;13;15;16;31;38;45;48;51;64;65;67;70;77;90;97,6;11;13;15;16;31;38;45;48;51;64;65;70;77;90;97,67,
N,0.5,6.09000928414,0.5,6.09000928414,drop,16,15,6;11;13;15;16;31;38;45;48;51;64;65;70;77;90;97,6;11;13;15;16;31;38;45;48;64;65;70;77;90;97,51,
N,0.5,6.68645739258,0.5,6.68645739258,drop,15,14,6;11;13;15;16;31;38;45;48;64;65;70;77;90;97,6;11;13;15;16;38;45;48;64;65;70;77;90;97,31,
N,0.5,6.95357322374,0.5,6.95357322374,drop,14,13,6;11;13;15;16;38;45;48;64;65;70;77;90;97,6;11;13;15;16;38;45;48;65;70;77;90;97,64,
N,0.5,7.91074867835,0.5,7.91074867835,drop,13,12,6;11;13;15;16;38;45;48;65;70;77;90;97,6;11;15;16;38;45;48;65;70;77;90;97,13,
N,0.5,9.45841083663,0.5,9.45841083663,drop,12,11,6;11;15;16;38;45;48;65;70;77;90;97,6;15;16;38;45;48;65;70;77;90;97,11,
N,0.5,9.56697990699,0.5,9.56697990699,drop,11,10,6;15;16;38;45;48;65;70;77;90;97,6;15;38;45;48;65;70;77;90;97,16,
N,0.5,10.750248081,0.5,10.750248081,drop,10,9,6;15;38;45;48;65;70;77;90;97,6;38;45;48;65;70;77;90;97,15,
N,0.5,11.5721320735,0.5,11.5721320735,drop,9,8,6;38;45;48;65;70;77;90;97,6;45;48;65;70;77;90;97,38,
N,0.5,12.5156802723,0.5,12.5156802723,drop,8,7,6;45;48;65;70;77;90;97,6;45;48;65;70;77;97,90,
N,0.5,14.5103729587,0.5,14.5103729587,drop,7,6,6;45;48;65;70;77;97,45;48;65;70;77;97,6,
N,0.5,15.768686655,0.5,15.768686655,drop,6,5,45;48;65;70;77;97,45;48;65;77;97,70,
N,0.5,16.35531549,0.5,16.35531549,drop,5,4,45;48;65;77;97,48;65;77;97,45,
N,0.5,18.0339705801,0.5,18.0339705801,drop,4,3,48;65;77;97,48;77;97,65,
N,0.5,26.7988901472,0.5,26.7988901472,drop,3,2,48;77;97,77;97,48,
N,0.5,34.065667956,0.5,34.065667956,drop,2,1,77;97,77,97,
