provider,current_price,fixed_price,predicted_price,pE,pN,source_user,order_idx,delta_at_current,delta_at_predicted,realized_event_type,current_size,realized_next_size,prefix_before,prefix_after,current_set,realized_next_set,dropped,added
E,0.5,0.5,1.47812725078,1.47812725078,0.5,15,11,-4.94188008693,1.42108547152e-14,drop,18,17,6;11;31;38;45;48;65;70;77;90;97,6;11;15;31;38;45;48;65;70;77;90;97,6;11;13;15;16;31;38;45;48;51;64;65;67;70;77;81;90;97,6;11;13;15;16;31;38;45;48;51;64;65;70;77;81;90;97,67,
E,1.47820725078,0.5,2.01145554198,2.01145554198,0.5,15,10,-1.96676621471,-4.26325641456e-14,drop,17,16,6;31;38;45;48;65;70;77;90;97,6;15;31;38;45;48;65;70;77;90;97,6;11;13;15;16;31;38;45;48;51;64;65;70;77;81;90;97,6;11;13;15;16;31;38;45;48;51;65;70;77;81;90;97,64,
E,2.01153554198,0.5,3.16090793188,3.16090793188,0.5,90,9,-4.08209790221,7.1054273576e-15,drop,16,14,6;31;38;45;48;65;70;77;97,6;31;38;45;48;65;70;77;90;97,6;11;13;15;16;31;38;45;48;51;65;70;77;81;90;97,6;11;13;15;16;31;38;45;48;65;70;77;90;97,51;81,
E,3.16098793188,0.5,5.76333246987,5.76333246987,0.5,70,8,-5.48546777727,-2.84217094304e-14,drop,14,11,6;31;38;45;48;65;77;97,6;31;38;45;48;65;70;77;97,6;11;13;15;16;31;38;45;48;65;70;77;90;97,6;15;31;38;45;48;65;70;77;90;97,11;13;16,
E,5.76341246987,0.5,6.94013389163,6.94013389163,0.5,70,7,-2.05846874795,5.68434188608e-14,drop,11,10,6;31;45;48;65;77;97,6;31;45;48;65;70;77;97,6;15;31;38;45;48;65;70;77;90;97,6;31;38;45;48;65;70;77;90;97,15,
E,6.94021389163,0.5,8.80715218661,8.80715218661,0.5,48,6,-3.06903453112,-2.13162820728e-14,drop,10,8,6;31;45;65;77;97,6;31;45;48;65;77;97,6;31;38;45;48;65;70;77;90;97,6;31;45;48;65;70;77;97,38;90,
E,8.80723218661,0.5,10.2438701408,10.2438701408,0.5,31,5,-2.65182629016,2.13162820728e-14,none,8,8,6;45;65;77;97,6;31;45;65;77;97,6;31;45;48;65;70;77;97,6;31;45;48;65;70;77;97,,
E,10.2439501408,0.5,11.9795993057,11.9795993057,0.5,48,6,-2.39936219184,7.1054273576e-15,drop,8,7,6;45;65;70;77;97,6;45;48;65;70;77;97,6;31;45;48;65;70;77;97,6;45;48;65;70;77;97,31,
E,11.9796793057,0.5,12.435593953,12.435593953,0.5,70,5,-0.574695096302,0,drop,7,5,6;45;65;77;97,6;45;65;70;77;97,6;45;48;65;70;77;97,6;45;65;77;97,48;70,
E,12.435673953,0.5,12.8179040602,12.8179040602,0.5,45,4,-0.466306264906,-1.42108547152e-14,drop,5,4,6;65;77;97,6;45;65;77;97,6;45;65;77;97,6;65;77;97,45,
