pE,pN,value_mean,value_std
0.05,0.05,95.11268415,1.254039305
0.1338983051,0.05,155.4516843,1.989149414
0.2177966102,0.05,198.1356137,2.596714208
0.3016949153,0.05,232.6128323,3.442233448
0.3855932203,0.05,262.3189641,3.838081395
0.4694915254,0.05,288.3264003,4.632126064
0.5533898305,0.05,311.3979889,5.44319103
0.6372881356,0.05,332.7414098,5.547050632
0.7211864407,0.05,352.554119,6.163573197
0.8050847458,0.05,369.6871192,7.278315254
0.8889830508,0.05,385.8967173,7.848076959
0.9728813559,0.05,400.5283088,10.76098668
1.056779661,0.05,415.5239412,10.10732432
1.140677966,0.05,429.2644498,11.77881653
1.224576271,0.05,442.9964254,11.75230714
1.308474576,0.05,455.1325262,11.88728283
1.392372881,0.05,465.7870131,12.96565368
1.476271186,0.05,474.4486243,14.86553394
1.560169492,0.05,483.2202344,17.16158485
1.644067797,0.05,492.2597508,16.48194855
1.727966102,0.05,498.7204731,15.82834459
1.811864407,0.05,507.1137485,15.53730785
1.895762712,0.05,515.3623947,14.35620834
1.979661017,0.05,521.960832,13.95221234
2.063559322,0.05,526.8359969,15.24472416
2.147457627,0.05,534.5433937,16.41373542
2.231355932,0.05,537.6480997,17.37214471
2.315254237,0.05,542.8228345,16.11775607
2.399152542,0.05,546.847455,17.50916473
2.483050847,0.05,551.4374196,19.88372901
2.566949153,0.05,552.9466488,22.32471406
2.650847458,0.05,552.5179539,22.54113007
2.734745763,0.05,554.9462604,26.26652108
2.818644068,0.05,557.2889514,28.03893685
2.902542373,0.05,559.4550009,30.28670021
2.986440678,0.05,561.0005109,28.65316046
3.070338983,0.05,563.6434965,28.45547707
3.154237288,0.05,566.0351973,30.8477067
3.238135593,0.05,565.5530393,32.76755852
3.322033898,0.05,567.6708289,34.59205488
3.405932203,0.05,569.1388248,37.14650925
3.489830508,0.05,571.1436532,35.86650984
3.573728814,0.05,568.4439875,40.84473961
3.657627119,0.05,567.0146111,37.41640465
3.741525424,0.05,563.9128223,37.12600206
3.825423729,0.05,560.170618,37.73875533
3.909322034,0.05,558.1987152,41.96163099
3.993220339,0.05,549.7935982,45.15333336
4.077118644,0.05,547.9081205,43.30102942
4.161016949,0.05,542.8304235,41.96469815
4.244915254,0.05,538.4847422,42.64280073
4.328813559,0.05,535.6985899,45.22247926
4.412711864,0.05,528.6033428,43.01310765
4.496610169,0.05,522.7074817,47.54872119
4.580508475,0.05,520.9308577,47.24802589
4.66440678,0.05,513.5972868,49.53334806
4.748305085,0.05,502.4108493,48.29130129
4.83220339,0.05,498.3921425,47.44784823
4.916101695,0.05,491.65713,50.40070844
5,0.05,489.3784404,52.7276214
0.05,0.1338983051,94.5169645,1.380193082
0.1338983051,0.1338983051,152.7175555,2.597160462
0.2177966102,0.1338983051,193.0361192,4.26064431
0.3016949153,0.1338983051,225.8272685,4.924199399
0.3855932203,0.1338983051,253.2313537,6.093111239
0.4694915254,0.1338983051,277.4238991,7.186695343
0.5533898305,0.1338983051,298.6132613,7.735958725
0.6372881356,0.1338983051,317.6777807,8.566587478
0.7211864407,0.1338983051,335.4678031,9.027749182
0.8050847458,0.1338983051,350.2717246,10.09451517
0.8889830508,0.1338983051,365.3096239,12.65171206
0.9728813559,0.1338983051,379.4528992,12.04498841
1.056779661,0.1338983051,391.0421761,12.11502607
1.140677966,0.1338983051,402.1162194,13.27676806
1.224576271,0.1338983051,414.0081062,15.33308917
1.308474576,0.1338983051,424.7495253,14.51028122
1.392372881,0.1338983051,431.0975579,13.50531442
