pE,pN,value_mean,value_std
0.1,0.1,-18377.73293,442.9134367
0.2338983051,0.1,-27637.94369,671.3613563
0.3677966102,0.1,-34432.64524,839.0976288
0.5016949153,0.1,-40066.23411,978.2028497
0.6355932203,0.1,-44985.9498,1099.695774
0.7694915254,0.1,-49409.41122,1208.941788
0.9033898305,0.1,-53462.02185,1309.033977
1.037288136,0.1,-57223.86753,1401.948191
1.171186441,0.1,-60749.7875,1489.037661
1.305084746,0.1,-64079.28445,1571.277308
1.438983051,0.1,-67241.93187,1649.397081
1.572881356,0.1,-70260.55218,1723.960347
1.706779661,0.1,-73153.19551,1795.4127
1.840677966,0.1,-75934.42995,1864.113798
1.974576271,0.1,-78616.21507,1930.358914
2.108474576,0.1,-81208.51254,1994.394005
2.242372881,0.1,-83719.72425,2056.426527
2.376271186,0.1,-86157.01431,2116.633375
2.510169492,0.1,-88526.55015,2175.166841
2.644067797,0.1,-90833.68652,2232.159153
2.777966102,0.1,-93083.10793,2287.725991
2.911864407,0.1,-95278.94053,2341.969248
3.045762712,0.1,-97424.84109,2394.97923
3.179661017,0.1,-99524.06847,2446.836414
3.313559322,0.1,-101579.5418,2497.612892
3.447457627,0.1,-103593.888,2547.373539
3.581355932,0.1,-105569.4811,2596.176988
3.715254237,0.1,-107508.4754,2644.076439
3.849152542,0.1,-109412.8326,2691.120342
3.983050847,0.1,-111284.345,2737.352964
4.116949153,0.1,-113124.6557,2782.814885
4.250847458,0.1,-114935.2751,2827.543409
4.384745763,0.1,-116717.5955,2871.572924
4.518644068,0.1,-118472.9038,2914.935212
4.652542373,0.1,-120202.3921,2957.659719
4.786440678,0.1,-121907.1675,2999.773784
4.920338983,0.1,-123588.2598,3041.302849
5.054237288,0.1,-125246.6296,3082.270635
5.188135593,0.1,-126883.1741,3122.699304
5.322033898,0.1,-128498.7329,3162.609594
5.455932203,0.1,-130094.0932,3202.020948
5.589830508,0.1,-131669.9943,3240.951624
5.723728814,0.1,-133227.1312,3279.418792
5.857627119,0.1,-134766.1587,3317.438624
5.991525424,0.1,-136287.6943,3355.026371
6.125423729,0.1,-137792.3211,3392.196439
6.259322034,0.1,-139280.5908,3428.962451
6.393220339,0.1,-140753.0253,3465.337302
6.527118644,0.1,-142210.1198,3501.33322
6.661016949,0.1,-143652.3438,3536.961804
6.794915254,0.1,-145080.1435,3572.234077
6.928813559,0.1,-146493.9434,3607.160519
7.062711864,0.1,-147894.1472,3641.751108
7.196610169,0.1,-149281.1399,3676.015349
7.330508475,0.1,-150655.2885,3709.96231
7.46440678,0.1,-152016.9433,3743.600643
7.598305085,0.1,-153366.4391,3776.938617
7.73220339,0.1,-154704.0958,3809.984137
7.866101695,0.1,-156030.2198,3842.744767
8,0.1,-157345.1042,3875.227749
0.1,0.2338983051,-18846.79138,449.3670051
0.2338983051,0.2338983051,-28107.00214,677.3988916
0.3677966102,0.2338983051,-34901.70369,844.9721102
0.5016949153,0.2338983051,-40535.29256,983.984084
0.6355932203,0.2338983051,-45455.00825,1105.414691
0.7694915254,0.2338983051,-49878.46967,1214.615277
0.9033898305,0.2338983051,-53931.0803,1314.67245
1.037288136,0.2338983051,-57692.92598,1407.558603
1.171186441,0.2338983051,-61218.84595,1494.62493
1.305084746,0.2338983051,-64548.3429,1576.845064
1.438983051,0.2338983051,-67710.99032,1654.948093
1.572881356,0.2338983051,-70729.61062,1729.496783
1.706779661,0.2338983051,-73622.25396,1800.9363
1.840677966,0.2338983051,-76403.4884,1869.625978
1.974576271,0.2338983051,-79085.27352,1935.860849
2.108474576,0.2338983051,-81677.57098,1999.886681
2.242372881,0.2338983051,-84188.7827,2061.91078
2.376271186,0.2338983051,-86626.07276,2122.109923
2.510169492,0.2338983051,-88995.6086,2180.636306
2.644067797,0.2338983051,-91302.74497,2237.622077
2.777966102,0.2338983051,-93552.16638,2293.182849
2.911864407,0.2338983051,-95747.99898,2347.420462
3.045762712,0.2338983051,-97893.89954,2400.425173
3.179661017,0.2338983051,-99993.12692,2452.277423
3.313559322,0.2338983051,-102048.6002,2503.049266
3.447457627,0.2338983051,-104062.9464,2552.805549
3.581355932,0.2338983051,-106038.5396,2601.60488
3.715254237,0.2338983051,-107977.5339,2649.500438
3.849152542,0.2338983051,-109881.891,2696.540651
3.983050847,0.2338983051,-111753.4034,2742.76977
4.116949153,0.2338983051,-113593.7141,2788.228359
4.250847458,0.2338983051,-115404.3335,2832.953709
4.384745763,0.2338983051,-117186.654,2876.980196
4.518644068,0.2338983051,-118941.9623,2920.339592
4.652542373,0.2338983051,-120671.4506,2963.061331
4.786440678,0.2338983051,-122376.2259,3005.172745
4.920338983,0.2338983051,-124057.3182,3046.699267
5.054237288,0.2338983051,-125715.688,3087.664612
5.188135593,0.2338983051,-127352.2325,3128.090934
5.322033898,0.2338983051,-128967.7913,3167.998966
5.455932203,0.2338983051,-130563.1517,3207.408146
5.589830508,0.2338983051,-132139.0527,3246.336726
5.723728814,0.2338983051,-133696.1897,3284.801871
5.857627119,0.2338983051,-135235.2171,3322.819749
5.991525424,0.2338983051,-136756.7527,3360.405609
6.125423729,0.2338983051,-138261.3796,3397.573852
6.259322034,0.2338983051,-139749.6492,3434.338096
6.393220339,0.2338983051,-141222.0838,3470.711237
6.527118644,0.2338983051,-142679.1782,3506.705495
6.661016949,0.2338983051,-144121.4022,3542.332471
6.794915254,0.2338983051,-145549.202,3577.603183
6.928813559,0.2338983051,-146963.0018,3612.52811
7.062711864,0.2338983051,-148363.2056,3647.117226
7.196610169,0.2338983051,-149750.1983,3681.380037
7.330508475,0.2338983051,-151124.3469,3715.325605
7.46440678,0.2338983051,-152486.0017,3748.962584
7.598305085,0.2338983051,-153835.4975,3782.29924
7.73220339,0.2338983051,-155173.1543,3815.343475
7.866101695,0.2338983051,-156499.2782,3848.102853
8,0.2338983051,-157814.1626,3880.584616
0.1,0.3677966102,-19190.96412,454.4113615
0.2338983051,0.3677966102,-28451.17489,682.0396524
0.3677966102,0.3677966102,-35245.87643,849.4531487
0.5016949153,0.3677966102,-40879.46531,988.3734158
0.6355932203,0.3677966102,-45799.181,1109.742592
0.7694915254,0.3677966102,-50222.64241,1218.898326
0.9033898305,0.3677966102,-54275.25305,1318.920888
1.037288136,0.3677966102,-58037.09872,1411.779279
1.171186441,0.3677966102,-61563.0187,1498.822693
1.305084746,0.3677966102,-64892.51565,1581.023496
1.438983051,0.3677966102,-68055.16307,1659.109929
1.572881356,0.3677966102,-71073.78337,1733.644168
1.706779661,0.3677966102,-73966.42671,1805.070952
1.840677966,0.3677966102,-76747.66114,1873.749299
1.974576271,0.3677966102,-79429.44627,1939.974002
2.108474576,0.3677966102,-82021.74373,2003.990641
2.242372881,0.3677966102,-84532.95545,2066.006376
2.376271186,0.3677966102,-86970.24551,2126.197867
2.510169492,0.3677966102,-89339.78135,2184.717212
2.644067797,0.3677966102,-91646.91772,2241.696483
2.777966102,0.3677966102,-93896.33913,2297.251228
2.911864407,0.3677966102,-96092.17173,2351.483231
3.045762712,0.3677966102,-98238.07228,2404.482703
3.179661017,0.3677966102,-100337.2997,2456.330046
3.313559322,0.3677966102,-102392.773,2507.097281
3.447457627,0.3677966102,-104407.1191,2556.849225
3.581355932,0.3677966102,-106382.7123,2605.644461
3.715254237,0.3677966102,-108321.7066,2653.536145
3.849152542,0.3677966102,-110226.0638,2700.572687
3.983050847,0.3677966102,-112097.5762,2746.798322
4.116949153,0.3677966102,-113937.8869,2792.253596
4.250847458,0.3677966102,-115748.5063,2836.975788
4.384745763,0.3677966102,-117530.8267,2880.999262
4.518644068,0.3677966102,-119286.135,2924.355779
4.652542373,0.3677966102,-121015.6233,2967.074763
4.786440678,0.3677966102,-122720.3987,3009.183538
4.920338983,0.3677966102,-124401.491,3050.70753
5.054237288,0.3677966102,-126059.8608,3091.670444
5.188135593,0.3677966102,-127696.4053,3132.09443
5.322033898,0.3677966102,-129311.9641,3172.000214
5.455932203,0.3677966102,-130907.3244,3211.407229
5.589830508,0.3677966102,-132483.2255,3250.333722
5.723728814,0.3677966102,-134040.3624,3288.796853
5.857627119,0.3677966102,-135579.3899,3326.812787
5.991525424,0.3677966102,-137100.9255,3364.396767
6.125423729,0.3677966102,-138605.5523,3401.563192
6.259322034,0.3677966102,-140093.822,3438.325677
6.393220339,0.3677966102,-141566.2565,3474.697113
6.527118644,0.3677966102,-143023.351,3510.68972
6.661016949,0.3677966102,-144465.575,3546.315093
6.794915254,0.3677966102,-145893.3747,3581.584251
6.928813559,0.3677966102,-147307.1746,3616.507668
7.062711864,0.3677966102,-148707.3784,3651.095317
7.196610169,0.3677966102,-150094.3711,3685.356702
7.330508475,0.3677966102,-151468.5197,3719.300884
7.46440678,0.3677966102,-152830.1745,3752.936513
7.598305085,0.3677966102,-154179.6703,3786.271855
7.73220339,0.3677966102,-155517.327,3819.314811
7.866101695,0.3677966102,-156843.451,3852.072942
8,0.3677966102,-158158.3354,3884.553488
0.1,0.5016949153,-19476.3229,458.7851474
0.2338983051,0.5016949153,-28736.53367,686.0197076
