pE,pN,value_mean,value_std
0.1,0.1,18378.83976,442.949055
0.2338983051,0.1,27639.05052,671.3972485
0.3677966102,0.1,34433.75207,839.1336223
0.5016949153,0.1,40067.34094,978.2388997
0.6355932203,0.1,44987.05663,1099.731861
0.7694915254,0.1,49410.51805,1208.977902
0.9033898305,0.1,53463.12868,1309.070112
1.037288136,0.1,57224.97436,1401.984342
1.171186441,0.1,60750.89433,1489.073825
1.305084746,0.1,64080.39128,1571.313483
1.438983051,0.1,67243.0387,1649.433266
1.572881356,0.1,70261.659,1723.99654
1.706779661,0.1,73154.30234,1795.4489
1.840677966,0.1,75935.53678,1864.150005
1.974576271,0.1,78617.3219,1930.395127
2.108474576,0.1,81209.61936,1994.430223
2.242372881,0.1,83720.83108,2056.462749
2.376271186,0.1,86158.12114,2116.669602
2.510169492,0.1,88527.65698,2175.203072
2.644067797,0.1,90834.79335,2232.195388
2.777966102,0.1,93084.21476,2287.762229
2.911864407,0.1,95280.04736,2342.00549
3.045762712,0.1,97425.94792,2395.015474
3.179661017,0.1,99525.1753,2446.872661
3.313559322,0.1,101580.6486,2497.649142
3.447457627,0.1,103594.9948,2547.409791
3.581355932,0.1,105570.5879,2596.213242
3.715254237,0.1,107509.5823,2644.112696
3.849152542,0.1,109413.9394,2691.1566
3.983050847,0.1,111285.4518,2737.389225
4.116949153,0.1,113125.7625,2782.851148
4.250847458,0.1,114936.3819,2827.579673
4.384745763,0.1,116718.7023,2871.60919
4.518644068,0.1,118474.0107,2914.97148
4.652542373,0.1,120203.499,2957.695988
4.786440678,0.1,121908.2743,2999.810054
4.920338983,0.1,123589.3666,3041.339121
5.054237288,0.1,125247.7364,3082.306908
5.188135593,0.1,126884.2809,3122.735578
5.322033898,0.1,128499.8397,3162.645869
5.455932203,0.1,130095.2001,3202.057225
5.589830508,0.1,131671.1011,3240.987902
5.723728814,0.1,133228.238,3279.455072
5.857627119,0.1,134767.2655,3317.474904
5.991525424,0.1,136288.8011,3355.062652
6.125423729,0.1,137793.428,3392.232722
6.259322034,0.1,139281.6976,3428.998734
6.393220339,0.1,140754.1322,3465.373587
6.527118644,0.1,142211.2266,3501.369505
6.661016949,0.1,143653.4506,3536.99809
6.794915254,0.1,145081.2504,3572.270364
6.928813559,0.1,146495.0502,3607.196807
7.062711864,0.1,147895.254,3641.787396
7.196610169,0.1,149282.2467,3676.051639
7.330508475,0.1,150656.3953,3709.9986
7.46440678,0.1,152018.0501,3743.636934
7.598305085,0.1,153367.5459,3776.974909
7.73220339,0.1,154705.2026,3810.020429
7.866101695,0.1,156031.3266,3842.78106
8,0.1,157346.211,3875.264043
0.1,0.2338983051,18847.8982,449.4021814
0.2338983051,0.2338983051,28108.10897,677.4345101
0.3677966102,0.2338983051,34902.81052,845.0078905
0.5016949153,0.2338983051,40536.39939,984.0199539
0.6355932203,0.2338983051,45456.11508,1105.450619
0.7694915254,0.2338983051,49879.5765,1214.651248
0.9033898305,0.2338983051,53932.18713,1314.708453
1.037288136,0.2338983051,57694.03281,1407.594632
1.171186441,0.2338983051,61219.95278,1494.66098
1.305084746,0.2338983051,64549.44973,1576.881131
1.438983051,0.2338983051,67712.09715,1654.984175
1.572881356,0.2338983051,70730.71745,1729.532879
1.706779661,0.2338983051,73623.36079,1800.972407
1.840677966,0.2338983051,76404.59523,1869.662095
1.974576271,0.2338983051,79086.38035,1935.896975
