pE,pN,value_mean,value_std
0.05,0.05,145.9300822,5.748457402
0.1338983051,0.05,145.4163447,5.774506097
0.2177966102,0.05,145.2209403,5.228577525
0.3016949153,0.05,144.4110688,5.581502168
0.3855932203,0.05,143.718092,4.48937834
0.4694915254,0.05,142.6650089,4.028545431
0.5533898305,0.05,141.4038441,4.623822977
0.6372881356,0.05,140.2955984,4.902305928
0.7211864407,0.05,139.1937493,5.080192503
0.8050847458,0.05,137.3543674,4.449944682
0.8889830508,0.05,135.8405298,4.740038202
0.9728813559,0.05,134.1489601,5.272913713
1.056779661,0.05,133.2364922,5.367966666
1.140677966,0.05,132.0853491,4.609956872
1.224576271,0.05,131.2365391,4.287875529
1.308474576,0.05,130.211515,3.964542299
1.392372881,0.05,128.3387267,4.285407364
1.476271186,0.05,126.5422596,5.391991899
1.560169492,0.05,124.8011055,5.749926624
1.644067797,0.05,123.4544329,4.800539129
1.727966102,0.05,121.2736097,4.151625296
1.811864407,0.05,120.0417252,3.798854263
1.895762712,0.05,118.9764687,3.526157494
1.979661017,0.05,117.8889418,3.687783362
2.063559322,0.05,115.6595861,3.903213527
2.147457627,0.05,114.7074976,3.720286504
2.231355932,0.05,112.8613952,3.903848826
2.315254237,0.05,111.5168321,3.049449068
2.399152542,0.05,110.0488329,3.047246014
2.483050847,0.05,108.9021294,3.216966836
2.566949153,0.05,107.2882481,3.756389301
2.650847458,0.05,104.7916521,4.10615327
2.734745763,0.05,103.5533864,4.34441225
2.818644068,0.05,102.323488,4.996877375
2.902542373,0.05,100.7332611,5.501606222
2.986440678,0.05,99.42984963,5.001569839
3.070338983,0.05,98.36554791,4.762713325
3.154237288,0.05,97.50613925,5.364207349
3.238135593,0.05,95.95964259,5.320606205
3.322033898,0.05,95.15788306,5.415039408
3.405932203,0.05,94.24825884,6.062284382
3.489830508,0.05,93.22387081,5.445355348
3.573728814,0.05,91.70308877,6.028507711
3.657627119,0.05,90.00807964,5.387964035
3.741525424,0.05,88.26145489,5.819336302
3.825423729,0.05,86.66217523,5.911194688
3.909322034,0.05,85.51356304,6.273710817
3.993220339,0.05,82.80492188,6.946606733
4.077118644,0.05,81.55479148,6.658378762
4.161016949,0.05,79.77439408,6.390253688
4.244915254,0.05,78.22510735,6.384564646
4.328813559,0.05,76.81943447,6.468182521
4.412711864,0.05,75.1447358,5.93990231
4.496610169,0.05,73.30939604,6.630771272
4.580508475,0.05,72.02993767,6.502704501
4.66440678,0.05,70.29887786,6.926216731
4.748305085,0.05,68.12025564,6.723042349
4.83220339,0.05,67.00811349,6.34084579
4.916101695,0.05,65.60324021,6.845887846
5,0.05,64.51253126,7.035155524
0.05,0.1338983051,235.1963221,7.938210525
0.1338983051,0.1338983051,229.3469328,6.173351706
0.2177966102,0.1338983051,225.6748002,7.970035928
0.3016949153,0.1338983051,223.018223,8.218629132
0.3855932203,0.1338983051,219.908826,7.757579586
0.4694915254,0.1338983051,217.306789,7.278716328
0.5533898305,0.1338983051,213.4903001,6.196701057
0.6372881356,0.1338983051,210.835163,5.576369783
0.7211864407,0.1338983051,208.4392737,5.001886203
0.8050847458,0.1338983051,204.5922479,5.84378566
0.8889830508,0.1338983051,201.9970731,7.395631437
0.9728813559,0.1338983051,199.677343,5.412722779
1.056779661,0.1338983051,196.8131916,4.901489066
1.140677966,0.1338983051,194.1966109,5.809159695
1.224576271,0.1338983051,192.4247732,7.245346318
1.308474576,0.1338983051,190.5973191,6.309209696
1.392372881,0.1338983051,186.450493,6.191973366
1.476271186,0.1338983051,183.9942483,6.992186808
1.560169492,0.1338983051,181.6392538,6.456027849
1.644067797,0.1338983051,178.4503549,6.81057928
1.727966102,0.1338983051,176.19712,7.423024307
1.811864407,0.1338983051,173.9265723,6.373189591
1.895762712,0.1338983051,170.9997305,5.793757006
1.979661017,0.1338983051,168.6594126,5.903699384
2.063559322,0.1338983051,167.3778342,6.047631841
2.147457627,0.1338983051,164.3901989,6.524336204
2.231355932,0.1338983051,161.4426009,6.772270466
2.315254237,0.1338983051,159.8935468,6.874546434
2.399152542,0.1338983051,159.0546543,7.23102428
2.483050847,0.1338983051,156.6477514,7.745698554
2.566949153,0.1338983051,153.7035983,9.58274567
2.650847458,0.1338983051,151.492669,9.926741857
2.734745763,0.1338983051,149.2796906,8.92580712
2.818644068,0.1338983051,146.5292835,8.645233236
2.902542373,0.1338983051,142.5764515,10.19400418
2.986440678,0.1338983051,139.5309364,9.611268056
3.070338983,0.1338983051,136.0676624,11.18269545
3.154237288,0.1338983051,133.9688153,10.85559981
3.238135593,0.1338983051,131.4083906,9.616353209
3.322033898,0.1338983051,126.6475416,10.8236937
3.405932203,0.1338983051,123.2836277,11.38284217
3.489830508,0.1338983051,121.4080302,10.13825192
3.573728814,0.1338983051,117.9079334,8.509309504
3.657627119,0.1338983051,114.9671994,9.392382009
3.741525424,0.1338983051,113.384717,9.172387368
3.825423729,0.1338983051,111.7536107,10.51478787
3.909322034,0.1338983051,109.5862623,10.89662595
3.993220339,0.1338983051,106.2960093,10.09391575
4.077118644,0.1338983051,104.4052725,10.4111834
4.161016949,0.1338983051,101.3506018,12.34141677
4.244915254,0.1338983051,98.41196332,11.99005199
4.328813559,0.1338983051,96.68524769,12.15335561
4.412711864,0.1338983051,95.22507009,12.47614041
4.496610169,0.1338983051,93.02143934,12.38968413
4.580508475,0.1338983051,90.20636168,11.34103026
4.66440678,0.1338983051,88.7140073,11.85225195
4.748305085,0.1338983051,86.51247661,11.76186398
4.83220339,0.1338983051,84.81900322,10.81349027
4.916101695,0.1338983051,82.99591678,9.90906816
5,0.1338983051,81.10929962,10.17007781
0.05,0.2177966102,284.3552749,9.194281225
0.1338983051,0.2177966102,279.2152128,8.563816774
0.2177966102,0.2177966102,273.0511779,8.322362402
0.3016949153,0.2177966102,268.495161,6.429654958
0.3855932203,0.2177966102,264.8306424,6.214371564
0.4694915254,0.2177966102,259.4008944,7.850594484
0.5533898305,0.2177966102,254.6070879,6.47522121
0.6372881356,0.2177966102,252.0622114,6.966210023
0.7211864407,0.2177966102,247.2667898,9.959848526
0.8050847458,0.2177966102,244.3975461,10.64555098
0.8889830508,0.2177966102,241.4796117,10.46224176
0.9728813559,0.2177966102,238.8792715,8.807138818
1.056779661,0.2177966102,234.9326525,7.00006907
1.140677966,0.2177966102,230.5237992,8.489533632
1.224576271,0.2177966102,226.347969,8.647169952
1.308474576,0.2177966102,222.346857,7.287609562
1.392372881,0.2177966102,219.3545819,6.331054359
1.476271186,0.2177966102,216.8256409,5.873029724
1.560169492,0.2177966102,214.1479352,6.839162075
1.644067797,0.2177966102,211.250717,6.96117754
1.727966102,0.2177966102,207.4740483,8.92062368
1.811864407,0.2177966102,203.7290134,9.171709868
1.895762712,0.2177966102,200.6333253,9.913933194
1.979661017,0.2177966102,197.380277,10.36730558
2.063559322,0.2177966102,194.640116,10.83268229
2.147457627,0.2177966102,189.1113926,12.52726899
2.231355932,0.2177966102,186.3901525,14.30965417
2.315254237,0.2177966102,183.4280235,12.40793357
2.399152542,0.2177966102,179.1992262,12.14304197
2.483050847,0.2177966102,174.141557,12.09640039
2.566949153,0.2177966102,168.9228017,13.42668455
2.650847458,0.2177966102,166.9581071,12.98395554
2.734745763,0.2177966102,161.7632739,12.18637361
2.818644068,0.2177966102,157.0477139,12.94502751
2.902542373,0.2177966102,153.8341273,13.7679967
2.986440678,0.2177966102,149.8333976,13.80675837
3.070338983,0.2177966102,147.7748787,12.80604211
3.154237288,0.2177966102,145.8180942,13.41562779
3.238135593,0.2177966102,142.2311261,13.17983014
3.322033898,0.2177966102,139.80463,12.27264866
3.405932203,0.2177966102,134.5351257,11.34439247
3.489830508,0.2177966102,130.904613,11.90862366
3.573728814,0.2177966102,127.8387747,12.41432589
3.657627119,0.2177966102,123.2841374,14.12725023
3.741525424,0.2177966102,119.970067,15.76139215
3.825423729,0.2177966102,117.1750404,13.01825823
3.909322034,0.2177966102,115.1589153,12.86102561
3.993220339,0.2177966102,113.3853322,13.1606829
4.077118644,0.2177966102,111.1420171,12.40361341
4.161016949,0.2177966102,108.9886949,13.2279183
4.244915254,0.2177966102,107.5451607,12.87679096
4.328813559,0.2177966102,104.1881234,12.02971289
4.412711864,0.2177966102,102.9127005,11.33629324
4.496610169,0.2177966102,100.713648,10.79920658
4.580508475,0.2177966102,98.6238589,10.28706567
4.66440678,0.2177966102,96.75272885,11.28509358
4.748305085,0.2177966102,95.51584817,11.34010025
4.83220339,0.2177966102,94.8565163,10.99070992
4.916101695,0.2177966102,94.21488997,10.70026285
5,0.2177966102,92.45729107,9.83961199
0.05,0.3016949153,322.7765358,9.691146676
0.1338983051,0.3016949153,314.8604833,8.27453286
0.2177966102,0.3016949153,308.9465953,8.605790396
0.3016949153,0.3016949153,300.4256057,8.366442477
0.3855932203,0.3016949153,294.3434327,10.25353295
0.4694915254,0.3016949153,290.0299353,11.95206447
0.5533898305,0.3016949153,286.6981136,12.9882633
0.6372881356,0.3016949153,283.1822777,10.63932946
0.7211864407,0.3016949153,277.8367995,10.13914528
0.8050847458,0.3016949153,272.6722748,8.623233016
0.8889830508,0.3016949153,265.0136957,7.724830102
0.9728813559,0.3016949153,261.3248742,7.409952664
1.056779661,0.3016949153,258.0996936,7.556940633
1.140677966,0.3016949153,255.0732435,7.925134248
1.224576271,0.3016949153,251.5796974,8.486372575
1.308474576,0.3016949153,245.4761107,10.62101697
1.392372881,0.3016949153,241.0746278,10.11505126
1.476271186,0.3016949153,236.6570253,9.97583505
1.560169492,0.3016949153,232.2997912,10.39532633
1.644067797,0.3016949153,227.7765743,11.98018445
1.727966102,0.3016949153,224.4873276,11.67440337
1.811864407,0.3016949153,221.3918817,13.82003743
1.895762712,0.3016949153,217.3432944,15.72899933
1.979661017,0.3016949153,209.7919425,15.40625828
2.063559322,0.3016949153,206.0204491,15.08683624
2.147457627,0.3016949153,198.9308623,15.18221035
2.231355932,0.3016949153,193.8758104,15.68339509
2.315254237,0.3016949153,187.184691,14.80062287
2.399152542,0.3016949153,185.116782,15.25021419
2.483050847,0.3016949153,179.0256311,14.59145143
2.566949153,0.3016949153,177.4264585,15.38311542
2.650847458,0.3016949153,172.0483903,14.23710154
2.734745763,0.3016949153,168.0966301,13.65734423
2.818644068,0.3016949153,163.6924712,14.60060657
2.902542373,0.3016949153,161.6003649,14.01924917
2.986440678,0.3016949153,155.2180935,15.72107596
3.070338983,0.3016949153,150.1229028,14.75646688
3.154237288,0.3016949153,146.0394404,12.59580822
3.238135593,0.3016949153,143.3663208,12.89100722
3.322033898,0.3016949153,140.6171792,12.89539227
3.405932203,0.3016949153,137.5260405,14.51017927
3.489830508,0.3016949153,134.0057687,13.89781256
3.573728814,0.3016949153,132.290147,15.96274955
3.657627119,0.3016949153,128.8997207,15.6528495
3.741525424,0.3016949153,127.5693307,14.7965345
3.825423729,0.3016949153,124.0553994,13.14243107
3.909322034,0.3016949153,120.346942,13.16473384
3.993220339,0.3016949153,118.2193516,12.79423229
4.077118644,0.3016949153,116.8159162,13.1281071
4.161016949,0.3016949153,115.5456066,12.1561548
4.244915254,0.3016949153,113.0423425,10.33004634
4.328813559,0.3016949153,110.5475585,10.25892505
4.412711864,0.3016949153,108.4916074,10.1362146
4.496610169,0.3016949153,106.2090854,8.916216973
4.580508475,0.3016949153,103.977176,9.006907419
4.66440678,0.3016949153,101.4321961,9.483167972
4.748305085,0.3016949153,99.76256119,9.725373204
4.83220339,0.3016949153,97.66056953,8.926856384
4.916101695,0.3016949153,95.35189096,9.304617472
5,0.3016949153,94.05950282,10.15171413
0.05,0.3855932203,354.2884919,9.218970472
0.1338983051,0.3855932203,342.1926505,9.225527278
0.2177966102,0.3855932203,331.2510857,11.33242982
0.3016949153,0.3855932203,327.3456077,13.36830322
0.3855932203,0.3855932203,321.7005345,12.83254893
0.4694915254,0.3855932203,314.2857954,11.63236884
0.5533898305,0.3855932203,308.233548,7.603052308
0.6372881356,0.3855932203,302.6604101,8.115729964
0.7211864407,0.3855932203,296.3717484,8.242225447
0.8050847458,0.3855932203,290.4237352,10.76723276
0.8889830508,0.3855932203,287.3669304,9.021838008
0.9728813559,0.3855932203,282.1638729,10.36467266
1.056779661,0.3855932203,275.262553,9.482949249
1.140677966,0.3855932203,269.8319789,10.20458398
1.224576271,0.3855932203,265.7718377,11.71373643
1.308474576,0.3855932203,259.9327538,13.41439158
1.392372881,0.3855932203,255.7771048,12.9585735
1.476271186,0.3855932203,250.4184904,15.07333035
1.560169492,0.3855932203,244.3606308,15.19597509
1.644067797,0.3855932203,236.4962593,16.69298175
1.727966102,0.3855932203,230.3075714,16.31785441
1.811864407,0.3855932203,224.9920202,16.88401917
1.895762712,0.3855932203,214.5533923,16.88600012
1.979661017,0.3855932203,211.9579793,16.50587953
2.063559322,0.3855932203,205.5937458,15.49297016
2.147457627,0.3855932203,202.8893017,14.80968651
2.231355932,0.3855932203,198.1329041,15.09966993
2.315254237,0.3855932203,193.7017915,15.43172445
2.399152542,0.3855932203,188.2395814,15.38311354
2.483050847,0.3855932203,183.0877504,15.07026285
2.566949153,0.3855932203,177.8730421,14.66441137
2.650847458,0.3855932203,171.6424044,14.08019354
2.734745763,0.3855932203,169.2096919,15.97919755
2.818644068,0.3855932203,164.7456757,13.59343488
2.902542373,0.3855932203,161.3687332,13.75691161
2.986440678,0.3855932203,157.9949813,13.59743746
3.070338983,0.3855932203,154.5810843,15.68181243
3.154237288,0.3855932203,150.3941376,14.64213686
3.238135593,0.3855932203,144.8544594,17.94906172
3.322033898,0.3855932203,143.2771156,17.08676288
3.405932203,0.3855932203,141.1959951,15.19979829
3.489830508,0.3855932203,138.5405504,14.46998863
3.573728814,0.3855932203,135.5076031,14.17843829
3.657627119,0.3855932203,133.2069457,13.7922837
3.741525424,0.3855932203,128.888631,10.348099
3.825423729,0.3855932203,127.4185607,10.30443996
3.909322034,0.3855932203,125.7652015,11.15158011
3.993220339,0.3855932203,121.5942873,10.37672674
4.077118644,0.3855932203,118.5632454,9.235266256
4.161016949,0.3855932203,116.7103221,10.01191901
4.244915254,0.3855932203,114.7519512,10.25943903
4.328813559,0.3855932203,112.4505465,11.43831256
4.412711864,0.3855932203,111.5360879,11.49785531
4.496610169,0.3855932203,109.4721513,11.3232824
4.580508475,0.3855932203,106.3405076,8.92973478
4.66440678,0.3855932203,105.2411139,9.643038676
4.748305085,0.3855932203,104.2227091,10.00153603
4.83220339,0.3855932203,102.0329581,11.94679522
4.916101695,0.3855932203,99.25873484,13.20645705
5,0.3855932203,96.52093099,13.59059854
0.05,0.4694915254,374.8484858,11.63663015
0.1338983051,0.4694915254,363.0588427,13.41933562
0.2177966102,0.4694915254,355.1875798,13.81740409
0.3016949153,0.4694915254,346.9909668,12.50116509
0.3855932203,0.4694915254,341.0111277,9.044667237
0.4694915254,0.4694915254,335.0567079,8.978535412
0.5533898305,0.4694915254,324.7014593,9.429242398
0.6372881356,0.4694915254,318.136687,10.89886969
0.7211864407,0.4694915254,312.2266425,9.628556418
0.8050847458,0.4694915254,306.4219038,10.74222505
0.8889830508,0.4694915254,299.7757753,10.27376166
0.9728813559,0.4694915254,293.9803005,12.96820907
1.056779661,0.4694915254,287.6394161,14.44542721
1.140677966,0.4694915254,280.0682608,14.34754225
1.224576271,0.4694915254,272.1038779,15.84278531
1.308474576,0.4694915254,269.1511271,15.97911153
1.392372881,0.4694915254,261.294299,18.68745562
1.476271186,0.4694915254,252.8798753,18.29333213
1.560169492,0.4694915254,244.3022239,19.62065963
1.644067797,0.4694915254,234.9317489,17.87892771
1.727966102,0.4694915254,231.8739714,17.47340124
1.811864407,0.4694915254,227.3035354,17.31612017
1.895762712,0.4694915254,221.4522178,16.19099954
1.979661017,0.4694915254,214.6360421,17.63978293
2.063559322,0.4694915254,207.2370932,16.14184809
2.147457627,0.4694915254,202.839056,15.80084393
2.231355932,0.4694915254,197.5520955,15.02525373
2.315254237,0.4694915254,190.5444708,14.8731997
2.399152542,0.4694915254,187.4862045,14.31954473
2.483050847,0.4694915254,183.6576858,15.38338048
2.566949153,0.4694915254,179.5110943,15.60107596
2.650847458,0.4694915254,176.1186654,14.9435772
2.734745763,0.4694915254,170.7501169,15.15033812
2.818644068,0.4694915254,167.4442497,16.36825492
2.902542373,0.4694915254,161.9688058,17.71768863
2.986440678,0.4694915254,157.8230133,16.97211621
3.070338983,0.4694915254,154.5410608,17.35023308
3.154237288,0.4694915254,152.9127081,16.51330471
3.238135593,0.4694915254,148.8710967,14.3663428
3.322033898,0.4694915254,146.5856788,13.98038129
3.405932203,0.4694915254,143.7702925,12.65982402
3.489830508,0.4694915254,138.1282384,12.89391631
3.573728814,0.4694915254,136.5147548,11.75026203
3.657627119,0.4694915254,132.8951394,11.18595157
3.741525424,0.4694915254,130.983962,11.47481475
3.825423729,0.4694915254,129.6176089,11.5407489
3.909322034,0.4694915254,126.3997195,11.95570539
3.993220339,0.4694915254,123.4397554,13.52827795
4.077118644,0.4694915254,120.7548415,12.02927535
4.161016949,0.4694915254,119.9842676,11.56936347
4.244915254,0.4694915254,117.367349,11.66319996
4.328813559,0.4694915254,115.4853153,12.12971915
4.412711864,0.4694915254,111.6262255,10.36240789
4.496610169,0.4694915254,107.7722805,11.87949226
4.580508475,0.4694915254,105.6674975,11.10698638
4.66440678,0.4694915254,102.9646541,13.21435182
4.748305085,0.4694915254,99.65612542,14.10459687
4.83220339,0.4694915254,98.45051627,14.84409604
4.916101695,0.4694915254,97.49675904,15.64157761
5,0.4694915254,95.56840437,14.2820329
0.05,0.5533898305,395.096001,14.8783913
0.1338983051,0.5533898305,382.1785715,15.24777226
0.2177966102,0.5533898305,373.9032368,11.2917685
0.3016949153,0.5533898305,364.1537652,10.56971876
0.3855932203,0.5533898305,355.2533864,11.85122204
0.4694915254,0.5533898305,345.3771773,11.90608571
0.5533898305,0.5533898305,338.6924767,11.3568932
0.6372881356,0.5533898305,331.1424572,10.12577166
0.7211864407,0.5533898305,322.8095458,11.61885328
0.8050847458,0.5533898305,318.1414904,13.34140791
0.8889830508,0.5533898305,306.0687818,15.87118977
0.9728813559,0.5533898305,298.2398963,18.14496524
1.056779661,0.5533898305,293.3775485,17.24109193
1.140677966,0.5533898305,284.9479568,19.81114268
1.224576271,0.5533898305,275.5817786,17.49610442
1.308474576,0.5533898305,267.9286346,20.19599532
1.392372881,0.5533898305,257.6605626,18.96762182
1.476271186,0.5533898305,250.7133892,18.98615048
1.560169492,0.5533898305,246.5948721,17.49235855
1.644067797,0.5533898305,240.0546902,15.70291201
1.727966102,0.5533898305,230.0831459,19.17032815
1.811864407,0.5533898305,224.1851368,16.18094174
1.895762712,0.5533898305,218.7929058,13.81731026
1.979661017,0.5533898305,213.5638138,15.69709372
2.063559322,0.5533898305,206.2511221,15.01979449
2.147457627,0.5533898305,201.7777394,15.41846041
2.231355932,0.5533898305,199.7919091,16.3628612
2.315254237,0.5533898305,193.2395952,16.05218823
2.399152542,0.5533898305,189.5386949,15.34869652
2.483050847,0.5533898305,185.2850847,15.01097776
2.566949153,0.5533898305,178.5298742,17.60782099
2.650847458,0.5533898305,174.4256315,17.91511752
2.734745763,0.5533898305,170.3551116,18.12844137
2.818644068,0.5533898305,164.441788,16.64442559
2.902542373,0.5533898305,164.0244514,16.40253503
2.986440678,0.5533898305,159.8199052,15.31194972
3.070338983,0.5533898305,155.3395871,14.50345778
3.154237288,0.5533898305,151.9185268,14.45487856
3.238135593,0.5533898305,148.6607559,14.57595513
3.322033898,0.5533898305,145.4868687,14.99991181
3.405932203,0.5533898305,143.2301182,14.92352229
3.489830508,0.5533898305,141.113806,14.30654133
3.573728814,0.5533898305,138.6573417,12.61662257
3.657627119,0.5533898305,135.0392503,11.85176669
3.741525424,0.5533898305,132.1892749,12.50553885
3.825423729,0.5533898305,129.2360658,10.39909469
3.909322034,0.5533898305,125.647275,10.62460461
3.993220339,0.5533898305,122.8334365,9.212797205
4.077118644,0.5533898305,120.0980334,11.12298923
4.161016949,0.5533898305,117.1613724,11.40941211
4.244915254,0.5533898305,113.0915122,12.65316652
4.328813559,0.5533898305,110.7514834,13.79226702
4.412711864,0.5533898305,108.8854822,14.49675166
4.496610169,0.5533898305,107.8776337,15.42345137
4.580508475,0.5533898305,103.9939781,15.1190162
4.66440678,0.5533898305,102.9797105,15.53464606
4.748305085,0.5533898305,101.2092248,15.68854235
4.83220339,0.5533898305,100.7090271,14.94087729
4.916101695,0.5533898305,96.37532601,15.37766683
5,0.5533898305,94.46055847,15.66704551
0.05,0.6372881356,411.887735,15.4420467
0.1338983051,0.6372881356,401.2135036,11.97737377
0.2177966102,0.6372881356,387.3731377,9.906480846
0.3016949153,0.6372881356,376.8097133,12.61386625
0.3855932203,0.6372881356,365.240075,9.941911828
0.4694915254,0.6372881356,358.107243,11.29720337
0.5533898305,0.6372881356,349.3474384,13.11062171
0.6372881356,0.6372881356,339.8230303,16.92997218
0.7211864407,0.6372881356,326.6435429,16.12379389
0.8050847458,0.6372881356,321.087962,18.68474122
0.8889830508,0.6372881356,313.7682327,19.68630786
0.9728813559,0.6372881356,300.5225711,17.43004427
1.056779661,0.6372881356,291.7525627,20.56152718
1.140677966,0.6372881356,284.0951461,22.19244497
1.224576271,0.6372881356,275.6228368,18.21939177
