pE,pN,value_mean,value_std
0.05,0.05,0.998,0.004
0.1338983051,0.05,0.996,0.006633249581
0.2177966102,0.05,0.995,0.006708203932
0.3016949153,0.05,0.991,0.007
0.3855932203,0.05,0.987,0.009
0.4694915254,0.05,0.981,0.013
0.5533898305,0.05,0.973,0.01268857754
0.6372881356,0.05,0.967,0.01187434209
0.7211864407,0.05,0.961,0.01044030651
0.8050847458,0.05,0.95,0.01264911064
0.8889830508,0.05,0.941,0.01577973384
0.9728813559,0.05,0.93,0.02236067977
1.056779661,0.05,0.924,0.01959591794
1.140677966,0.05,0.917,0.0260959767
1.224576271,0.05,0.912,0.02315167381
1.308474576,0.05,0.904,0.02244994432
1.392372881,0.05,0.894,0.02537715508
1.476271186,0.05,0.881,0.02844292531
1.560169492,0.05,0.87,0.0354964787
1.644067797,0.05,0.861,0.033
1.727966102,0.05,0.848,0.02925747768
1.811864407,0.05,0.841,0.02844292531
1.895762712,0.05,0.834,0.02497999199
1.979661017,0.05,0.825,0.02334523506
2.063559322,0.05,0.813,0.0253179778
2.147457627,0.05,0.807,0.0253179778
2.231355932,0.05,0.794,0.02615339366
2.315254237,0.05,0.785,0.02061552813
2.399152542,0.05,0.775,0.02202271555
2.483050847,0.05,0.767,0.02685144316
2.566949153,0.05,0.755,0.0307408523
2.650847458,0.05,0.74,0.02966479395
2.734745763,0.05,0.73,0.03405877273
2.818644068,0.05,0.721,0.03534119409
2.902542373,0.05,0.711,0.0388458492
2.986440678,0.05,0.701,0.03780211634
3.070338983,0.05,0.693,0.03822302971
3.154237288,0.05,0.686,0.04054626987
3.238135593,0.05,0.675,0.04177319715
3.322033898,0.05,0.668,0.04422668877
3.405932203,0.05,0.66,0.04732863826
3.489830508,0.05,0.654,0.04521061822
3.573728814,0.05,0.643,0.05020956084
3.657627119,0.05,0.633,0.04627094121
3.741525424,0.05,0.621,0.04657252409
3.825423729,0.05,0.609,0.04635730795
3.909322034,0.05,0.6,0.0507937004
3.993220339,0.05,0.583,0.05254521862
4.077118644,0.05,0.574,0.05043808085
4.161016949,0.05,0.562,0.0485386444
