pE,pN,gap_value
0.05,0.05,476.0309691
0.1338983051,0.05,415.6919689
0.2177966102,0.05,373.0080395
0.3016949153,0.05,338.5308209
0.3855932203,0.05,308.8246891
0.4694915254,0.05,282.8172529
0.5533898305,0.05,259.7456643
0.6372881356,0.05,238.4022434
0.7211864407,0.05,218.5895342
0.8050847458,0.05,201.456534
0.8889830508,0.05,185.2469359
0.9728813559,0.05,170.6153444
1.056779661,0.05,160.1410563
1.140677966,0.05,152.8626077
1.224576271,0.05,144.3862977
1.308474576,0.05,138.9396121
1.392372881,0.05,132.9555723
1.476271186,0.05,126.3376157
1.560169492,0.05,121.7937666
1.644067797,0.05,116.6002573
1.727966102,0.05,110.6003617
1.811864407,0.05,107.2618102
1.895762712,0.05,102.4757491
1.979661017,0.05,96.7471003
2.063559322,0.05,94.4436007
2.147457627,0.05,88.5175667
2.231355932,0.05,87.2133406
2.315254237,0.05,82.1849594
2.399152542,0.05,79.489862
2.483050847,0.05,76.3829553
2.566949153,0.05,72.2228462
2.650847458,0.05,71.3270133
2.734745763,0.05,67.8118605
2.818644068,0.05,65.1207617
2.902542373,0.05,63.9488786
2.986440678,0.05,60.39005557
3.070338983,0.05,59.00850559
3.154237288,0.05,57.74908625
3.238135593,0.05,54.12439951
3.322033898,0.05,51.42779574
3.405932203,0.05,49.52203366
3.489830508,0.05,47.88993519
3.573728814,0.05,46.95425293
3.657627119,0.05,45.03117066
3.741525424,0.05,43.92782001
3.825423729,0.05,42.95543367
3.909322034,0.05,40.88615646
3.993220339,0.05,40.63483352
4.077118644,0.05,39.20005002
4.161016949,0.05,40.20987352
4.244915254,0.05,39.14224165
4.328813559,0.05,38.66588083
4.412711864,0.05,42.5403104
4.496610169,0.05,48.4361715
4.580508475,0.05,50.2127955
4.66440678,0.05,57.5463664
4.748305085,0.05,68.7328039
4.83220339,0.05,72.7515107
4.916101695,0.05,79.4865232
5,0.05,81.7652128
0.05,0.1338983051,408.4063036
0.1338983051,0.1338983051,350.2057126
0.2177966102,0.1338983051,309.8871489
0.3016949153,0.1338983051,277.0959996
0.3855932203,0.1338983051,249.6919144
0.4694915254,0.1338983051,225.499369
0.5533898305,0.1338983051,204.3100068
0.6372881356,0.1338983051,185.2454874
0.7211864407,0.1338983051,167.455465
0.8050847458,0.1338983051,152.6515435
0.8889830508,0.1338983051,137.6136442
0.9728813559,0.1338983051,123.4703689
1.056779661,0.1338983051,111.881092
1.140677966,0.1338983051,100.8070487
1.224576271,0.1338983051,88.9151619
1.308474576,0.1338983051,78.553808
1.392372881,0.1338983051,74.843806
1.476271186,0.1338983051,68.885627
1.560169492,0.1338983051,64.9556183
1.644067797,0.1338983051,61.6043353
1.727966102,0.1338983051,55.6768514
1.811864407,0.1338983051,53.3769631
1.895762712,0.1338983051,50.4524873
1.979661017,0.1338983051,45.9766295
2.063559322,0.1338983051,42.7253526
2.147457627,0.1338983051,38.8348654
2.231355932,0.1338983051,38.6321349
2.315254237,0.1338983051,33.8082447
2.399152542,0.1338983051,30.4840406
2.483050847,0.1338983051,28.6373333
2.566949153,0.1338983051,25.807496
2.650847458,0.1338983051,24.6259964
2.734745763,0.1338983051,22.0855563
2.818644068,0.1338983051,20.9149662
2.902542373,0.1338983051,22.1056882
2.986440678,0.1338983051,20.2889688
3.070338983,0.1338983051,21.3063911
3.154237288,0.1338983051,21.2864102
3.238135593,0.1338983051,18.6756515
3.322033898,0.1338983051,19.9381372
3.405932203,0.1338983051,23.8721361
3.489830508,0.1338983051,23.7558911
3.573728814,0.1338983051,30.7633318
3.657627119,0.1338983051,36.5759694
3.741525424,0.1338983051,36.0680903
3.825423729,0.1338983051,37.4021602
3.909322034,0.1338983051,39.3031258
3.993220339,0.1338983051,49.0541783
4.077118644,0.1338983051,52.3968606
4.161016949,0.1338983051,60.2864918
4.244915254,0.1338983051,67.1187697
4.328813559,0.1338983051,71.1715993
4.412711864,0.1338983051,73.3734318
4.496610169,0.1338983051,78.9199275
4.580508475,0.1338983051,85.187685
4.66440678,0.1338983051,88.0850149
4.748305085,0.1338983051,94.6441842
4.83220339,0.1338983051,98.129328
4.916101695,0.1338983051,100.8510983
5,0.1338983051,106.6802083
0.05,0.2177966102,361.76155
0.1338983051,0.2177966102,304.6839023
0.2177966102,0.2177966102,266.066313
0.3016949153,0.2177966102,234.7359253
0.3855932203,0.2177966102,208.2535408
0.4694915254,0.2177966102,186.4984437
0.5533898305,0.2177966102,167.3457303
0.6372881356,0.2177966102,148.305021
0.7211864407,0.2177966102,132.6755322
0.8050847458,0.2177966102,117.2926193
0.8889830508,0.2177966102,103.5194905
0.9728813559,0.2177966102,90.7057614
1.056779661,0.2177966102,80.1435368
1.140677966,0.2177966102,71.1339568
1.224576271,0.2177966102,62.8452302
1.308474576,0.2177966102,54.5476672
1.392372881,0.2177966102,46.4166473
1.476271186,0.2177966102,38.5259134
1.560169492,0.2177966102,32.4469369
1.644067797,0.2177966102,28.8039732
1.727966102,0.2177966102,24.3999231
1.811864407,0.2177966102,23.574522
1.895762712,0.2177966102,20.8188925
1.979661017,0.2177966102,17.2557651
2.063559322,0.2177966102,15.4630708
2.147457627,0.2177966102,14.1136717
2.231355932,0.2177966102,13.6845833
2.315254237,0.2177966102,10.273768
2.399152542,0.2177966102,10.3394687
2.483050847,0.2177966102,11.1435277
2.566949153,0.2177966102,10.5882926
2.650847458,0.2177966102,9.1605583
2.734745763,0.2177966102,9.601973
2.818644068,0.2177966102,13.2034543
2.902542373,0.2177966102,13.6451804
2.986440678,0.2177966102,17.6171519
3.070338983,0.2177966102,17.4523676
3.154237288,0.2177966102,17.8136945
3.238135593,0.2177966102,21.4807372
3.322033898,0.2177966102,23.2394113
3.405932203,0.2177966102,30.2613164
3.489830508,0.2177966102,34.5366169
3.573728814,0.2177966102,38.1892598
3.657627119,0.2177966102,47.3606117
3.741525424,0.2177966102,52.9799071
3.825423729,0.2177966102,55.3398625
3.909322034,0.2177966102,57.3387945
3.993220339,0.2177966102,59.0072687
4.077118644,0.2177966102,63.1932504
4.161016949,0.2177966102,67.6092879
4.244915254,0.2177966102,68.7901286
4.328813559,0.2177966102,76.7061383
4.412711864,0.2177966102,76.8226141
4.496610169,0.2177966102,80.8227005
4.580508475,0.2177966102,85.6074952
4.66440678,0.2177966102,88.6467118
4.748305085,0.2177966102,89.9149152
4.83220339,0.2177966102,89.3768495
4.916101695,0.2177966102,88.2620522
5,0.2177966102,91.95681
0.05,0.3016949153,324.8793266
0.1338983051,0.3016949153,269.4290995
0.2177966102,0.3016949153,231.4835012
0.3016949153,0.3016949153,203.0861946
0.3855932203,0.3016949153,178.4494807
0.4694915254,0.3016949153,156.3064304
0.5533898305,0.3016949153,136.4756866
0.6372881356,0.3016949153,118.6660201
0.7211864407,0.3016949153,104.2639118
0.8050847458,0.3016949153,91.3010449
0.8889830508,0.3016949153,81.4878435
0.9728813559,0.3016949153,70.4294906
1.056779661,0.3016949153,59.2448856
1.140677966,0.3016949153,49.0205919
1.224576271,0.3016949153,39.6271824
1.308474576,0.3016949153,34.7568151
1.392372881,0.3016949153,27.7633161
1.476271186,0.3016949153,22.0632171
1.560169492,0.3016949153,16.7798206
1.644067797,0.3016949153,12.368462
1.727966102,0.3016949153,7.4048145
1.811864407,0.3016949153,5.9116537
1.895762712,0.3016949153,4.1089234
1.979661017,0.3016949153,4.8440996
2.063559322,0.3016949153,4.0827377
2.147457627,0.3016949153,4.294202
2.231355932,0.3016949153,6.1989254
2.315254237,0.3016949153,7.1984906
2.399152542,0.3016949153,4.4219129
2.483050847,0.3016949153,9.1291381
2.566949153,0.3016949153,6.0381015
2.650847458,0.3016949153,8.7428642
2.734745763,0.3016949153,10.5808402
2.818644068,0.3016949153,14.2376306
2.902542373,0.3016949153,13.1616351
2.986440678,0.3016949153,19.0076523
3.070338983,0.3016949153,25.283122
3.154237288,0.3016949153,29.4281769
3.238135593,0.3016949153,30.5488737
3.322033898,0.3016949153,32.7561054
3.405932203,0.3016949153,37.9396113
3.489830508,0.3016949153,41.7365451
3.573728814,0.3016949153,41.9223184
3.657627119,0.3016949153,45.4491333
3.741525424,0.3016949153,45.8200638
3.825423729,0.3016949153,50.5000634
3.909322034,0.3016949153,57.8935081
3.993220339,0.3016949153,60.0971681
4.077118644,0.3016949153,61.2689004
4.161016949,0.3016949153,60.6022743
4.244915254,0.3016949153,65.2255355
4.328813559,0.3016949153,69.5622373
4.412711864,0.3016949153,71.1915047
4.496610169,0.3016949153,74.671845
4.580508475,0.3016949153,76.7894352
4.66440678,0.3016949153,80.7643781
4.748305085,0.3016949153,83.280102
4.83220339,0.3016949153,87.7862047
4.916101695,0.3016949153,92.2444346
5,0.3016949153,95.4168681
0.05,0.3855932203,292.3885426
0.1338983051,0.3855932203,238.9991028
0.2177966102,0.3855932203,203.5159205
0.3016949153,0.3855932203,173.8735767
0.3855932203,0.3855932203,149.1795045
0.4694915254,0.3855932203,129.1726312
0.5533898305,0.3855932203,111.3822504
0.6372881356,0.3855932203,95.8570132
0.7211864407,0.3855932203,83.0630598
0.8050847458,0.3855932203,71.005827
0.8889830508,0.3855932203,57.6888984
0.9728813559,0.3855932203,47.2203504
1.056779661,0.3855932203,39.6213739
1.140677966,0.3855932203,32.075131
1.224576271,0.3855932203,23.7385325
1.308474576,0.3855932203,18.5750233
1.392372881,0.3855932203,12.0095054
1.476271186,0.3855932203,7.0448462
1.560169492,0.3855932203,3.0343928
1.644067797,0.3855932203,3.5584309
1.727966102,0.3855932203,1.9412582
1.811864407,0.3855932203,2.3115152
1.895762712,0.3855932203,6.8988255
1.979661017,0.3855932203,2.6780628
2.063559322,0.3855932203,4.509441
2.147457627,0.3855932203,0.3357626
2.231355932,0.3855932203,1.9418317
2.315254237,0.3855932203,0.4952739
2.399152542,0.3855932203,3.0377583
2.483050847,0.3855932203,4.0699515
2.566949153,0.3855932203,7.0306372
2.650847458,0.3855932203,11.4060189
2.734745763,0.3855932203,10.710129
2.818644068,0.3855932203,13.7297004
2.902542373,0.3855932203,16.4138523
2.986440678,0.3855932203,18.5241637
3.070338983,0.3855932203,20.6764572
3.154237288,0.3855932203,25.5184416
3.238135593,0.3855932203,32.5271546
3.322033898,0.3855932203,31.4289343
3.405932203,0.3855932203,31.8223666
3.489830508,0.3855932203,32.8852491
3.573728814,0.3855932203,37.0258841
3.657627119,0.3855932203,39.0194056
3.741525424,0.3855932203,45.5133877
3.825423729,0.3855932203,45.8789268
3.909322034,0.3855932203,45.7141873
3.993220339,0.3855932203,52.757164
4.077118644,0.3855932203,56.6054605
4.161016949,0.3855932203,58.4343589
4.244915254,0.3855932203,59.6512795
4.328813559,0.3855932203,62.6281792
4.412711864,0.3855932203,62.5390079
4.496610169,0.3855932203,65.917948
4.580508475,0.3855932203,72.6076682
4.66440678,0.3855932203,72.6809173
4.748305085,0.3855932203,74.5956274
4.83220339,0.3855932203,75.9885653
4.916101695,0.3855932203,80.4706666
5,0.3855932203,85.3600815
0.05,0.4694915254,269.8327855
0.1338983051,0.4694915254,217.5244274
0.2177966102,0.4694915254,181.8432453
0.3016949153,0.4694915254,154.0472486
0.3855932203,0.4694915254,130.6009448
0.4694915254,0.4694915254,110.6212657
0.5533898305,0.4694915254,95.730289
0.6372881356,0.4694915254,80.8715811
0.7211864407,0.4694915254,67.570509
0.8050847458,0.4694915254,55.5476233
0.8889830508,0.4694915254,45.9531719
0.9728813559,0.4694915254,36.6502937
1.056779661,0.4694915254,28.3517748
1.140677966,0.4694915254,22.5457989
1.224576271,0.4694915254,17.4424023
1.308474576,0.4694915254,9.5375906
1.392372881,0.4694915254,6.5858721
1.476271186,0.4694915254,5.6380568
1.560169492,0.4694915254,5.9312008
1.644067797,0.4694915254,7.2459681
1.727966102,0.4694915254,3.0041978
1.811864407,0.4694915254,0
1.895762712,0.4694915254,0.0084919
1.979661017,0.4694915254,1.2162231
2.063559322,0.4694915254,2.8660936
2.147457627,0.4694915254,2.1378038
2.231355932,0.4694915254,3.178234
2.315254237,0.4694915254,7.3980131
2.399152542,0.4694915254,5.8492519
2.483050847,0.4694915254,6.3244952
2.566949153,0.4694915254,7.7139841
2.650847458,0.4694915254,7.9430201
2.734745763,0.4694915254,13.0194649
2.818644068,0.4694915254,14.3925403
2.902542373,0.4694915254,18.962597
2.986440678,0.4694915254,23.3875958
3.070338983,0.4694915254,24.7590851
3.154237288,0.4694915254,23.5591937
3.238135593,0.4694915254,26.6994079
3.322033898,0.4694915254,26.6682721
3.405932203,0.4694915254,29.5400983
3.489830508,0.4694915254,37.1235013
3.573728814,0.4694915254,36.7344961
3.657627119,0.4694915254,41.1424476
3.741525424,0.4694915254,41.7698426
3.825423729,0.4694915254,43.1418943
3.909322034,0.4694915254,48.2066673
3.993220339,0.4694915254,50.2182576
4.077118644,0.4694915254,52.5458253
4.161016949,0.4694915254,51.5374302
4.244915254,0.4694915254,55.8580914
4.328813559,0.4694915254,57.8588461
4.412711864,0.4694915254,62.6476003
4.496610169,0.4694915254,68.0485158
4.580508475,0.4694915254,71.7815285
4.66440678,0.4694915254,75.5881835
4.748305085,0.4694915254,79.278589
4.83220339,0.4694915254,80.9636337
4.916101695,0.4694915254,80.756227
5,0.4694915254,83.8683222
0.05,0.5533898305,248.7193086
0.1338983051,0.5533898305,197.5088896
0.2177966102,0.5533898305,162.6274051
0.3016949153,0.5533898305,135.9344687
0.3855932203,0.5533898305,114.218375
0.4694915254,0.5533898305,97.007449
0.5533898305,0.5533898305,80.3721289
0.6372881356,0.5533898305,66.3663474
0.7211864407,0.5533898305,54.9136164
0.8050847458,0.5533898305,42.9324706
0.8889830508,0.5533898305,36.2806749
0.9728813559,0.5533898305,28.6763343
1.056779661,0.5533898305,20.0996072
1.140677966,0.5533898305,15.3933733
1.224576271,0.5533898305,11.2696491
1.308474576,0.5533898305,8.2211656
1.392372881,0.5533898305,8.6542168
1.476271186,0.5533898305,6.9279483
1.560169492,0.5533898305,2.1429182
1.644067797,0.5533898305,0.1010395
1.727966102,0.5533898305,2.7860021
1.811864407,0.5533898305,3.1183986
1.895762712,0.5533898305,2.659312
1.979661017,0.5533898305,1.0722283
2.063559322,0.5533898305,3.8520647
2.147457627,0.5533898305,3.054563
2.231355932,0.5533898305,0.2828267
2.315254237,0.5533898305,3.0696143
2.399152542,0.5533898305,3.0029853
2.483050847,0.5533898305,3.7619485
2.566949153,0.5533898305,9.8853679
2.650847458,0.5533898305,11.8747792
2.734745763,0.5533898305,13.8390464
2.818644068,0.5533898305,19.269932
2.902542373,0.5533898305,15.1653025
2.986440678,0.5533898305,18.3149563
3.070338983,0.5533898305,21.0142063
3.154237288,0.5533898305,23.0086625
3.238135593,0.5533898305,25.7982096
3.322033898,0.5533898305,27.5957152
3.405932203,0.5533898305,29.2071942
3.489830508,0.5533898305,30.7957751
3.573728814,0.5533898305,31.7321455
3.657627119,0.5533898305,35.8901167
3.741525424,0.5533898305,40.1283982
3.825423729,0.5533898305,41.0519524
3.909322034,0.5533898305,44.9368733
3.993220339,0.5533898305,45.9107655
4.077118644,0.5533898305,49.0247105
4.161016949,0.5533898305,53.2110064
4.244915254,0.5533898305,58.6582706
4.328813559,0.5533898305,61.7926797
4.412711864,0.5533898305,64.4699299
4.496610169,0.5533898305,64.0445841
4.580508475,0.5533898305,69.3082574
4.66440678,0.5533898305,69.9169027
4.748305085,0.5533898305,71.7522405
4.83220339,0.5533898305,71.3022832
4.916101695,0.5533898305,79.6366833
5,0.5533898305,81.7677208
0.05,0.6372881356,232.6970952
0.1338983051,0.6372881356,181.8479383
0.2177966102,0.6372881356,149.0101442
0.3016949153,0.6372881356,123.4413316
0.3855932203,0.6372881356,103.3898109
0.4694915254,0.6372881356,85.1374574
0.5533898305,0.6372881356,70.0009262
0.6372881356,0.6372881356,57.6408066
0.7211864407,0.6372881356,48.8126164
0.8050847458,0.6372881356,37.3736738
0.8889830508,0.6372881356,28.4346845
0.9728813559,0.6372881356,24.5227556
1.056779661,0.6372881356,19.0326072
1.140677966,0.6372881356,13.9163967
1.224576271,0.6372881356,11.5835551
1.308474576,0.6372881356,9.9558362
1.392372881,0.6372881356,7.1937072
1.476271186,0.6372881356,7.2338579
1.560169492,0.6372881356,4.2322335
1.644067797,0.6372881356,5.4086757
1.727966102,0.6372881356,1.9849091
1.811864407,0.6372881356,3.5836137
1.895762712,0.6372881356,2.7785971
1.979661017,0.6372881356,0.6206994
2.063559322,0.6372881356,2.063784
2.147457627,0.6372881356,1.8534077
2.231355932,0.6372881356,0.4705069
