trial,seed,n_users,iteration,offloading_size,social_cost
0,20281001,20,0,0,418.2011954571652
0,20281001,20,1,1,393.10883708803874
0,20281001,20,2,2,368.4239837038208
0,20281001,20,3,3,345.0387497262812
0,20281001,20,4,4,326.0001890851133
0,20281001,20,5,5,311.5430131000515
0,20281001,20,6,6,302.95937300709465
0,20281001,20,7,7,299.0845173571218
0,20281001,20,8,8,296.8239982957772
1,20281002,20,0,0,427.22212343330756
1,20281002,20,1,1,398.06063515332585
1,20281002,20,2,2,376.34006597012007
1,20281002,20,3,3,359.0099308720639
1,20281002,20,4,4,341.787052666793
1,20281002,20,5,5,325.8167814187724
1,20281002,20,6,6,314.6124640678609
1,20281002,20,7,7,308.4771908094539
1,20281002,20,8,8,306.41693566249
0,20311001,50,0,0,1238.2783763068937
0,20311001,50,1,1,1206.6236577110108
0,20311001,50,2,2,1175.0840979106188
0,20311001,50,3,3,1145.2951076872075
0,20311001,50,4,4,1122.9742977998621
0,20311001,50,5,5,1101.4384895476237
0,20311001,50,6,6,1082.647175947162
0,20311001,50,7,7,1071.3623477624506
0,20311001,50,8,8,1062.163586519769
0,20311001,50,9,9,1054.7814703508773
0,20311001,50,10,10,1051.093687875799
0,20311001,50,11,11,1048.7061678894431
0,20311001,50,12,12,1047.6523840645657
1,20311002,50,0,0,1268.5849875674726
1,20311002,50,1,1,1226.727291422591
1,20311002,50,2,2,1196.0894537940924
1,20311002,50,3,3,1168.2522784236664
1,20311002,50,4,4,1141.5852078327648
1,20311002,50,5,5,1115.6379835845323
1,20311002,50,6,6,1093.0470061240665
1,20311002,50,7,7,1073.4614417095122
1,20311002,50,8,8,1055.327370760511
1,20311002,50,9,9,1040.1500655446364
1,20311002,50,10,10,1029.3702603400952
1,20311002,50,11,11,1021.9476291895446
1,20311002,50,12,12,1017.0702023770842
1,20311002,50,13,13,1013.2826045341816
1,20311002,50,14,14,1010.4066767346424
1,20311002,50,15,15,1010.2210588580763
