trial,seed,n_users,iteration,pE,pN,epsilon,offloading_size
0,20280309,20,0,0.31121708036242746,1.8796664725277639,318.3568257964107,10
0,20280309,20,1,0.7402307653991833,9.623576943974545,0.0,20
0,20280309,20,2,0.7402296078566968,9.623571712304393,0.0,20
0,20280309,20,3,0.7402295652804508,9.623571519875277,2.197731475916953e-06,20
0,20280309,20,4,0.7402295759853357,9.623571568257454,2.6372771344540524e-07,20
0,20280309,20,5,0.7402295772699219,9.623571574063314,3.164734607707942e-08,20
0,20280309,20,6,0.7402295774240717,9.623571574760017,3.797765657509444e-09,20
0,20280309,20,7,0.7402295774535005,9.623571574893028,0.0,20
0,20280309,20,8,0.740229577441729,9.623571574839826,6.074856173654553e-10,20
1,20280310,20,0,0.5399977005081282,1.6464036566304965,585.1669189986517,10
1,20280310,20,1,1.9572684436281023,15.653843620995623,0.0026252766505194813,20
1,20280310,20,2,1.9572839996457567,15.653922955504864,0.0,20
1,20280310,20,3,1.957283972917117,15.653922819190832,1.2903814194942242e-06,20
1,20280310,20,4,1.9572839796374615,15.653922853464076,1.5484567938983673e-07,20
1,20280310,20,5,1.957283980443902,15.653922857576863,1.858143150457181e-08,20
1,20280310,20,6,1.9572839805406752,15.653922858070398,2.229739948234055e-09,20
1,20280310,20,7,1.9572839805591493,15.653922858164616,0.0,20
1,20280310,20,8,1.9572839805517603,15.653922858126936,3.566356099327095e-10,20
0,20290309,30,0,0.7568094334639792,3.5830486085539253,823.3631888236913,15
0,20290309,30,1,3.2130121652161994,22.290372039826295,0.0,30
0,20290309,30,2,3.2129935620103525,22.290305208103845,0.0,30
0,20290309,30,3,3.2129934548936725,22.29030482328887,4.24749418925785e-06,30
0,20290309,30,4,3.2129934818258654,22.29030492004235,5.096993618280976e-07,30
0,20290309,30,5,3.2129934850577295,22.29030493165277,6.116397344158031e-08,30
0,20290309,30,6,3.212993485445552,22.290304933046016,7.3397359301452525e-09,30
0,20290309,30,7,3.212993485519592,22.290304933312004,0.0,30
0,20290309,30,8,3.2129934854899758,22.29030493320561,1.1744987205020152e-09,30
1,20290310,30,0,0.5794354619234401,2.4460069427716546,371.4359781879593,10
1,20290310,30,1,0.7138335263522917,11.64908365358214,1.9490597186598393,20
1,20290310,30,2,0.7138335263522917,11.64908365358214,0.0,21
1,20290310,30,3,0.7138335263522917,11.64908365358214,0.0,21
1,20290310,30,4,0.7138335263522917,11.64908365358214,0.0,21
