n_users,iteration,epsilon_mean,epsilon_std,count
20,0,451.7618723975312,188.66322619231937,2
20,1,0.0013126383252597407,0.0018563509220730313,2
20,2,0.0,0.0,2
20,3,1.7440564477055887e-06,6.415933778065081e-07,2
20,4,2.09286696417621e-07,7.69912246300771e-08,2
20,5,2.5114388790825615e-08,9.238996796624261e-09,2
20,6,3.0137528028717497e-09,1.1087616121034735e-09,2
20,7,0.0,0.0,2
20,8,4.820606136490824e-10,1.7737774131639037e-10,2
30,0,597.3995835058253,319.56079524324736,2
30,1,0.9745298593299196,1.378193344001917,2
30,2,0.0,0.0,2
30,3,2.123747094628925e-06,3.0034319442746828e-06,2
30,4,2.548496809140488e-07,3.6041187511510353e-07,2
30,5,6.116397344158031e-08,0.0,1
30,6,7.3397359301452525e-09,0.0,1
30,7,0.0,0.0,1
30,8,1.1744987205020152e-09,0.0,1
