iteration,pE,pN
0,3.432857142857143,1.2935714285714286
1,3.8607142857142858,0.8657142857142858
2,3.8607142857142858,0.4378571428571429
3,3.8607142857142858,0.01
4,4.288571428571428,0.4378571428571429
5,3.8607142857142858,0.01
6,4.288571428571428,0.4378571428571429
7,4.288571428571428,0.01
8,4.288571428571428,0.4378571428571429
9,3.8607142857142858,0.8657142857142858
10,3.432857142857143,0.4378571428571429
11,3.8607142857142858,0.4378571428571429
12,3.432857142857143,0.01
13,3.005,0.4378571428571429
14,2.577142857142857,0.01
15,2.577142857142857,0.01
16,2.577142857142857,0.01
17,3.005,0.01
18,3.005,0.01
19,3.432857142857143,0.01
20,3.005,0.4378571428571429
21,3.005,0.4378571428571429
22,2.577142857142857,0.8657142857142858
23,2.577142857142857,0.8657142857142858
24,2.149285714285714,0.4378571428571429
25,2.149285714285714,0.8657142857142858
26,2.577142857142857,0.4378571428571429
27,2.577142857142857,0.8657142857142858
28,2.149285714285714,0.4378571428571429
29,2.577142857142857,0.01
30,2.577142857142857,0.4378571428571429
31,2.577142857142857,0.01
32,2.149285714285714,0.4378571428571429
33,2.577142857142857,0.4378571428571429
34,2.149285714285714,0.4378571428571429
35,1.7214285714285715,0.8657142857142858
36,1.2935714285714286,1.2935714285714286
37,1.2935714285714286,0.8657142857142858
38,0.8657142857142858,0.4378571428571429
39,0.4378571428571429,0.4378571428571429
40,0.01,0.8657142857142858
41,0.4378571428571429,1.2935714285714286
42,0.8657142857142858,1.7214285714285715
43,0.8657142857142858,1.2935714285714286
44,1.2935714285714286,1.2935714285714286
45,1.7214285714285715,1.7214285714285715
46,1.7214285714285715,1.7214285714285715
47,1.7214285714285715,2.149285714285714
48,1.2935714285714286,1.7214285714285715
49,1.7214285714285715,1.7214285714285715
50,2.149285714285714,1.2935714285714286
51,2.149285714285714,0.8657142857142858
52,2.149285714285714,1.2935714285714286
53,1.7214285714285715,1.2935714285714286
54,1.7214285714285715,1.2935714285714286
55,2.149285714285714,1.7214285714285715
56,2.577142857142857,1.7214285714285715
57,3.005,1.2935714285714286
58,3.432857142857143,0.8657142857142858
59,3.005,0.8657142857142858
60,3.432857142857143,0.4378571428571429
61,3.432857142857143,0.4378571428571429
62,3.8607142857142858,0.8657142857142858
63,4.288571428571428,0.4378571428571429
64,4.288571428571428,0.8657142857142858
65,3.8607142857142858,1.2935714285714286
66,3.432857142857143,0.8657142857142858
67,3.8607142857142858,1.2935714285714286
68,3.8607142857142858,0.8657142857142858
69,3.8607142857142858,1.2935714285714286
70,3.432857142857143,1.2935714285714286
71,3.432857142857143,1.2935714285714286
72,3.432857142857143,1.7214285714285715
73,3.005,2.149285714285714
74,3.432857142857143,1.7214285714285715
75,3.005,2.149285714285714
76,3.005,1.7214285714285715
77,2.577142857142857,1.7214285714285715
78,2.149285714285714,1.2935714285714286
79,1.7214285714285715,1.7214285714285715
80,1.7214285714285715,2.149285714285714
