iteration,pE,pN
0,3.6039999999999996,1.208
1,4.202999999999999,0.609
2,4.202999999999999,0.01
3,4.202999999999999,0.01
4,4.802,0.609
5,4.202999999999999,0.01
6,4.802,0.609
7,4.802,0.01
8,4.802,0.609
9,4.202999999999999,1.208
10,3.6039999999999996,0.609
11,4.202999999999999,0.609
12,3.6039999999999996,0.01
13,3.005,0.609
14,2.4059999999999997,0.01
15,2.4059999999999997,0.01
16,2.4059999999999997,0.01
17,3.005,0.01
18,3.005,0.01
19,3.6039999999999996,0.01
20,3.005,0.609
21,3.005,0.609
22,2.4059999999999997,1.208
23,2.4059999999999997,1.208
24,1.807,0.609
25,1.807,1.208
26,2.4059999999999997,0.609
27,2.4059999999999997,1.208
28,1.807,0.609
29,2.4059999999999997,0.01
30,2.4059999999999997,0.609
31,2.4059999999999997,0.01
32,1.807,0.609
33,2.4059999999999997,0.609
34,1.807,0.609
35,1.208,1.208
36,0.609,1.807
37,0.609,1.208
38,0.01,0.609
39,0.01,0.609
40,0.01,1.208
41,0.609,1.807
42,1.208,2.4059999999999997
43,1.208,1.807
44,1.807,1.807
45,2.4059999999999997,2.4059999999999997
46,2.4059999999999997,2.4059999999999997
47,2.4059999999999997,3.005
48,1.807,2.4059999999999997
49,2.4059999999999997,2.4059999999999997
50,3.005,1.807
51,3.005,1.208
52,3.005,1.807
53,2.4059999999999997,1.807
54,2.4059999999999997,1.807
55,3.005,2.4059999999999997
56,3.6039999999999996,2.4059999999999997
57,4.202999999999999,1.807
58,4.802,1.208
59,4.202999999999999,1.208
60,4.802,0.609
61,4.802,0.609
62,5.401,1.208
63,6.0,0.609
64,6.0,1.208
65,5.401,1.807
66,4.802,1.208
67,5.401,1.807
68,5.401,1.208
69,5.401,1.807
70,4.802,1.807
71,4.802,1.807
72,4.802,2.4059999999999997
73,4.202999999999999,3.005
74,4.802,2.4059999999999997
75,4.202999999999999,3.005
76,4.202999999999999,2.4059999999999997
77,3.6039999999999996,2.4059999999999997
78,3.005,1.807
79,2.4059999999999997,2.4059999999999997
80,2.4059999999999997,3.005
