user,offloading,esp,nsp,f,b,local_cost,offload_cost,margin
0,0,,,0.0,0.0,14.499922631556586,,
1,0,,,0.0,0.0,26.74179732378552,,
2,0,,,0.0,0.0,24.833008534577033,,
3,1,2,2,5.074334941113344,3.5408552326336755,30.59576669711847,23.299103134649904,7.2966635624685665
4,0,,,0.0,0.0,14.090118268450677,,
5,0,,,0.0,0.0,23.209588382404025,,
6,1,2,3,6.616606854571318,3.2430941902241477,54.35713565306488,20.940102254867696,33.417033398197184
7,0,,,0.0,0.0,16.61546152494399,,
8,0,,,0.0,0.0,19.959196472528955,,
9,1,1,2,5.295688458488688,2.8160120102260238,19.798671804920318,19.183265800720786,0.6154060041995315
10,1,2,3,7.140067340573447,3.686430199382047,38.20933497028909,23.35614762135281,14.853187348936281
11,1,2,1,6.097092120176169,2.252599036605221,31.564693866167598,21.15848793592511,10.40620593024249
12,0,,,0.0,0.0,22.264380341027945,,
13,0,,,0.0,0.0,20.616102904816334,,
14,0,,,0.0,0.0,18.874830804158528,,
15,1,1,1,6.6162657129821945,2.478516382050317,23.816954337694675,22.144230944801283,1.672723392893392
16,1,2,2,5.20575927806112,3.8071129336319425,29.744877722965683,24.75798225966416,4.986895463301522
17,0,,,0.0,0.0,14.499856165708637,,
18,1,1,1,5.22516007486934,3.4500887557998854,26.86348647098629,26.774701269900998,0.08878520108529386
19,0,,,0.0,0.0,15.61707448609422,,
20,1,1,1,6.367363337611711,3.2601603483862394,29.558383484833968,26.75404544796197,2.8043380368719966
21,0,,,0.0,0.0,16.414582110488247,,
22,1,1,1,6.924719192679369,3.070069880633792,28.979100368551308,26.13794250373596,2.8411578648153473
23,0,,,0.0,0.0,9.902093393076505,,
24,1,2,3,4.8661394655046,3.070475610393807,31.257690774782834,18.18703206240073,13.070658712382105
25,0,,,0.0,0.0,13.552629828444491,,
26,0,,,0.0,0.0,10.998767841063586,,
27,1,1,1,6.517070582258989,2.586148106977702,23.449788674293625,22.71301238030111,0.7367762939925164
28,1,1,2,5.485862749548438,1.414978325241888,17.09569909403253,12.510364911470429,4.5853341825621
29,0,,,0.0,0.0,12.326910209721792,,
