user,offloading,esp,nsp,f,b,local_cost,offload_cost,margin
0,0,,,0.0,0.0,11.690045344701357,,
1,1,2,3,4.108130567909165,3.4988831696815894,34.728716074893455,18.925294966466872,15.803421108426583
2,0,,,0.0,0.0,19.928470334512564,,
3,0,,,0.0,0.0,17.772340897417656,,
4,0,,,0.0,0.0,15.580684702158646,,
5,1,3,3,4.863405339019086,4.626509138099511,40.452545613347866,21.686830314189518,18.765715299158348
6,1,1,2,5.748372430566941,4.3429818063362085,34.853553438999526,31.72727680403228,3.1262766349672475
7,0,,,0.0,0.0,9.419087935646905,,
8,1,1,1,4.495978933189484,2.077458647908978,20.991250216126648,16.688466515530678,4.30278370059597
9,0,,,0.0,0.0,20.869886445799576,,
10,1,2,1,5.042123351916009,4.042507017052943,32.42648771863565,26.638961475882116,5.787526242753533
11,1,2,1,4.829868870436538,2.9032272502846688,38.72318925883088,21.698452544189745,17.024736714641133
12,0,,,0.0,0.0,20.518889225965427,,
13,1,3,3,5.458664369029364,2.845447835987201,47.29100672555256,17.497692856034867,29.793313869517696
14,1,1,1,4.307801510244794,4.375537158813141,26.007015493782642,25.3890453901681,0.6179701036145424
15,1,2,2,4.240033360868484,4.2322261752935235,42.0406317090134,29.330305708212396,12.710326000801
16,1,3,3,4.703816044240304,2.015663468659715,37.06906392743076,13.806014269657945,23.263049657772818
17,0,,,0.0,0.0,13.464387690213218,,
18,0,,,0.0,0.0,16.912175549458063,,
19,0,,,0.0,0.0,13.639823348470756,,
20,0,,,0.0,0.0,17.820804737249887,,
21,0,,,0.0,0.0,14.243848754744029,,
22,1,1,2,4.9031895974724105,4.504483166690474,31.338639117014157,30.904738871827632,0.4339002451865248
23,0,,,0.0,0.0,10.754394873640804,,
24,0,,,0.0,0.0,28.480296125423738,,
25,1,1,1,3.616883088981334,3.4831398444274178,21.904181726037386,20.56576780085442,1.3384139251829659
26,0,,,0.0,0.0,13.192545808030637,,
27,0,,,0.0,0.0,17.080392025069976,,
28,1,2,2,3.969619206426336,1.587234171621938,23.188492851026748,16.053176377442302,7.135316473584446
29,0,,,0.0,0.0,14.192220926302072,,
30,0,,,0.0,0.0,10.66490620666882,,
31,1,1,1,5.599269517338393,4.362998775225045,30.921135769879584,27.78168356572285,3.1394522041567328
32,1,1,1,5.533160030216413,4.202449124386134,29.257520825345033,27.023972769089294,2.2335480562557386
33,1,1,2,5.116079714281022,2.0996966922801357,22.74641048031395,19.758058831603215,2.9883516487107364
34,1,2,1,3.327915063100473,1.502685679666173,20.803288273366668,12.98940013710979,7.813888136256878
35,1,1,1,5.6792651777092065,5.611314375762161,32.946329491633364,32.85238510895225,0.09394438268111571
36,0,,,0.0,0.0,22.239254728920848,,
37,0,,,0.0,0.0,13.060245747745375,,
38,1,2,3,5.00560624220768,4.950756911112145,41.37425984265417,25.064137558455926,16.310122284198243
39,0,,,0.0,0.0,13.462356948986503,,
40,0,,,0.0,0.0,22.177926468818868,,
41,0,,,0.0,0.0,18.283511244399893,,
42,0,,,0.0,0.0,22.05444893274879,,
43,1,2,1,4.476703337135311,4.25698726785014,32.805101458744815,26.28340998422926,6.521691474515556
44,0,,,0.0,0.0,10.757521666087822,,
45,0,,,0.0,0.0,28.499858328792754,,
46,1,3,3,5.075697073857886,4.7900122037325685,41.61120397340099,22.52138564498957,19.08981832841142
47,0,,,0.0,0.0,12.624062388618915,,
48,1,3,1,4.898417173853362,2.5688401369133995,39.35683619709992,18.380936873980296,20.975899323119627
49,0,,,0.0,0.0,27.389216504311015,,
