iteration,updated_provider,restricted_gap,social_cost,offloading_count,stage2_calls,pE1,pE2,pE3,pN1,pN2,pN3,esp1_revenue,esp2_revenue,esp3_revenue,nsp1_revenue,nsp2_revenue,nsp3_revenue,provider1_gain,provider2_gain,provider3_gain,provider4_gain,provider5_gain,provider6_gain
0,N1,20.59223930954395,804.624898419854,24,33,0.42,0.5,0.58,2.2769261860309924,0.5,0.62,18.54,17.150000000000002,14.174999999999999,17.863636363636367,15.590909090909088,13.772727272727277,1.8900000000000006,1.7500000000000036,1.4499999999999975,20.59223930954395,13.52270950027045,1.40909090909091
1,N2,24.503144240402364,883.5581840639976,21,62,0.42,0.5,0.58,2.2769261860309924,2.4013017960376453,0.62,18.539999999999996,17.15,14.174999999999999,38.455875673180316,15.590909090909093,13.772727272727273,2.891847065019533,7.988019841961272,1.450000000000001,0.19290488180491394,24.503144240402364,1.4090909090909118
2,E2,8.562338416077413,948.7311964819356,21,91,0.42,0.7446382404593547,0.58,2.2769261860309924,2.4013017960376453,0.62,18.539999999999992,17.15,14.174999999999999,62.082533272345586,40.09405333131146,13.772727272727273,7.831045834493132,8.562338416077413,1.4499999999999993,1.3291011078779746,0.0,1.4090909090909118
3,E1,15.153078843244305,957.4871671698469,21,119,0.7567350854054289,0.7446382404593547,0.58,2.2769261860309924,2.4013017960376453,0.62,18.539999999999996,25.71233841607741,14.174999999999997,62.082533272345586,40.09405333131146,13.772727272727273,15.153078843244305,0.03270486155781427,1.4500000000000028,0.0,0.0,1.4090909090909118
4,E1,3.4053078843244364,972.3195123620089,21,150,0.8324085939459719,0.7446382404593547,0.58,2.2769261860309924,2.4013017960376453,0.62,33.6930788432443,25.712338416077408,14.174999999999999,62.082533272345586,40.09405333131146,13.772727272727273,3.4053078843244364,2.60623384160775,1.450000000000001,0.0,0.0,1.4090909090909118
5,E2,2.606233841607743,975.7248202463335,21,179,0.8324085939459719,0.8191020645052902,0.58,2.2769261860309924,2.4013017960376453,0.62,37.09838672756874,25.712338416077408,14.174999999999999,62.082533272345586,40.09405333131146,13.772727272727273,0.0,2.606233841607743,1.450000000000001,0.0,0.0,1.4090909090909118
6,N1,4.23394511883923,978.3310540879413,21,208,0.8324085939459719,0.8191020645052902,0.58,1.9704299621692267,2.4013017960376453,0.62,37.09838672756874,28.31857225768515,14.174999999999999,62.082533272345586,40.09405333131146,13.772727272727273,0.0,0.0,1.450000000000001,4.23394511883923,0.0,1.4090909090909118
7,E1,3.745838672756875,969.4323377144841,21,238,0.9156494533405691,0.8191020645052902,0.58,1.9704299621692267,2.4013017960376453,0.62,37.09838672756874,28.31857225768515,14.174999999999999,66.31647839118482,29.322474644583185,13.772727272727273,3.745838672756875,2.8668572257685234,1.450000000000001,0.48369943460369313,1.4428877035539358,1.4090909090909118
8,E3,4.244005211362884,973.2301358223947,22,266,0.9156494533405691,0.8191020645052902,0.7497602084545153,1.9704299621692267,2.4013017960376453,0.62,40.84422540032561,28.318572257685158,14.174999999999999,77.33390116370718,40.09405333131146,13.772727272727273,0.0,2.8668572257685163,4.244005211362884,0.0,0.0,1.4090909090909118
9,E2,2.8668572257685163,977.4741410337577,22,295,0.9156494533405691,0.9010122709558193,0.7497602084545153,1.9704299621692267,2.4013017960376453,0.62,40.84422540032561,28.318572257685158,18.419005211362883,77.33390116370718,40.09405333131146,13.772727272727273,0.0,2.8668572257685163,1.874400521136291,0.0,0.0,1.4090909090909118
