pE,pN,value_mean,value_std
0.05,0.05,4,5.063396036e-16
0.1338983051,0.05,12.38983051,2.175583929e-15
0.2177966102,0.05,20.77966102,4.351167858e-15
0.3016949153,0.05,29.16949153,2.972413521e-15
0.3855932203,0.05,37.55932203,3.891802844e-15
0.4694915254,0.05,45.94915254,5.944827042e-15
0.5533898305,0.05,54.33898305,8.702335715e-15
0.6372881356,0.05,62.42478245,0.7426137609
0.7211864407,0.05,69.64773443,2.413031686
0.8050847458,0.05,75.26221519,4.636145503
0.8889830508,0.05,78.95924861,6.03749486
0.9728813559,0.05,82.07046819,8.442456843
1.056779661,0.05,83.9526889,9.963812543
1.140677966,0.05,87.16891773,11.16995012
1.224576271,0.05,90.1499237,12.22386746
1.308474576,0.05,92.23427373,12.82169636
1.392372881,0.05,94.31499803,14.16790991
1.476271186,0.05,95.30608852,13.20501349
1.560169492,0.05,96.78490026,14.17253185
1.644067797,0.05,98.09494462,14.50886849
1.727966102,0.05,98.27194654,15.19580118
1.811864407,0.05,98.39573116,16.71400037
1.895762712,0.05,100.6296916,17.12080241
1.979661017,0.05,101.446824,17.96913698
2.063559322,0.05,102.7245887,16.38548596
2.147457627,0.05,104.9363517,16.73854097
2.231355932,0.05,106.0998414,17.0995124
2.315254237,0.05,106.5156097,16.33660617
2.399152542,0.05,106.2849091,16.94761022
2.483050847,0.05,108.1426223,17.243831
2.566949153,0.05,108.3535443,15.95152435
2.650847458,0.05,109.3413151,16.88499101
2.734745763,0.05,110.1864586,15.32690351
2.818644068,0.05,111.8760965,15.56193165
2.902542373,0.05,111.1653565,16.13146651
2.986440678,0.05,111.2605902,16.20328444
3.070338983,0.05,112.8229486,16.43081636
3.154237288,0.05,113.5333239,16.61233784
3.238135593,0.05,115.0428079,16.83320742
3.322033898,0.05,114.9708865,17.29764996
3.405932203,0.05,113.8977655,17.24940235
3.489830508,0.05,114.4060861,15.8152552
3.573728814,0.05,114.7704032,16.85902846
3.657627119,0.05,116.1172594,17.05687291
3.741525424,0.05,116.0872004,18.14069938
3.825423729,0.05,114.2269089,18.26612299
3.909322034,0.05,114.4615053,17.82403068
3.993220339,0.05,113.5855058,18.66715327
4.077118644,0.05,113.7267506,19.8013747
4.161016949,0.05,114.8966135,20.00506374
4.244915254,0.05,114.9070449,19.18178128
4.328813559,0.05,114.2038396,21.62557639
4.412711864,0.05,115.3103177,21.83509847
4.496610169,0.05,114.4752153,21.32628668
4.580508475,0.05,115.5429429,21.52520017
4.66440678,0.05,115.6205622,20.22869701
4.748305085,0.05,114.6679317,19.12566293
4.83220339,0.05,115.6807745,19.29459674
4.916101695,0.05,116.6848262,19.46206426
5,0.05,117.6803117,19.62810301
0.05,0.1338983051,4,5.063396036e-16
0.1338983051,0.1338983051,12.38983051,2.175583929e-15
0.2177966102,0.1338983051,20.77966102,4.351167858e-15
0.3016949153,0.1338983051,29.16949153,2.972413521e-15
0.3855932203,0.1338983051,37.55932203,3.891802844e-15
0.4694915254,0.1338983051,45.94915254,5.944827042e-15
0.5533898305,0.1338983051,54.33898305,8.702335715e-15
0.6372881356,0.1338983051,62.42478245,0.7426137609
0.7211864407,0.1338983051,69.64773443,2.413031686
0.8050847458,0.1338983051,75.26221519,4.636145503
0.8889830508,0.1338983051,78.95924861,6.03749486
0.9728813559,0.1338983051,82.07046819,8.442456843
1.056779661,0.1338983051,83.9526889,9.963812543
1.140677966,0.1338983051,87.16891773,11.16995012
1.224576271,0.1338983051,90.1499237,12.22386746
1.308474576,0.1338983051,92.23427373,12.82169636
1.392372881,0.1338983051,94.31499803,14.16790991
1.476271186,0.1338983051,95.30608852,13.20501349
1.560169492,0.1338983051,96.78490026,14.17253185
1.644067797,0.1338983051,98.09494462,14.50886849
1.727966102,0.1338983051,98.27194654,15.19580118
1.811864407,0.1338983051,98.39573116,16.71400037
1.895762712,0.1338983051,100.6296916,17.12080241
1.979661017,0.1338983051,101.446824,17.96913698
2.063559322,0.1338983051,102.7245887,16.38548596
2.147457627,0.1338983051,104.9363517,16.73854097
2.231355932,0.1338983051,106.0998414,17.0995124
2.315254237,0.1338983051,106.5156097,16.33660617
2.399152542,0.1338983051,106.2849091,16.94761022
2.483050847,0.1338983051,108.1426223,17.243831
2.566949153,0.1338983051,108.3535443,15.95152435
2.650847458,0.1338983051,109.3413151,16.88499101
2.734745763,0.1338983051,110.1864586,15.32690351
2.818644068,0.1338983051,111.8760965,15.56193165
2.902542373,0.1338983051,111.1653565,16.13146651
2.986440678,0.1338983051,111.2605902,16.20328444
3.070338983,0.1338983051,112.8229486,16.43081636
3.154237288,0.1338983051,113.5333239,16.61233784
3.238135593,0.1338983051,115.0428079,16.83320742
3.322033898,0.1338983051,114.9708865,17.29764996
3.405932203,0.1338983051,113.8977655,17.24940235
3.489830508,0.1338983051,114.4060861,15.8152552
3.573728814,0.1338983051,114.7704032,16.85902846
3.657627119,0.1338983051,116.1172594,17.05687291
3.741525424,0.1338983051,116.0872004,18.14069938
3.825423729,0.1338983051,114.2269089,18.26612299
3.909322034,0.1338983051,114.4615053,17.82403068
3.993220339,0.1338983051,113.5855058,18.66715327
4.077118644,0.1338983051,113.7267506,19.8013747
4.161016949,0.1338983051,114.8966135,20.00506374
4.244915254,0.1338983051,114.9070449,19.18178128
4.328813559,0.1338983051,114.2038396,21.62557639
4.412711864,0.1338983051,115.3103177,21.83509847
4.496610169,0.1338983051,114.4752153,21.32628668
4.580508475,0.1338983051,115.5429429,21.52520017
4.66440678,0.1338983051,115.6205622,20.22869701
4.748305085,0.1338983051,114.6679317,19.12566293
4.83220339,0.1338983051,115.6807745,19.29459674
4.916101695,0.1338983051,116.6848262,19.46206426
5,0.1338983051,117.6803117,19.62810301
0.05,0.2177966102,4,5.063396036e-16
0.1338983051,0.2177966102,12.38983051,2.175583929e-15
0.2177966102,0.2177966102,20.77966102,4.351167858e-15
0.3016949153,0.2177966102,29.16949153,2.972413521e-15
0.3855932203,0.2177966102,37.55932203,3.891802844e-15
0.4694915254,0.2177966102,45.94915254,5.944827042e-15
0.5533898305,0.2177966102,54.33898305,8.702335715e-15
0.6372881356,0.2177966102,62.42478245,0.7426137609
0.7211864407,0.2177966102,69.64773443,2.413031686
0.8050847458,0.2177966102,75.26221519,4.636145503
0.8889830508,0.2177966102,78.95924861,6.03749486
0.9728813559,0.2177966102,82.07046819,8.442456843
1.056779661,0.2177966102,83.9526889,9.963812543
1.140677966,0.2177966102,87.16891773,11.16995012
1.224576271,0.2177966102,90.1499237,12.22386746
1.308474576,0.2177966102,92.23427373,12.82169636
1.392372881,0.2177966102,94.31499803,14.16790991
1.476271186,0.2177966102,95.30608852,13.20501349
1.560169492,0.2177966102,96.78490026,14.17253185
1.644067797,0.2177966102,98.09494462,14.50886849
1.727966102,0.2177966102,98.27194654,15.19580118
1.811864407,0.2177966102,98.39573116,16.71400037
1.895762712,0.2177966102,100.6296916,17.12080241
1.979661017,0.2177966102,101.446824,17.96913698
2.063559322,0.2177966102,102.7245887,16.38548596
2.147457627,0.2177966102,104.9363517,16.73854097
2.231355932,0.2177966102,106.0998414,17.0995124
2.315254237,0.2177966102,106.5156097,16.33660617
2.399152542,0.2177966102,106.2849091,16.94761022
2.483050847,0.2177966102,108.1426223,17.243831
2.566949153,0.2177966102,108.3535443,15.95152435
2.650847458,0.2177966102,109.3413151,16.88499101
2.734745763,0.2177966102,110.1864586,15.32690351
2.818644068,0.2177966102,111.8760965,15.56193165
2.902542373,0.2177966102,111.1653565,16.13146651
