pE,pN,value_mean,value_std
0.05,0.05,1.6,3.293453726e-16
0.1338983051,0.05,1.6,3.293453726e-16
0.2177966102,0.05,1.6,3.293453726e-16
0.3016949153,0.05,1.6,3.293453726e-16
0.3855932203,0.05,1.6,3.293453726e-16
0.4694915254,0.05,1.6,3.293453726e-16
0.5533898305,0.05,1.6,3.293453726e-16
0.6372881356,0.05,1.6,3.060673659e-16
0.7211864407,0.05,1.6,3.060673659e-16
0.8050847458,0.05,1.6,3.060673659e-16
0.8889830508,0.05,1.6,3.293453726e-16
0.9728813559,0.05,1.6,3.060673659e-16
1.056779661,0.05,1.6,3.060673659e-16
1.140677966,0.05,1.6,2.808666775e-16
1.224576271,0.05,1.6,2.531698018e-16
1.308474576,0.05,1.6,2.808666775e-16
1.392372881,0.05,1.6,2.808666775e-16
1.476271186,0.05,1.6,3.293453726e-16
1.560169492,0.05,1.6,3.510833469e-16
1.644067797,0.05,1.6,3.845925373e-16
1.727966102,0.05,1.6,3.439900228e-16
1.811864407,0.05,1.6,3.648565167e-16
1.895762712,0.05,1.6,3.648565167e-16
1.979661017,0.05,1.6,3.439900228e-16
2.063559322,0.05,1.6,3.217732024e-16
2.147457627,0.05,1.6,3.217732024e-16
2.231355932,0.05,1.6,3.217732024e-16
2.315254237,0.05,1.6,3.439900228e-16
2.399152542,0.05,1.6,3.060673659e-16
2.483050847,0.05,1.6,3.060673659e-16
2.566949153,0.05,1.6,3.293453726e-16
2.650847458,0.05,1.6,3.293453726e-16
2.734745763,0.05,1.6,3.060673659e-16
2.818644068,0.05,1.6,3.060673659e-16
2.902542373,0.05,1.6,3.060673659e-16
2.986440678,0.05,1.6,3.293453726e-16
3.070338983,0.05,1.6,3.293453726e-16
3.154237288,0.05,1.6,3.293453726e-16
3.238135593,0.05,1.6,3.293453726e-16
3.322033898,0.05,1.6,3.060673659e-16
3.405932203,0.05,1.6,3.293453726e-16
3.489830508,0.05,1.6,3.715516901e-16
3.573728814,0.05,1.6,3.781283368e-16
3.657627119,0.05,1.6,3.781283368e-16
3.741525424,0.05,1.6,3.648565167e-16
3.825423729,0.05,1.6,3.293453726e-16
3.909322034,0.05,1.6,3.293453726e-16
3.993220339,0.05,1.6,2.808666775e-16
4.077118644,0.05,1.6,3.060673659e-16
4.161016949,0.05,1.6,3.060673659e-16
4.244915254,0.05,1.6,3.293453726e-16
4.328813559,0.05,1.6,2.808666775e-16
4.412711864,0.05,1.6,2.808666775e-16
4.496610169,0.05,1.6,3.060673659e-16
4.580508475,0.05,1.6,3.060673659e-16
4.66440678,0.05,1.6,3.060673659e-16
4.748305085,0.05,1.6,3.293453726e-16
4.83220339,0.05,1.6,3.293453726e-16
4.916101695,0.05,1.6,3.293453726e-16
5,0.05,1.6,3.293453726e-16
0.05,0.1338983051,4.955932203,6.879800456e-16
0.1338983051,0.1338983051,4.955932203,6.879800456e-16
0.2177966102,0.1338983051,4.955932203,6.879800456e-16
0.3016949153,0.1338983051,4.955932203,6.879800456e-16
0.3855932203,0.1338983051,4.955932203,6.879800456e-16
0.4694915254,0.1338983051,4.955932203,6.879800456e-16
0.5533898305,0.1338983051,4.955932203,6.879800456e-16
0.6372881356,0.1338983051,4.955932203,6.280369835e-16
0.7211864407,0.1338983051,4.955932203,6.280369835e-16
0.8050847458,0.1338983051,4.955932203,5.61733355e-16
0.8889830508,0.1338983051,4.955932203,1.613456224e-15
0.9728813559,0.1338983051,4.955932203,5.61733355e-16
1.056779661,0.1338983051,4.955932203,1.563799478e-15
1.140677966,0.1338983051,4.955932203,9.315293853e-16
1.224576271,0.1338983051,4.955932203,9.315293853e-16
1.308474576,0.1338983051,4.955932203,1.087791964e-15
1.392372881,0.1338983051,4.955932203,1.050906879e-15
1.476271186,0.1338983051,4.955932203,6.280369835e-16
1.560169492,0.1338983051,4.955932203,8.426000325e-16
1.644067797,0.1338983051,4.955932203,9.729507111e-16
1.727966102,0.1338983051,4.955932203,8.426000325e-16
1.811864407,0.1338983051,4.955932203,8.881784197e-16
1.895762712,0.1338983051,4.955932203,8.426000325e-16
1.979661017,0.1338983051,4.955932203,1.31738149e-15
2.063559322,0.1338983051,4.955932203,1.224269464e-15
2.147457627,0.1338983051,4.955932203,1.224269464e-15
2.231355932,0.1338983051,4.955932203,1.224269464e-15
2.315254237,0.1338983051,4.955932203,1.28709281e-15
2.399152542,0.1338983051,4.955932203,1.087791964e-15
2.483050847,0.1338983051,4.955932203,1.087791964e-15
2.566949153,0.1338983051,4.955932203,7.94410929e-16
2.650847458,0.1338983051,4.955932203,7.431033802e-16
2.734745763,0.1338983051,4.955932203,6.879800456e-16
2.818644068,0.1338983051,4.955932203,6.879800456e-16
2.902542373,0.1338983051,4.955932203,6.280369835e-16
2.986440678,0.1338983051,4.955932203,9.729507111e-16
3.070338983,0.1338983051,4.955932203,9.729507111e-16
3.154237288,0.1338983051,4.955932203,1.28709281e-15
3.238135593,0.1338983051,4.955932203,1.28709281e-15
3.322033898,0.1338983051,4.955932203,8.881784197e-16
3.405932203,0.1338983051,4.955932203,7.431033802e-16
3.489830508,0.1338983051,4.955932203,1.12346671e-15
3.573728814,0.1338983051,4.955932203,1.158042978e-15
3.657627119,0.1338983051,4.955932203,1.158042978e-15
3.741525424,0.1338983051,4.955932203,1.563799478e-15
3.825423729,0.1338983051,4.955932203,7.431033802e-16
3.909322034,0.1338983051,4.955932203,7.431033802e-16
3.993220339,0.1338983051,4.955932203,6.879800456e-16
4.077118644,0.1338983051,4.955932203,7.431033802e-16
4.161016949,0.1338983051,4.955932203,7.431033802e-16
4.244915254,0.1338983051,4.955932203,7.94410929e-16
4.328813559,0.1338983051,4.955932203,9.729507111e-16
4.412711864,0.1338983051,4.955932203,9.729507111e-16
4.496610169,0.1338983051,4.955932203,9.729507111e-16
4.580508475,0.1338983051,4.955932203,9.729507111e-16
4.66440678,0.1338983051,4.955932203,9.729507111e-16
4.748305085,0.1338983051,4.955932203,1.087791964e-15
