pE,pN,value_mean,value_std
0.05,0.05,4,0
0.1978723404,0.05,18.78723404,0
0.3457446809,0.05,25.69050295,0
0.4936170213,0.05,30.97046554,0
0.6414893617,0.05,35.47419334,0
0.7893617021,0.05,39.46773961,0
0.9372340426,0.05,43.09298318,0
1.085106383,0.05,46.43618156,0
1.232978723,0.05,45.05816581,0
1.380851064,0.05,47.72536434,0
1.528723404,0.05,50.25122196,0
1.676595745,0.05,51.05914533,0
1.824468085,0.05,47.80522406,0
1.972340426,0.05,49.72531835,0
2.120212766,0.05,51.57398423,0
2.268085106,0.05,52.63036898,0
2.415957447,0.05,54.33367534,0
2.563829787,0.05,55.9851873,0
2.711702128,0.05,57.58936047,0
2.859574468,0.05,59.15004609,0
3.007446809,0.05,60.67059993,0
3.155319149,0.05,62.1539672,0
3.303191489,0.05,63.60274957,0
3.45106383,0.05,55.15926736,0
3.59893617,0.05,56.33533988,0
3.746808511,0.05,57.48735814,0
3.894680851,0.05,58.61674032,0
4.042553191,0.05,59.72477051,0
4.190425532,0.05,60.81261577,0
4.338297872,0.05,61.8813406,0
4.486170213,0.05,62.93191909,0
4.634042553,0.05,63.96524532,0
4.781914894,0.05,64.98214228,0
4.929787234,0.05,65.98336956,0
5.077659574,0.05,66.96962994,0
5.225531915,0.05,67.94157518,0
5.373404255,0.05,68.89981111,0
5.521276596,0.05,69.84490194,0
5.669148936,0.05,61.40412338,0
5.817021277,0.05,62.20258542,0
5.964893617,0.05,62.99092723,0
6.112765957,0.05,63.76952413,0
6.260638298,0.05,61.68898238,0
6.408510638,0.05,62.41556209,0
6.556382979,0.05,63.13378054,0
6.704255319,0.05,53.64803203,0
6.85212766,0.05,54.23819721,0
7,0.05,54.82200961,0
0.05,0.1978723404,4,0
0.1978723404,0.1978723404,18.78723404,0
0.3457446809,0.1978723404,25.69050295,0
0.4936170213,0.1978723404,30.97046554,0
0.6414893617,0.1978723404,35.47419334,0
0.7893617021,0.1978723404,39.46773961,0
0.9372340426,0.1978723404,43.09298318,0
1.085106383,0.1978723404,46.43618156,0
1.232978723,0.1978723404,45.05816581,0
1.380851064,0.1978723404,47.72536434,0
1.528723404,0.1978723404,50.25122196,0
1.676595745,0.1978723404,51.05914533,0
1.824468085,0.1978723404,47.80522406,0
1.972340426,0.1978723404,49.72531835,0
2.120212766,0.1978723404,51.57398423,0
2.268085106,0.1978723404,52.63036898,0
2.415957447,0.1978723404,54.33367534,0
2.563829787,0.1978723404,55.9851873,0
2.711702128,0.1978723404,57.58936047,0
2.859574468,0.1978723404,59.15004609,0
3.007446809,0.1978723404,60.67059993,0
3.155319149,0.1978723404,62.1539672,0
3.303191489,0.1978723404,63.60274957,0
3.45106383,0.1978723404,55.15926736,0
3.59893617,0.1978723404,56.33533988,0
3.746808511,0.1978723404,57.48735814,0
3.894680851,0.1978723404,58.61674032,0
4.042553191,0.1978723404,59.72477051,0
4.190425532,0.1978723404,60.81261577,0
4.338297872,0.1978723404,61.8813406,0
4.486170213,0.1978723404,62.93191909,0
4.634042553,0.1978723404,63.96524532,0
4.781914894,0.1978723404,64.98214228,0
4.929787234,0.1978723404,65.98336956,0
5.077659574,0.1978723404,66.96962994,0
5.225531915,0.1978723404,67.94157518,0
5.373404255,0.1978723404,68.89981111,0
5.521276596,0.1978723404,69.84490194,0
5.669148936,0.1978723404,61.40412338,0
5.817021277,0.1978723404,62.20258542,0
5.964893617,0.1978723404,62.99092723,0
6.112765957,0.1978723404,63.76952413,0
6.260638298,0.1978723404,61.68898238,0
6.408510638,0.1978723404,62.41556209,0
6.556382979,0.1978723404,63.13378054,0
6.704255319,0.1978723404,53.64803203,0
6.85212766,0.1978723404,54.23819721,0
7,0.1978723404,54.82200961,0
0.05,0.3457446809,4,0
0.1978723404,0.3457446809,18.78723404,0
0.3457446809,0.3457446809,25.69050295,0
0.4936170213,0.3457446809,30.97046554,0
0.6414893617,0.3457446809,35.47419334,0
0.7893617021,0.3457446809,39.46773961,0
0.9372340426,0.3457446809,43.09298318,0
1.085106383,0.3457446809,46.43618156,0
1.232978723,0.3457446809,43.15669533,0
1.380851064,0.3457446809,45.71133714,0
1.528723404,0.3457446809,48.13060268,0
1.676595745,0.3457446809,50.43397052,0
1.824468085,0.3457446809,52.63665345,0
1.972340426,0.3457446809,54.75080185,0
2.120212766,0.3457446809,56.78630293,0
2.268085106,0.3457446809,52.63036898,0
2.415957447,0.3457446809,54.33367534,0
2.563829787,0.3457446809,55.9851873,0
2.711702128,0.3457446809,57.58936047,0
2.859574468,0.3457446809,59.15004609,0
3.007446809,0.3457446809,60.67059993,0
3.155319149,0.3457446809,62.1539672,0
3.303191489,0.3457446809,63.60274957,0
3.45106383,0.3457446809,55.15926736,0
3.59893617,0.3457446809,56.33533988,0
3.746808511,0.3457446809,57.48735814,0
3.894680851,0.3457446809,58.61674032,0
4.042553191,0.3457446809,59.72477051,0
4.190425532,0.3457446809,60.81261577,0
4.338297872,0.3457446809,61.8813406,0
4.486170213,0.3457446809,62.93191909,0
4.634042553,0.3457446809,63.96524532,0
4.781914894,0.3457446809,64.98214228,0
4.929787234,0.3457446809,65.98336956,0
5.077659574,0.3457446809,66.96962994,0
5.225531915,0.3457446809,67.94157518,0
5.373404255,0.3457446809,68.89981111,0
5.521276596,0.3457446809,69.84490194,0
5.669148936,0.3457446809,61.40412338,0
5.817021277,0.3457446809,62.20258542,0
5.964893617,0.3457446809,60.20952492,0
6.112765957,0.3457446809,60.95374241,0
6.260638298,0.3457446809,61.68898238,0
6.408510638,0.3457446809,62.41556209,0
6.556382979,0.3457446809,53.05130208,0
6.704255319,0.3457446809,53.64803203,0
6.85212766,0.3457446809,54.23819721,0
7,0.3457446809,54.82200961,0
0.05,0.4936170213,4,0
0.1978723404,0.4936170213,18.78723404,0
0.3457446809,0.4936170213,25.69050295,0
0.4936170213,0.4936170213,30.97046554,0
0.6414893617,0.4936170213,35.47419334,0
0.7893617021,0.4936170213,39.46773961,0
0.9372340426,0.4936170213,43.09298318,0
1.085106383,0.4936170213,46.43618156,0
1.232978723,0.4936170213,43.15669533,0
1.380851064,0.4936170213,45.71133714,0
1.528723404,0.4936170213,48.13060268,0
1.676595745,0.4936170213,50.43397052,0
1.824468085,0.4936170213,52.63665345,0
1.972340426,0.4936170213,54.75080185,0
2.120212766,0.4936170213,56.78630293,0
2.268085106,0.4936170213,52.63036898,0
2.415957447,0.4936170213,54.33367534,0
2.563829787,0.4936170213,55.9851873,0
2.711702128,0.4936170213,57.58936047,0
2.859574468,0.4936170213,59.15004609,0
3.007446809,0.4936170213,60.67059993,0
3.155319149,0.4936170213,62.1539672,0
3.303191489,0.4936170213,63.60274957,0
3.45106383,0.4936170213,55.15926736,0
3.59893617,0.4936170213,56.33533988,0
3.746808511,0.4936170213,57.48735814,0
3.894680851,0.4936170213,58.61674032,0
4.042553191,0.4936170213,59.72477051,0
4.190425532,0.4936170213,60.81261577,0
4.338297872,0.4936170213,61.8813406,0
4.486170213,0.4936170213,62.93191909,0
4.634042553,0.4936170213,63.96524532,0
4.781914894,0.4936170213,64.98214228,0
4.929787234,0.4936170213,65.98336956,0
5.077659574,0.4936170213,66.96962994,0
5.225531915,0.4936170213,67.94157518,0
5.373404255,0.4936170213,68.89981111,0
5.521276596,0.4936170213,57.91952611,0
5.669148936,0.4936170213,58.69278735,0
5.817021277,0.4936170213,59.45599282,0
5.964893617,0.4936170213,60.20952492,0
6.112765957,0.4936170213,51.2194165,0
6.260638298,0.4936170213,51.83723849,0
6.408510638,0.4936170213,52.44778327,0
6.556382979,0.4936170213,53.05130208,0
6.704255319,0.4936170213,53.64803203,0
6.85212766,0.4936170213,54.23819721,0
7,0.4936170213,54.82200961,0
0.05,0.6414893617,4,0
0.1978723404,0.6414893617,18.78723404,0
0.3457446809,0.6414893617,25.69050295,0
0.4936170213,0.6414893617,30.25979537,0
0.6414893617,0.6414893617,34.66017746,0
0.7893617021,0.6414893617,34.37226143,0
0.9372340426,0.6414893617,37.52946834,0
1.085106383,0.6414893617,40.44104345,0
1.232978723,0.6414893617,43.15669533,0
1.380851064,0.6414893617,45.71133714,0
1.528723404,0.6414893617,48.13060268,0
1.676595745,0.6414893617,50.43397052,0
1.824468085,0.6414893617,52.63665345,0
1.972340426,0.6414893617,54.75080185,0
2.120212766,0.6414893617,56.78630293,0
2.268085106,0.6414893617,52.63036898,0
2.415957447,0.6414893617,54.33367534,0
2.563829787,0.6414893617,55.9851873,0
2.711702128,0.6414893617,57.58936047,0
2.859574468,0.6414893617,59.15004609,0
3.007446809,0.6414893617,60.67059993,0
3.155319149,0.6414893617,62.1539672,0
3.303191489,0.6414893617,63.60274957,0
3.45106383,0.6414893617,55.15926736,0
3.59893617,0.6414893617,56.33533988,0
3.746808511,0.6414893617,57.48735814,0
3.894680851,0.6414893617,58.61674032,0
4.042553191,0.6414893617,59.72477051,0
4.190425532,0.6414893617,60.81261577,0
4.338297872,0.6414893617,61.8813406,0
4.486170213,0.6414893617,62.93191909,0
4.634042553,0.6414893617,63.96524532,0
4.781914894,0.6414893617,64.98214228,0
4.929787234,0.6414893617,65.98336956,0
5.077659574,0.6414893617,66.96962994,0
5.225531915,0.6414893617,56.34117493,0
5.373404255,0.6414893617,57.13580086,0
5.521276596,0.6414893617,48.66976521,0
5.669148936,0.6414893617,49.31953646,0
5.817021277,0.6414893617,49.96085785,0
5.964893617,0.6414893617,50.59405071,0
6.112765957,0.6414893617,51.2194165,0
6.260638298,0.6414893617,51.83723849,0
6.408510638,0.6414893617,52.44778327,0
6.556382979,0.6414893617,53.05130208,0
6.704255319,0.6414893617,53.64803203,0
6.85212766,0.6414893617,40.98849241,0
7,0.6414893617,41.42968683,0
0.05,0.7893617021,4,0
0.1978723404,0.7893617021,18.78723404,0
0.3457446809,0.7893617021,25.69050295,0
0.4936170213,0.7893617021,30.25979537,0
0.6414893617,0.7893617021,34.66017746,0
0.7893617021,0.7893617021,34.37226143,0
0.9372340426,0.7893617021,37.52946834,0
1.085106383,0.7893617021,40.44104345,0
1.232978723,0.7893617021,43.15669533,0
1.380851064,0.7893617021,45.71133714,0
1.528723404,0.7893617021,48.13060268,0
1.676595745,0.7893617021,50.43397052,0
1.824468085,0.7893617021,52.63665345,0
1.972340426,0.7893617021,54.75080185,0
2.120212766,0.7893617021,56.78630293,0
2.268085106,0.7893617021,52.63036898,0
2.415957447,0.7893617021,54.33367534,0
2.563829787,0.7893617021,55.9851873,0
2.711702128,0.7893617021,57.58936047,0
2.859574468,0.7893617021,59.15004609,0
3.007446809,0.7893617021,60.67059993,0
3.155319149,0.7893617021,62.1539672,0
3.303191489,0.7893617021,53.95756784,0
3.45106383,0.7893617021,55.15926736,0
3.59893617,0.7893617021,56.33533988,0
3.746808511,0.7893617021,57.48735814,0
3.894680851,0.7893617021,58.61674032,0
