pE,pN,value_mean,value_std
0.05,0.05,1.6,0
0.1978723404,0.05,1.6,0
0.3457446809,0.05,1.6,0
0.4936170213,0.05,1.6,0
0.6414893617,0.05,1.6,0
0.7893617021,0.05,1.6,0
0.9372340426,0.05,1.6,0
1.085106383,0.05,1.6,0
1.232978723,0.05,1.6,0
1.380851064,0.05,1.6,0
1.528723404,0.05,1.6,0
1.676595745,0.05,1.6,0
1.824468085,0.05,1.6,0
1.972340426,0.05,1.6,0
2.120212766,0.05,1.6,0
2.268085106,0.05,1.6,0
2.415957447,0.05,1.6,0
2.563829787,0.05,1.6,0
2.711702128,0.05,1.6,0
2.859574468,0.05,1.6,0
3.007446809,0.05,1.6,0
3.155319149,0.05,1.6,0
3.303191489,0.05,1.6,0
3.45106383,0.05,1.6,0
3.59893617,0.05,1.6,0
3.746808511,0.05,1.6,0
3.894680851,0.05,1.6,0
4.042553191,0.05,1.6,0
4.190425532,0.05,1.6,0
4.338297872,0.05,1.6,0
4.486170213,0.05,1.6,0
4.634042553,0.05,1.6,0
4.781914894,0.05,1.6,0
4.929787234,0.05,1.6,0
5.077659574,0.05,1.6,0
5.225531915,0.05,1.6,0
5.373404255,0.05,1.6,0
5.521276596,0.05,1.6,0
5.669148936,0.05,1.6,0
5.817021277,0.05,1.6,0
5.964893617,0.05,1.6,0
6.112765957,0.05,1.6,0
6.260638298,0.05,1.6,0
6.408510638,0.05,1.6,0
6.556382979,0.05,1.6,0
6.704255319,0.05,1.6,0
6.85212766,0.05,1.6,0
7,0.05,1.6,0
0.05,0.1978723404,7.514893617,0
0.1978723404,0.1978723404,7.514893617,0
0.3457446809,0.1978723404,7.514893617,0
0.4936170213,0.1978723404,7.514893617,0
0.6414893617,0.1978723404,7.514893617,0
0.7893617021,0.1978723404,7.514893617,0
0.9372340426,0.1978723404,7.514893617,0
1.085106383,0.1978723404,7.514893617,0
1.232978723,0.1978723404,7.514893617,0
1.380851064,0.1978723404,7.514893617,0
1.528723404,0.1978723404,7.514893617,0
1.676595745,0.1978723404,7.514893617,0
1.824468085,0.1978723404,7.514893617,0
1.972340426,0.1978723404,7.514893617,0
2.120212766,0.1978723404,7.514893617,0
2.268085106,0.1978723404,7.514893617,0
2.415957447,0.1978723404,7.514893617,0
2.563829787,0.1978723404,7.514893617,0
2.711702128,0.1978723404,7.514893617,0
2.859574468,0.1978723404,7.514893617,0
3.007446809,0.1978723404,7.514893617,0
3.155319149,0.1978723404,7.514893617,0
3.303191489,0.1978723404,7.514893617,0
3.45106383,0.1978723404,7.514893617,0
3.59893617,0.1978723404,7.514893617,0
3.746808511,0.1978723404,7.514893617,0
3.894680851,0.1978723404,7.514893617,0
4.042553191,0.1978723404,7.514893617,0
4.190425532,0.1978723404,7.514893617,0
4.338297872,0.1978723404,7.514893617,0
4.486170213,0.1978723404,7.514893617,0
4.634042553,0.1978723404,7.514893617,0
4.781914894,0.1978723404,7.514893617,0
4.929787234,0.1978723404,7.514893617,0
5.077659574,0.1978723404,7.514893617,0
5.225531915,0.1978723404,7.514893617,0
5.373404255,0.1978723404,7.514893617,0
5.521276596,0.1978723404,7.514893617,0
5.669148936,0.1978723404,7.514893617,0
5.817021277,0.1978723404,7.514893617,0
5.964893617,0.1978723404,7.514893617,0
6.112765957,0.1978723404,7.514893617,0
6.260638298,0.1978723404,7.514893617,0
6.408510638,0.1978723404,7.514893617,0
6.556382979,0.1978723404,7.514893617,0
6.704255319,0.1978723404,7.514893617,0
6.85212766,0.1978723404,7.514893617,0
7,0.1978723404,7.514893617,0
0.05,0.3457446809,13.42978723,0
0.1978723404,0.3457446809,13.42978723,0
0.3457446809,0.3457446809,13.42978723,0
0.4936170213,0.3457446809,13.42978723,0
0.6414893617,0.3457446809,13.42978723,0
0.7893617021,0.3457446809,13.42978723,0
0.9372340426,0.3457446809,13.42978723,0
1.085106383,0.3457446809,13.42978723,0
1.232978723,0.3457446809,13.42978723,0
1.380851064,0.3457446809,13.42978723,0
1.528723404,0.3457446809,13.42978723,0
1.676595745,0.3457446809,13.42978723,0
1.824468085,0.3457446809,13.42978723,0
1.972340426,0.3457446809,13.42978723,0
2.120212766,0.3457446809,13.42978723,0
2.268085106,0.3457446809,13.42978723,0
2.415957447,0.3457446809,13.42978723,0
2.563829787,0.3457446809,13.42978723,0
2.711702128,0.3457446809,13.42978723,0
2.859574468,0.3457446809,13.42978723,0
3.007446809,0.3457446809,13.42978723,0
3.155319149,0.3457446809,13.42978723,0
3.303191489,0.3457446809,13.42978723,0
3.45106383,0.3457446809,13.42978723,0
3.59893617,0.3457446809,13.42978723,0
3.746808511,0.3457446809,13.42978723,0
3.894680851,0.3457446809,13.42978723,0
4.042553191,0.3457446809,13.42978723,0
4.190425532,0.3457446809,13.42978723,0
4.338297872,0.3457446809,13.42978723,0
4.486170213,0.3457446809,13.42978723,0
4.634042553,0.3457446809,13.42978723,0
4.781914894,0.3457446809,13.42978723,0
4.929787234,0.3457446809,13.42978723,0
5.077659574,0.3457446809,13.42978723,0
5.225531915,0.3457446809,13.42978723,0
5.373404255,0.3457446809,13.42978723,0
5.521276596,0.3457446809,13.42978723,0
5.669148936,0.3457446809,13.42978723,0
5.817021277,0.3457446809,13.42978723,0
5.964893617,0.3457446809,13.42978723,0
6.112765957,0.3457446809,13.42978723,0
6.260638298,0.3457446809,13.42978723,0
6.408510638,0.3457446809,13.42978723,0
6.556382979,0.3457446809,12.35603901,0
6.704255319,0.3457446809,12.35603901,0
6.85212766,0.3457446809,12.35603901,0
7,0.3457446809,12.35603901,0
0.05,0.4936170213,19.34468085,0
0.1978723404,0.4936170213,19.34468085,0
0.3457446809,0.4936170213,19.34468085,0
0.4936170213,0.4936170213,19.34468085,0
0.6414893617,0.4936170213,19.34468085,0
0.7893617021,0.4936170213,19.34468085,0
0.9372340426,0.4936170213,19.34468085,0
1.085106383,0.4936170213,19.34468085,0
1.232978723,0.4936170213,19.34468085,0
1.380851064,0.4936170213,19.34468085,0
1.528723404,0.4936170213,19.34468085,0
1.676595745,0.4936170213,19.34468085,0
1.824468085,0.4936170213,19.34468085,0
1.972340426,0.4936170213,19.34468085,0
2.120212766,0.4936170213,19.34468085,0
2.268085106,0.4936170213,19.34468085,0
2.415957447,0.4936170213,19.34468085,0
2.563829787,0.4936170213,19.34468085,0
2.711702128,0.4936170213,19.34468085,0
2.859574468,0.4936170213,19.34468085,0
3.007446809,0.4936170213,19.34468085,0
3.155319149,0.4936170213,19.34468085,0
3.303191489,0.4936170213,19.34468085,0
3.45106383,0.4936170213,19.34468085,0
3.59893617,0.4936170213,19.34468085,0
3.746808511,0.4936170213,19.34468085,0
3.894680851,0.4936170213,19.34468085,0
4.042553191,0.4936170213,19.34468085,0
4.190425532,0.4936170213,19.34468085,0
4.338297872,0.4936170213,19.34468085,0
4.486170213,0.4936170213,19.34468085,0
4.634042553,0.4936170213,19.34468085,0
4.781914894,0.4936170213,19.34468085,0
4.929787234,0.4936170213,19.34468085,0
5.077659574,0.4936170213,19.34468085,0
5.225531915,0.4936170213,19.34468085,0
5.373404255,0.4936170213,19.34468085,0
5.521276596,0.4936170213,18.23026026,0
5.669148936,0.4936170213,18.23026026,0
5.817021277,0.4936170213,18.23026026,0
5.964893617,0.4936170213,18.23026026,0
6.112765957,0.4936170213,14.8954764,0
6.260638298,0.4936170213,14.8954764,0
6.408510638,0.4936170213,14.8954764,0
6.556382979,0.4936170213,14.8954764,0
6.704255319,0.4936170213,14.8954764,0
6.85212766,0.4936170213,14.8954764,0
7,0.4936170213,14.8954764,0
0.05,0.6414893617,25.25957447,0
0.1978723404,0.6414893617,25.25957447,0
0.3457446809,0.6414893617,25.25957447,0
0.4936170213,0.6414893617,25.25957447,0
0.6414893617,0.6414893617,25.25957447,0
0.7893617021,0.6414893617,25.25957447,0
0.9372340426,0.6414893617,25.25957447,0
1.085106383,0.6414893617,25.25957447,0
1.232978723,0.6414893617,25.25957447,0
1.380851064,0.6414893617,25.25957447,0
1.528723404,0.6414893617,25.25957447,0
1.676595745,0.6414893617,25.25957447,0
1.824468085,0.6414893617,25.25957447,0
1.972340426,0.6414893617,25.25957447,0
2.120212766,0.6414893617,25.25957447,0
2.268085106,0.6414893617,25.25957447,0
2.415957447,0.6414893617,25.25957447,0
2.563829787,0.6414893617,25.25957447,0
2.711702128,0.6414893617,25.25957447,0
2.859574468,0.6414893617,25.25957447,0
3.007446809,0.6414893617,25.25957447,0
3.155319149,0.6414893617,25.25957447,0
3.303191489,0.6414893617,25.25957447,0
3.45106383,0.6414893617,25.25957447,0
3.59893617,0.6414893617,25.25957447,0
3.746808511,0.6414893617,25.25957447,0
3.894680851,0.6414893617,25.25957447,0
4.042553191,0.6414893617,25.25957447,0
4.190425532,0.6414893617,25.25957447,0
