pE,pN,esp_revenue,nsp_revenue,joint_revenue,eps,social_cost,centralized_success
0,0,-0.9999999998,-0.4,-1.4,92.12121212,313.307683,1
0.06060606061,0,5.06060606,-0.4,4.66060606,80.54593797,319.3682852,1
0.1212121212,0,11.12121212,-0.4,10.72121212,82.42424242,327.0057711,1
0.1818181818,0,17.18181818,-0.4,16.78181818,80,334.2320928,1
0.2424242424,0,21.06266415,-0.4,20.66266415,77.57575758,338.2910647,1
0.303030303,0,25.98285291,-0.4,25.58285291,75.15151515,342.7485484,1
0.3636363636,0,24.36319369,-0.4,23.96319369,72.72727273,351.2759486,1
0.4242424242,0,24.82990457,-0.4,24.42990457,70.3030303,356.1290722,1
0.4848484848,0,30.42737399,-0.4,30.02737399,67.87878788,356.4910335,1
0.5454545455,0,31.34498766,-0.4,30.94498766,65.45454545,360.0537038,1
0.6060606061,0,30.09211185,-0.4,29.69211185,63.03030303,369.8073857,1
0.6666666667,0,34.77152123,-0.4,34.37152123,63.03030303,366.7937008,1
0.7272727273,0,32.837684,-0.4,32.437684,58.66201177,371.8603217,1
0.7878787879,0,34.44302288,-0.4,34.04302288,57.59982809,378.3853537,1
0.8484848485,0,39.36097723,-0.4,38.96097723,56.51680945,375.8413941,1
0.9090909091,0,36.81619135,-0.4,36.41619135,55.75757576,379.720306,1
0.9696969697,0,38.0499331,-0.4,37.6499331,53.13647203,382.1619629,1
1.03030303,0,35.62224475,-0.4,35.22224475,50.56211719,385.5092518,1
1.090909091,0,36.67498692,-0.4,36.27498692,49.43692233,387.5949674,1
1.151515152,0,37.69848123,-0.4,37.29848123,48.30024276,389.6235074,1
1.212121212,0,38.69454353,-0.4,38.29454353,48.29810341,391.599331,1
1.272727273,0,39.66497945,-0.4,39.26497945,48.2985229,393.5263464,1
1.333333333,0,40.61329483,-0.4,40.21329483,47.12622156,395.4080008,1
1.393939394,0,41.5398683,-0.4,41.1398683,47.12600034,397.2473549,1
1.454545455,0,42.44531199,-0.4,42.04531199,45.92308529,399.0471392,1
1.515151515,0,43.33252916,-0.4,42.93252916,45.92237994,400.8098021,1
1.575757576,0,44.20330108,-0.4,43.80330108,43.63636364,402.5375508,1
1.636363636,0,38.75298336,-0.4,38.35298336,44.75939551,407.1647466,1
1.696969697,0,39.47338896,-0.4,39.07338896,41.21212121,408.5957343,1
1.757575758,0,40.18511538,-0.4,39.78511538,41.21212121,410.0013928,1
1.818181818,0,40.87506616,-0.4,40.47506616,39.45290144,411.3830099,1
1.878787879,0,48.31793484,-0.4,47.91793484,39.4547622,410.7164769,1
1.939393939,0,42.41079137,-0.4,42.01079137,36.50796152,421.0803451,1
2,0,42.89107248,-0.4,42.49107248,37.51555753,415.395126,1
2.060606061,0,43.54077297,-0.4,43.14077297,36.50802752,416.6916308,1
2.121212121,0,44.18350269,-0.4,43.78350269,37.49716212,417.9692059,1
2.181818182,0,44.81694675,-0.4,44.41694675,36.50498718,419.2286547,1
2.242424242,0,45.44206631,-0.4,45.04206631,35.4715623,420.4707306,1
2.303030303,0,46.05614229,-0.4,45.65614229,34.40058087,421.6961317,1
2.363636364,0,53.08570868,-0.4,52.68570868,34.40367038,423.0672817,1
2.424242424,0,55.91202348,-0.4,55.51202348,35.49775259,425.335403,1
2.484848485,0,56.6124406,-0.4,56.2124406,33.3040232,426.7303069,1
2.545454545,0,57.30280994,-0.4,56.90280994,34.40315595,428.1083007,1
2.606060606,0,49.01794819,-0.4,48.61794819,33.30075997,427.5945284,1
2.666666667,0,49.59020762,-0.4,49.19020762,33.30052744,428.7322787,1
2.727272727,0,41.18665406,-0.4,40.78665406,33.30066872,437.6372932,1
2.787878788,0,50.71106353,-0.4,50.31106353,30.97659942,430.9696332,1
2.848484848,0,51.26260874,-0.4,50.86260874,30.97500828,432.0700674,1
2.909090909,0,51.80871566,-0.4,51.40871566,30.97659101,433.158856,1
2.96969697,0,52.34933403,-0.4,51.94933403,29.09090909,434.2363608,1
3.03030303,0,52.88495546,-0.4,52.48495546,30.97666384,435.3029258,1
3.090909091,0,55.2133926,-0.4,54.8133926,29.09090909,439.8724734,1
3.151515152,0,53.93930724,-0.4,53.53930724,26.66666667,437.4045257,1
3.212121212,0,46.05946214,-0.4,45.65946214,29.09090909,440.7452288,1
3.272727273,0,46.76713925,-0.4,46.36713925,26.66666667,442.1557474,1
3.333333333,0,55.48383138,-0.4,55.08383138,29.09090909,440.4825453,1
3.393939394,0,41.96040266,-0.4,41.56040266,26.66666667,448.793329,1
3.454545455,0,56.48895288,-0.4,56.08895288,26.66666667,442.4881148,1
3.515151515,0,49.50645099,-0.4,49.10645099,22.48960436,449.1552849,1
3.575757576,0,38.56408853,-0.4,38.16408853,22.48930548,452.6715837,1
3.636363636,0,47.85396847,-0.4,47.45396847,24.24242424,448.628354,1
3.696969697,0,49.43246381,-0.4,49.03246381,23.58114072,447.4743083,1
3.757575758,0,37.84434976,-0.4,37.44434976,23.58106896,454.9281641,1
3.818181818,0,49.0423846,-0.4000000001,48.6423846,21.81818182,450.9983659,1
3.878787879,0,50.64119114,-0.4,50.24119114,21.81818182,449.8828137,1
3.939393939,0,53.07155873,-0.4,52.67155873,21.81818182,453.6630883,1
4,0,42.35267281,-0.4,41.95267281,19.39393939,453.8029086,1
4.060606061,0,50.58244933,-0.4,50.18244933,26.66666667,454.0722626,1
4.121212121,0,54.28806949,-0.4,53.88806949,19.39393939,456.0910631,1
4.181818182,0,54.6878411,-0.4,54.2878411,19.39393939,456.8884402,1
4.242424242,0,55.08447689,-0.4,54.68447689,16.96969697,457.6800597,1
4.303030303,0,55.47828018,-0.4,55.07828018,16.96969697,458.4660448,1
4.363636364,0,55.86960507,-0.4,55.46960507,16.96969697,459.246514,1
4.424242424,0,56.25812782,-0.4,55.85812782,15.70207079,460.0215818,1
4.484848485,0,56.64404754,-0.4,56.24404754,14.54545455,460.7913589,1
4.545454545,0,57.02702706,-0.4,56.62702706,14.54545455,461.5559521,1
4.606060606,0,55.18224037,-0.4,54.78224037,14.54545455,462.2309527,1
4.666666667,0,45.03385479,-0.4,44.63385479,12.63997718,462.9144976,1
4.727272727,0,45.32385191,-0.4,44.92385191,12.63994335,463.4987158,1
4.787878788,0,45.61721956,-0.4,45.21721956,12.12121212,464.0791999,1
4.848484848,0,45.90634077,-0.4,45.50634077,12.12121212,464.656022,1
4.909090909,0,46.19344234,-0.4,45.79344234,11.51027224,465.2292501,1
4.96969697,0,47.2052182,-0.4,46.8052182,11.51025162,465.5311698,1
5.03030303,0,47.49426532,-0.4,47.09426532,11.51030225,466.1062543,1
5.090909091,0,36.79801577,-0.4,36.39801577,20.50479418,466.6623019,1
5.151515152,0,37.01718892,-0.4,36.61718892,20.28562103,467.0999377,1
5.212121212,0,37.23522213,-0.4,36.83522213,20.06758782,467.5350068,1
5.272727273,0,37.45141748,-0.4,37.05141748,19.85139246,467.9675537,1
5.333333333,0,37.66741145,-0.4,37.26741145,19.6353985,468.3976216,1
5.393939394,0,37.88161307,-0.4,37.48161307,19.42119688,468.8252529,1
5.454545455,0,38.09460807,-0.4,37.69460807,19.20820187,469.2504884,1
5.515151515,0,38.30633589,-0.4,37.90633589,18.99647405,469.673368,1
5.575757576,0,38.51709071,-0.4,38.11709071,18.78571923,470.0939304,1
5.636363636,0,36.29195954,-0.4,35.89195954,21.0108504,468.7386175,1
5.696969697,0,36.4868332,-0.4,36.0868332,20.81597675,469.128502,1
5.757575758,0,36.68133372,-0.4,36.28133372,20.62147623,469.516318,1
