step,pE,pN,nearest_grid_pE,nearest_grid_pN,nearest_grid_eps,nearest_grid_bo_online_real_gap
0,0.5033557047,0.5033557047,0.5033557047,0.5033557047,164.2057909,164.2057909
1,7.046979866,11.67785235,7.046979866,11.67785235,51.4026748,51.4026748
2,7.046979866,11.67785235,7.046979866,11.67785235,51.4026748,51.4026748
3,7.55033557,11.27516779,7.55033557,11.27516779,47.80420788,47.80420788
4,7.953020134,11.17449664,7.953020134,11.17449664,45.89932687,45.89932687
5,8.55704698,11.27516779,8.55704698,11.27516779,41.59158506,41.59158506
6,8.55704698,11.27516779,8.55704698,11.27516779,41.59158506,41.59158506
7,8.55704698,11.27516779,8.55704698,11.27516779,41.59158506,41.59158506
8,8.758389262,11.77852349,8.758389262,11.77852349,38.46046478,38.46046478
9,8.758389262,11.77852349,8.758389262,11.77852349,38.46046478,38.46046478
10,8.758389262,11.77852349,8.758389262,11.77852349,38.46046478,38.46046478
11,8.758389262,11.77852349,8.758389262,11.77852349,38.46046478,38.46046478
12,8.758389262,11.77852349,8.758389262,11.77852349,38.46046478,38.46046478
13,8.758389262,11.77852349,8.758389262,11.77852349,38.46046478,38.46046478
14,8.758389262,11.77852349,8.758389262,11.77852349,38.46046478,38.46046478
15,9.463087248,12.08053691,9.463087248,12.08053691,36.79514996,36.79514996
16,9.463087248,12.08053691,9.463087248,12.08053691,36.79514996,36.79514996
17,9.463087248,12.08053691,9.463087248,12.08053691,36.79514996,36.79514996
18,9.463087248,12.08053691,9.463087248,12.08053691,36.79514996,36.79514996
19,9.865771812,12.38255034,9.865771812,12.38255034,35.05082943,35.05082943
20,9.463087248,12.68456376,9.463087248,12.68456376,34.545267,34.545267
21,9.463087248,12.68456376,9.463087248,12.68456376,34.545267,34.545267
22,9.463087248,12.68456376,9.463087248,12.68456376,34.545267,34.545267
23,9.463087248,12.68456376,9.463087248,12.68456376,34.545267,34.545267
24,9.463087248,12.68456376,9.463087248,12.68456376,34.545267,34.545267
25,9.463087248,12.68456376,9.463087248,12.68456376,34.545267,34.545267
26,9.463087248,12.68456376,9.463087248,12.68456376,34.545267,34.545267
27,9.463087248,12.68456376,9.463087248,12.68456376,34.545267,34.545267
28,9.463087248,12.68456376,9.463087248,12.68456376,34.545267,34.545267
29,9.463087248,12.68456376,9.463087248,12.68456376,34.545267,34.545267
30,11.57718121,12.7852349,11.57718121,12.7852349,33.21506774,33.21506774
31,11.57718121,12.7852349,11.57718121,12.7852349,33.21506774,33.21506774
32,11.57718121,12.7852349,11.57718121,12.7852349,33.21506774,33.21506774
33,11.0738255,13.48993289,11.0738255,13.48993289,29.19953194,29.19953194
34,11.0738255,13.48993289,11.0738255,13.48993289,29.19953194,29.19953194
35,11.47651007,13.79194631,11.47651007,13.79194631,26.96865682,26.96865682
36,11.47651007,13.79194631,11.47651007,13.79194631,26.96865682,26.96865682
37,11.27516779,14.29530201,11.27516779,14.29530201,25.34899445,25.34899445
38,11.27516779,14.29530201,11.27516779,14.29530201,25.34899445,25.34899445
39,11.27516779,14.29530201,11.27516779,14.29530201,25.34899445,25.34899445
40,11.27516779,14.29530201,11.27516779,14.29530201,25.34899445,25.34899445
