step,pE,pN,nearest_grid_pE,nearest_grid_pN,nearest_grid_eps,nearest_grid_bo_real_gap
0,0.5033557047,0.5033557047,0.5033557047,0.5033557047,164.2057909,164.2057909
1,2.718120805,10.46979866,2.718120805,10.46979866,80.02168973,80.02168973
2,2.718120805,10.46979866,2.718120805,10.46979866,80.02168973,80.02168973
3,9.66442953,13.79194631,9.66442953,13.79194631,33.7142577,33.7142577
4,9.66442953,13.79194631,9.66442953,13.79194631,33.7142577,33.7142577
5,9.66442953,13.79194631,9.66442953,13.79194631,33.7142577,33.7142577
6,9.66442953,13.79194631,9.66442953,13.79194631,33.7142577,33.7142577
7,9.66442953,13.79194631,9.66442953,13.79194631,33.7142577,33.7142577
8,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,19.93501017
9,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,19.93501017
10,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,19.93501017
11,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,19.93501017
12,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,19.93501017
13,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,19.93501017
14,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,19.93501017
15,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,19.93501017
16,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,19.93501017
17,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,19.93501017
18,2.818791946,3.422818792,2.818791946,3.422818792,9.679870304,9.679870304
19,2.818791946,3.422818792,2.818791946,3.422818792,9.679870304,9.679870304
20,2.718120805,2.919463087,2.718120805,2.919463087,5.514647081,5.514647081
21,2.718120805,2.919463087,2.718120805,2.919463087,5.514647081,5.514647081
22,3.120805369,2.617449664,3.120805369,2.617449664,0,0
23,3.120805369,2.617449664,3.120805369,2.617449664,0,0
24,3.120805369,2.617449664,3.120805369,2.617449664,0,0
25,3.120805369,2.617449664,3.120805369,2.617449664,0,0
26,3.120805369,2.617449664,3.120805369,2.617449664,0,0
27,3.120805369,2.617449664,3.120805369,2.617449664,0,0
28,3.120805369,2.617449664,3.120805369,2.617449664,0,0
29,3.120805369,2.617449664,3.120805369,2.617449664,0,0
30,3.120805369,2.617449664,3.120805369,2.617449664,0,0
31,3.120805369,2.617449664,3.120805369,2.617449664,0,0
32,3.120805369,2.617449664,3.120805369,2.617449664,0,0
33,3.120805369,2.617449664,3.120805369,2.617449664,0,0
34,3.120805369,2.617449664,3.120805369,2.617449664,0,0
35,3.120805369,2.617449664,3.120805369,2.617449664,0,0
36,3.120805369,2.617449664,3.120805369,2.617449664,0,0
37,3.120805369,2.617449664,3.120805369,2.617449664,0,0
38,3.120805369,2.617449664,3.120805369,2.617449664,0,0
39,3.120805369,2.617449664,3.120805369,2.617449664,0,0
40,3.120805369,2.617449664,3.120805369,2.617449664,0,0
41,3.120805369,2.617449664,3.120805369,2.617449664,0,0
42,3.120805369,2.617449664,3.120805369,2.617449664,0,0
43,3.120805369,2.617449664,3.120805369,2.617449664,0,0
44,3.120805369,2.617449664,3.120805369,2.617449664,0,0
45,3.120805369,2.617449664,3.120805369,2.617449664,0,0
46,3.120805369,2.617449664,3.120805369,2.617449664,0,0
47,3.120805369,2.617449664,3.120805369,2.617449664,0,0
48,3.120805369,2.617449664,3.120805369,2.617449664,0,0
49,3.120805369,2.617449664,3.120805369,2.617449664,0,0
50,3.120805369,2.617449664,3.120805369,2.617449664,0,0
51,3.120805369,2.617449664,3.120805369,2.617449664,0,0
