provider,point_group,boundary_price,pE,pN,candidate_set_size,candidate_set
E,unique,1.07112425509,1.07112425509,0.5,18,6;11;13;15;16;31;38;45;48;51;64;65;67;70;77;81;90;97
E,unique,0.92110889954,0.92110889954,0.5,19,6;11;12;13;15;16;31;38;45;48;51;64;65;67;70;77;81;90;97
E,unique,1.24351368808,1.24351368808,0.5,20,6;11;12;13;15;16;25;31;38;45;48;51;64;65;67;70;77;81;90;97
E,unique,1.14970758647,1.14970758647,0.5,21,6;11;12;13;15;16;25;31;38;45;46;48;51;64;65;67;70;77;81;90;97
E,unique,1.27151026221,1.27151026221,0.5,22,5;6;11;12;13;15;16;25;31;38;45;46;48;51;64;65;67;70;77;81;90;97
E,unique,1.40922899332,1.40922899332,0.5,23,5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;64;65;67;70;77;81;90;97
E,unique,1.49530666676,1.49530666676,0.5,24,5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;64;65;67;70;77;81;90;93;97
E,unique,2.59220335782,2.59220335782,0.5,25,5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;64;65;67;70;75;77;81;90;93;97
E,unique,2.35936897395,2.35936897395,0.5,26,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;64;65;67;70;75;77;81;90;93;97
E,unique,2.1091998131,2.1091998131,0.5,27,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;55;64;65;67;70;75;77;81;90;93;97
E,unique,1.91009043969,1.91009043969,0.5,28,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;55;64;65;67;70;75;77;81;90;93;96;97
E,unique,3.27254663566,3.27254663566,0.5,29,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;55;64;65;67;70;75;77;81;82;90;93;96;97
E,unique,2.96769966678,2.96769966678,0.5,30,1;5;6;10;11;12;13;15;16;25;31;38;45;46;48;51;55;64;65;67;70;75;77;81;82;90;93;95;96;97
E,unique,2.6286288231,2.6286288231,0.5,31,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;51;55;64;65;67;70;75;77;81;82;90;93;95;96;97
E,unique,3.98514141845,3.98514141845,0.5,32,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;51;55;64;65;67;70;74;75;77;81;82;90;93;95;96;97
E,unique,3.67386447486,3.67386447486,0.5,33,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;51;55;64;65;67;70;74;75;77;81;82;89;90;93;95;96;97
E,unique,3.404975823,3.404975823,0.5,34,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;51;55;64;65;67;70;74;75;77;81;82;87;89;90;93;95;96;97
E,unique,3.11747284016,3.11747284016,0.5,35,1;5;6;10;11;12;13;15;16;25;31;36;38;45;46;48;51;55;64;65;67;70;74;75;77;81;82;87;89;90;93;95;96;97;99
E,unique,1.7037207796,1.7037207796,0.5,17,6;11;13;15;16;31;38;45;48;51;64;65;67;70;77;90;97
E,unique,0.940342902564,0.940342902564,0.5,18,6;11;12;13;15;16;31;38;45;48;51;64;65;67;70;77;90;97
E,unique,1.07655401689,1.07655401689,0.5,19,6;11;12;13;15;16;25;31;38;45;48;51;64;65;67;70;77;90;97
