provider,pE,pN
E,0.54052118993,0.5
E,0.568137068049,0.5
E,0.607736781718,0.5
E,0.632303526504,0.5
E,0.671789222716,0.5
E,0.682980437259,0.5
E,0.683540739173,0.5
E,0.688825972263,0.5
E,0.6913813128,0.5
E,0.701506706871,0.5
E,0.713746816973,0.5
E,0.724931207922,0.5
E,0.753995717783,0.5
E,0.764814858709,0.5
E,0.770648962787,0.5
E,0.78333803215,0.5
E,0.796696015728,0.5
E,0.796860200855,0.5
E,0.797249660415,0.5
E,0.820096025494,0.5
E,0.823899381258,0.5
E,0.82578243071,0.5
E,0.836510727484,0.5
E,0.86761043104,0.5
E,0.874059923926,0.5
E,0.878660367825,0.5
E,0.883212247975,0.5
E,0.890352081083,0.5
E,0.891931806688,0.5
E,0.921061165534,0.5
E,0.92110889954,0.5
E,0.922307477926,0.5
E,0.940342902564,0.5
E,0.940683436348,0.5
E,0.940898393692,0.5
E,0.966323938456,0.5
E,0.98092465249,0.5
E,0.982668550338,0.5
E,0.986348691316,0.5
E,1.025668187243,0.5
E,1.031519325046,0.5
E,1.054844136364,0.5
E,1.071124255089,0.5
E,1.073203013596,0.5
E,1.076554016889,0.5
E,1.07956243961,0.5
E,1.087277256248,0.5
E,1.113452492295,0.5
E,1.116435154558,0.5
E,1.143409876941,0.5
E,1.149707586468,0.5
E,1.151030053005,0.5
E,1.161744225719,0.5
E,1.16563795736,0.5
E,1.169936386807,0.5
E,1.178220256014,0.5
E,1.178811583735,0.5
E,1.183336892116,0.5
E,1.188883976203,0.5
E,1.19449206851,0.5
E,1.210755969791,0.5
E,1.221552060185,0.5
E,1.222963916835,0.5
E,1.223940199253,0.5
E,1.238467249304,0.5
E,1.243513688077,0.5
E,1.247859673662,0.5
E,1.249582741429,0.5
E,1.253069729002,0.5
E,1.25770976812,0.5
E,1.27151026221,0.5
E,1.281714435151,0.5
E,1.286532310153,0.5
E,1.297702825664,0.5
E,1.299106541706,0.5
E,1.319895570311,0.5
E,1.324123829766,0.5
E,1.332148333895,0.5
E,1.338432372598,0.5
E,1.341541768042,0.5
E,1.341900152005,0.5
E,1.346188659699,0.5
E,1.34629001707,0.5
E,1.361778635233,0.5
E,1.372381372136,0.5
E,1.374766561248,0.5
E,1.379750329595,0.5
E,1.392645460174,0.5
E,1.404973743468,0.5
E,1.409228993323,0.5
E,1.450800223792,0.5
E,1.456423862683,0.5
E,1.460322833577,0.5
E,1.467655077996,0.5
E,1.472160956691,0.5
E,1.481440914928,0.5
E,1.48306860502,0.5
E,1.492696872182,0.5
E,1.49312172321,0.5
E,1.495306666765,0.5
E,1.500692270905,0.5
E,1.501528903612,0.5
E,1.503248448353,0.5
E,1.509818508803,0.5
E,1.512429967686,0.5
E,1.512871002583,0.5
E,1.515137605305,0.5
E,1.518918480282,0.5
E,1.538018876492,0.5
E,1.546729295379,0.5
E,1.550940956627,0.5
E,1.558947905156,0.5
E,1.56440675227,0.5
E,1.574792808593,0.5
E,1.586884466912,0.5
E,1.588920737107,0.5
E,1.593149794249,0.5
E,1.596408592534,0.5
E,1.600680218105,0.5
E,1.610169710083,0.5
E,1.61830196272,0.5
E,1.628251914458,0.5
E,1.630071416446,0.5
E,1.63734768265,0.5
E,1.647260048171,0.5
E,1.649362185609,0.5
E,1.669928220353,0.5
E,1.684572107914,0.5
E,1.693017123387,0.5
