step,pE,pN,nearest_grid_pE,nearest_grid_pN,nearest_grid_eps
0,0.5,0.5,0.5033557047,0.5033557047,164.2057909
1,2.109292962,0.5,2.11409396,0.5033557047,109.4976294
2,2.109292962,1.176309396,2.11409396,1.208053691,81.30970996
3,3.316262683,1.176309396,3.322147651,1.208053691,50.01823891
4,3.316262683,1.498827996,3.322147651,1.510067114,37.937702
5,3.936211817,1.498827996,3.926174497,1.510067114,26.56306262
6,3.936211817,1.671042309,3.926174497,1.711409396,18.50937134
7,3.937637309,1.671042309,3.926174497,1.711409396,18.50937134
8,3.937637309,1.79992564,3.926174497,1.812080537,14.48252571
9,3.938706429,1.79992564,3.926174497,1.812080537,14.48252571
10,3.938706429,1.896380164,3.926174497,1.912751678,10.45568007
