iteration,pE,pN
0,1.1044232628713084,4.18810366411332
1,1.1044232628713084,4.18810366411332
2,1.1044232628713084,4.18810366411332
3,1.1044232628713084,4.18810366411332
4,1.1044232628713084,4.18810366411332
5,1.1044232628713084,4.18810366411332
6,1.1044232628713084,4.18810366411332
7,1.1044232628713084,4.18810366411332
8,1.1044232628713084,4.18810366411332
9,1.1044232628713084,4.18810366411332
10,1.1044232628713084,4.18810366411332
11,1.1044232628713084,4.18810366411332
12,1.1044232628713084,4.18810366411332
13,1.1044232628713084,4.18810366411332
14,1.1044232628713084,4.18810366411332
15,1.1044232628713084,4.18810366411332
16,1.1044232628713084,4.18810366411332
17,1.1044232628713084,4.18810366411332
18,1.1044232628713084,4.18810366411332
19,1.1044232628713084,4.18810366411332
