pE,pN,combined_gap
0.05,0.05,171.4627755
0.1338983051,0.05,171.4627755
0.2177966102,0.05,171.4627755
0.3016949153,0.05,171.4627755
0.3855932203,0.05,171.4627755
0.4694915254,0.05,171.4627755
0.5533898305,0.05,171.4627755
0.6372881356,0.05,171.3387944
0.7211864407,0.05,166.60618970000002
0.8050847458,0.05,161.8607254
0.8889830508,0.05,157.6653244
0.9728813559,0.05,153.9271134
1.056779661,0.05,149.9860511
1.140677966,0.05,146.5614579
1.224576271,0.05,143.6198591
1.308474576,0.05,140.682763
1.392372881,0.05,137.634993
1.476271186,0.05,135.2300856
1.560169492,0.05,131.1507678
1.644067797,0.05,127.47921640000001
1.727966102,0.05,123.8929549
1.811864407,0.05,121.416302
1.895762712,0.05,118.7492991
1.979661017,0.05,116.7564766
2.063559322,0.05,114.43809300000001
2.147457627,0.05,111.90634990000001
2.231355932,0.05,108.95152800000001
2.315254237,0.05,105.8377469
2.399152542,0.05,104.0778726
2.483050847,0.05,102.12033720000001
2.566949153,0.05,100.0561134
2.650847458,0.05,98.01157501
2.734745763,0.05,95.97749471
2.818644068,0.05,95.12798190000001
2.902542373,0.05,93.13247933000001
2.986440678,0.05,92.09939675000001
3.070338983,0.05,90.7958435
3.154237288,0.05,88.20993369
3.238135593,0.05,87.22980249000001
3.322033898,0.05,84.76374047
3.405932203,0.05,82.43484874
3.489830508,0.05,81.68807718000001
3.573728814,0.05,78.86235415
3.657627119,0.05,77.84682864000001
3.741525424,0.05,75.06042203000001
3.825423729,0.05,74.727832
3.909322034,0.05,72.08552073
3.993220339,0.05,71.00860634
4.077118644,0.05,69.72460092
4.161016949,0.05,69.00693668000001
4.244915254,0.05,67.68586997
4.328813559,0.05,66.98373551
4.412711864,0.05,65.02229902
4.496610169,0.05,63.85761208
4.580508475,0.05,62.27310454
4.66440678,0.05,61.53956031
4.748305085,0.05,61.151561619999995
4.83220339,0.05,59.39394434
4.916101695,0.05,58.7091864
5.0,0.05,57.39638632
0.05,0.1338983051,168.10684329699998
0.1338983051,0.1338983051,168.10684329699998
0.2177966102,0.1338983051,168.10684329699998
0.3016949153,0.1338983051,168.10684329699998
0.3855932203,0.1338983051,168.10684329699998
0.4694915254,0.1338983051,168.10684329699998
0.5533898305,0.1338983051,168.10684329699998
0.6372881356,0.1338983051,167.982862197
0.7211864407,0.1338983051,163.250257497
0.8050847458,0.1338983051,158.504793197
0.8889830508,0.1338983051,154.309392197
0.9728813559,0.1338983051,150.571181197
1.056779661,0.1338983051,146.630118897
1.140677966,0.1338983051,143.20552569699998
1.224576271,0.1338983051,140.263926897
1.308474576,0.1338983051,137.32683079699999
1.392372881,0.1338983051,134.279060797
1.476271186,0.1338983051,131.874153397
1.560169492,0.1338983051,127.794835597
