trial,seed,n_users,provider,pE,pN,hit,candidate_count,exact_target,approx_target
0,20266004,6,E,2.212621087901068,1.908743819498055,True,16,"(0, 1, 2, 3, 4, 5)","(1, 2, 3, 4, 5)"
0,20266004,6,N,2.212621087901068,1.908743819498055,True,16,"(0, 1, 2, 3, 4, 5)","(1, 2, 3, 5)"
1,20266005,6,E,0.6745008514648274,1.43275900254874,True,12,"(0, 1, 2, 3, 4, 5)","(3, 4, 5)"
1,20266005,6,N,0.6745008514648274,1.43275900254874,True,12,"(0, 1, 2, 3, 4, 5)","(0, 1, 2, 3, 4, 5)"
2,20266006,6,E,1.2835475668690148,1.20484542123848,True,15,"(0, 1, 2, 3, 4, 5)","(1, 2, 3, 5)"
2,20266006,6,N,1.2835475668690148,1.20484542123848,True,15,"(0, 1, 2, 3, 4, 5)","(1, 2, 5)"
3,20266007,6,E,2.4462652813496653,2.8745131527632686,True,16,"(0, 1, 2, 3, 4, 5)","(1, 3, 4)"
3,20266007,6,N,2.4462652813496653,2.8745131527632686,True,16,"(0, 1, 2, 3, 4, 5)","(1, 3, 4)"
4,20266008,6,E,1.7022696311057532,1.8775271507046436,True,12,"(0, 1, 2, 3, 4, 5)","(0, 2, 3, 4, 5)"
4,20266008,6,N,1.7022696311057532,1.8775271507046436,True,12,"(0, 1, 2, 3, 4, 5)","(0, 2, 3, 4, 5)"
5,20266009,6,E,2.7983479557451623,2.4875731359767497,True,7,"(0, 1, 2, 3, 4, 5)","(0, 1, 2, 3, 4, 5)"
5,20266009,6,N,2.7983479557451623,2.4875731359767497,True,7,"(0, 1, 2, 3, 4, 5)","(0, 1, 2, 3, 4, 5)"
6,20266010,6,E,2.2620106892631577,2.4534184790911286,True,12,"(0, 1, 2, 3, 4, 5)","(0, 1, 2, 3, 5)"
6,20266010,6,N,2.2620106892631577,2.4534184790911286,True,12,"(0, 1, 2, 3, 4, 5)","(0, 1, 2, 3, 4, 5)"
7,20266011,6,E,1.4664621194736944,1.656233355035421,True,12,"(0, 1, 2, 3, 4, 5)","(1, 2, 3, 4, 5)"
7,20266011,6,N,1.4664621194736944,1.656233355035421,True,12,"(0, 1, 2, 3, 4, 5)","(0, 1, 2, 3, 4, 5)"
8,20266012,6,E,0.8869569188754365,1.0879194247810913,True,12,"(0, 1, 2, 3, 4, 5)","(0, 2, 3, 4, 5)"
8,20266012,6,N,0.8869569188754365,1.0879194247810913,True,12,"(0, 1, 2, 3, 4, 5)","(0, 1, 2, 3, 4, 5)"
9,20266013,6,E,1.7832367400307831,2.0175575452826178,True,7,"(0, 1, 2, 3, 4, 5)","(3, 4)"
9,20266013,6,N,1.7832367400307831,2.0175575452826178,True,7,"(0, 1, 2, 3, 4, 5)","(0, 1, 2, 3, 4, 5)"
0,20268004,8,E,0.7150011962962273,2.0490005553427824,True,24,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 2, 3, 4, 6)"
0,20268004,8,N,0.7150011962962273,2.0490005553427824,True,24,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 1, 2, 3, 4, 5, 6, 7)"
1,20268005,8,E,2.5228778085820496,2.488549931621991,True,21,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 3, 4, 5, 6, 7)"
1,20268005,8,N,2.5228778085820496,2.488549931621991,True,21,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 3, 4, 5, 6, 7)"
2,20268006,8,E,2.3776246212610723,0.5918407803600751,True,16,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 3, 4, 5)"
2,20268006,8,N,2.3776246212610723,0.5918407803600751,False,16,"(0, 1, 2, 5)","(0, 1, 2, 3, 4, 5, 6, 7)"
3,20268007,8,E,2.220875826147946,2.7651634127155944,True,21,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 2, 3, 4, 5, 6)"
3,20268007,8,N,2.220875826147946,2.7651634127155944,True,21,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 1, 2, 3, 4, 5, 6, 7)"
4,20268008,8,E,1.3189690001267294,2.3245050600621635,True,9,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 1, 2, 3, 4, 5, 6, 7)"
4,20268008,8,N,1.3189690001267294,2.3245050600621635,True,9,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 1, 2, 3, 4, 5, 6, 7)"
5,20268009,8,E,0.6172055953792339,2.5918662570119504,True,24,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 1, 2, 3, 4, 5, 6, 7)"
5,20268009,8,N,0.6172055953792339,2.5918662570119504,True,24,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 1, 2, 3, 4, 5, 6, 7)"
6,20268010,8,E,0.8610862298046735,1.5702768552882016,True,24,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 1, 2, 3, 4, 5, 6, 7)"
6,20268010,8,N,0.8610862298046735,1.5702768552882016,True,24,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 1, 2, 3, 4, 5, 6, 7)"
7,20268011,8,E,1.7980821480157425,2.25370578113426,True,24,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 2, 7)"
7,20268011,8,N,1.7980821480157425,2.25370578113426,True,24,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 1, 2, 3, 4, 5, 6, 7)"
8,20268012,8,E,2.90967909941753,0.7192200152624496,True,25,"(0, 1, 2, 3, 4, 5, 6, 7)","(0, 1, 3, 4, 5, 6)"
