iter,pE,pN,epsilon
0,0.2727461452667157,2.021098574612216,552.3641516951418
1,0.27307594831880416,2.0218600335502774,552.3560471334852
2,0.27307727068053017,2.021863086657395,552.3560146409484
3,0.2730773193192224,2.021863198955819,585.7661892825865
4,0.6556259955558675,2.5529294066842527,551.7548736001605
5,0.6576062306422934,2.5555874291861285,551.5418241856236
6,0.6576144689060824,2.5555984872044935,599.6711892717186
7,1.0556025998595382,3.5889178803371506,558.2547501644793
8,1.0575679749564895,3.59398961797364,558.0713162031379
9,1.057576033392182,3.5940104131219446,558.0705644272704
10,1.0575760797927267,3.594010532860595,583.0212981974441
11,1.6047032694463144,4.9977162096157395,581.9929169818538
