pE,pN,esp_revenue,nsp_revenue,joint_revenue,eps
0,0,-1,-0.4,-1.4,184.3400191
0.1006711409,0,9.067114094,-0.4,8.667114094,184.3400191
0.2013422819,0,19.13422819,-0.4,18.73422819,184.3400191
0.3020134228,0,29.20134228,-0.4,28.80134228,184.3400191
0.4026845638,0,39.26845638,-0.4,38.86845638,184.3400191
0.5033557047,0,49.33557047,-0.4,48.93557047,184.3400191
0.6040268456,0,59.40268456,-0.4,59.00268456,184.3400191
0.7046979866,0,69.46979866,-0.4,69.06979866,184.3400191
0.8053691275,0,79.53691275,-0.4,79.13691275,182.4058617
0.9060402685,0,85.59471849,-0.4,85.19471849,180.4509286
1.006711409,0,90.32544811,-0.4,89.92544811,176.4759601
1.10738255,0,94.82053529,-0.4,94.42053529,173.1543624
1.208053691,0,99.11202596,-0.4,98.71202596,165.1006711
1.308724832,0,103.2253023,-0.4,102.8253023,158.9051699
1.409395973,0,102.9744397,-0.4,102.5744397,156.9977806
1.510067114,0,106.63945,-0.4,106.23945,153.1115499
1.610738255,0,110.1826386,-0.4,109.7826386,151.1308663
1.711409396,0,113.6154,-0.4,113.2154,144.966443
1.812080537,0,116.9474561,-0.4,116.5474561,140.9395973
1.912751678,0,114.5190974,-0.4,114.1190974,137.4752824
2.013422819,0,115.1123378,-0.4,114.7123378,132.885906
2.11409396,0,117.9830824,-0.4,117.5830824,129.6318576
2.214765101,0,114.6820806,-0.4,114.2820806,126.4247571
2.315436242,0,117.2826515,-0.4,116.8826515,124.7902038
2.416107383,0,119.8268003,-0.4,119.4268003,121.4549051
2.516778523,0,122.3180472,-0.4,121.9180472,119.7523101
2.617449664,0,124.7595608,-0.4,124.3595608,116.2720943
2.718120805,0,125.9959852,-0.4,125.5959852,114.4921853
2.818791946,0,121.4325359,-0.4,121.0325359,110.8463512
2.919463087,0,123.597123,-0.4,123.197123,108.9775382
3.020134228,0,125.7244498,-0.4,125.3244498,107.0759928
3.120805369,0,127.8163767,-0.4,127.4163767,103.1674067
3.22147651,0,129.874614,-0.4,129.474614,100.6711409
3.322147651,0,131.9007388,-0.4,131.5007388,98.34038656
3.422818792,0,126.3446521,-0.4,125.9446521,98.34038656
