n_users,trial,provider,estimator,pE,pN,approx_gain,exact_gain,abs_error,rel_error,family_size,family_hit,exact_best_set,approx_best_set
8,0,E,boundary,0.016325395696769072,0.022646076120338622,35.59306605689845,0.0,35.59306605689845,3559306605.689845,25,1,"(1, 3, 4, 5)","(4, 6, 7)"
8,0,E,refined_price,0.016325395696769072,0.022646076120338622,20.89692159313433,0.0,20.89692159313433,2089692159.313433,25,1,"(1, 3, 4, 5)","(4, 6, 7)"
8,0,N,boundary,0.016325395696769072,0.022646076120338622,90.22532070124166,0.0,90.22532070124166,9022532070.124165,25,1,"(1, 3, 4, 5)","(0, 1, 2, 3, 4, 5, 6, 7)"
8,0,N,refined_price,0.016325395696769072,0.022646076120338622,88.82251258594181,0.0,88.82251258594181,8882251258.594181,25,1,"(1, 3, 4, 5)","(0, 1, 2, 3, 4, 5, 6, 7)"
8,0,E,boundary,0.027170563889083947,0.024123639614071036,34.50854923766696,2.220446049250313e-16,34.50854923766696,3450854923.766696,21,0,"(0, 1, 2, 7)","(4, 6, 7)"
8,0,E,refined_price,0.027170563889083947,0.024123639614071036,20.981156002704807,2.220446049250313e-16,20.981156002704807,2098115600.2704806,21,0,"(0, 1, 2, 7)","(0, 1, 2, 4, 5, 6, 7)"
8,0,N,boundary,0.027170563889083947,0.024123639614071036,90.16621816149237,0.0,90.16621816149237,9016621816.149237,21,1,"(0, 1, 2, 4, 5, 6)","(0, 1, 2, 3, 4, 5, 6, 7)"
8,0,N,refined_price,0.027170563889083947,0.024123639614071036,88.76101498307776,0.0,88.76101498307776,8876101498.307775,21,1,"(0, 1, 2, 4, 5, 6)","(0, 1, 2, 3, 4, 5, 6, 7)"
8,1,E,boundary,0.02421537350443547,0.010627171211153362,22.479001307745754,2.220446049250313e-16,22.479001307745754,2247900130.774575,25,0,"(0, 1, 2, 7)","(0, 1, 2, 3, 4, 5)"
8,1,E,refined_price,0.02421537350443547,0.010627171211153362,14.898080863963106,2.220446049250313e-16,14.898080863963106,1489808086.3963106,25,0,"(0, 1, 2, 7)","(0, 1, 2, 3, 5, 6, 7)"
8,1,N,boundary,0.02421537350443547,0.010627171211153362,89.20330801511341,0.0,89.20330801511341,8920330801.511341,25,1,"(0, 1, 6, 7)","(0, 1, 2, 3, 4, 5, 6, 7)"
