step,pE,pN,nearest_grid_pE,nearest_grid_pN,nearest_grid_eps,nearest_grid_objective
0,2.718120805,10.46979866,2.718120805,10.46979866,80.02168973,59.80653175
1,1.006711409,10.46979866,1.006711409,10.46979866,83.61813882,127.5086507
2,1.006711409,10.46979866,1.006711409,10.46979866,83.61813882,127.5086507
3,1.006711409,10.46979866,1.006711409,10.46979866,83.61813882,127.5086507
4,1.006711409,10.46979866,1.006711409,10.46979866,83.61813882,127.5086507
5,1.006711409,10.46979866,1.006711409,10.46979866,83.61813882,127.5086507
6,1.006711409,10.46979866,1.006711409,10.46979866,83.61813882,127.5086507
7,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,173.5669002
8,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,173.5669002
9,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,173.5669002
10,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,173.5669002
11,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,173.5669002
12,3.22147651,3.624161074,3.22147651,3.624161074,19.93501017,173.5669002
13,0.6040268456,3.322147651,0.6040268456,3.322147651,57.58058855,191.8885906
14,1.409395973,5.838926174,1.409395973,5.838926174,34.73476886,194.3724044
15,1.812080537,3.624161074,1.812080537,3.624161074,1.869750202,249.5189231
16,1.812080537,3.624161074,1.812080537,3.624161074,1.869750202,249.5189231
17,1.812080537,3.624161074,1.812080537,3.624161074,1.869750202,249.5189231
18,1.812080537,3.624161074,1.812080537,3.624161074,1.869750202,249.5189231
19,1.812080537,3.624161074,1.812080537,3.624161074,1.869750202,249.5189231
20,1.812080537,3.624161074,1.812080537,3.624161074,1.869750202,249.5189231
21,1.812080537,3.624161074,1.812080537,3.624161074,1.869750202,249.5189231
22,1.812080537,3.624161074,1.812080537,3.624161074,1.869750202,249.5189231
23,1.812080537,3.624161074,1.812080537,3.624161074,1.869750202,249.5189231
24,1.812080537,3.624161074,1.812080537,3.624161074,1.869750202,249.5189231
25,1.812080537,3.624161074,1.812080537,3.624161074,1.869750202,249.5189231
26,1.610738255,4.026845638,1.610738255,4.026845638,4.139090746,250.6888142
27,1.610738255,4.026845638,1.610738255,4.026845638,4.139090746,250.6888142
28,1.610738255,4.026845638,1.610738255,4.026845638,4.139090746,250.6888142
29,1.610738255,4.026845638,1.610738255,4.026845638,4.139090746,250.6888142
30,1.006711409,4.026845638,1.006711409,4.026845638,15.40213459,250.9992736
31,1.006711409,4.026845638,1.006711409,4.026845638,15.40213459,250.9992736
32,1.006711409,4.026845638,1.006711409,4.026845638,15.40213459,250.9992736
33,1.006711409,4.026845638,1.006711409,4.026845638,15.40213459,250.9992736
34,1.006711409,4.026845638,1.006711409,4.026845638,15.40213459,250.9992736
35,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
36,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
37,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
38,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
39,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
40,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
41,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
42,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
43,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
44,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
45,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
46,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
47,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
48,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
49,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
50,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
51,1.308724832,4.127516779,1.308724832,4.127516779,7.291133144,254.3455055
