trial,seed,n_users,v_algorithm2,v_optimal,v_empty,empirical_ratio,theorem2_bound,optimal_offloading_size
0,20268001,6,80.69783036792657,13185271.942414425,189.45164514933094,6.120300796249604e-06,2.034928878048447,3
1,20268002,6,92.48298702916713,123.31851738428544,164.79040494874175,0.7499521482323003,3.9096653972519584,4
2,20268003,6,99.36337661427659,113.12567984849255,134.00519753133668,0.8783450119137618,1.1428226311998395,2
3,20268004,6,92.37905000169994,114.78742194340532,134.08273945219,0.8047837335979757,1.6223903520629555,3
4,20268005,6,86.33476556414466,101.09189320308067,118.51048745961468,0.8540226404773048,1.2040535938397963,3
5,20268006,6,72.6613709393443,79.798086549933,144.72393810926994,0.9105653290806295,1.7014954529577766,3
6,20268007,6,80.58741145765023,80.67145390184498,102.74236691889007,0.9989582133440038,1.0,1
7,20268008,6,84.66881264460814,114.92073894857262,150.83043251795135,0.7367583381316204,2.1280059564068434,4
8,20268009,6,87.25512844359437,104.35309929780398,115.23680352183935,0.8361527259922081,1.0,1
9,20268010,6,84.30816963459473,104.30368732750108,121.76700656845733,0.8082951983267589,1.172510857519725,2
10,20268011,6,78.02618479301705,105.09451133653957,141.43196751002074,0.7424382472568639,1.5807885550478356,3
11,20268012,6,95.04190943917135,95.04190943928158,123.69971150208092,0.9999999999988402,1.3011058658437993,3
12,20268013,6,89.81095404083756,89.81095665883079,154.4392760858899,0.9999999708499572,9.871256788350431,5
13,20268014,6,81.28492498281688,99.03041786995138,111.40998524572363,0.8208076541650241,1.4076746662017656,3
14,20268015,6,87.2901723705751,104.70202800017464,144.08530399627648,0.8337008751199119,1.4466865324665725,3
15,20268016,6,85.92336596330871,94.31220222668017,136.83760990576005,0.9110524824432705,1.9095681339153976,3
16,20268017,6,96.72236440841934,116.4075720004735,167.83421693363084,0.8308940968893838,1.7778223000693127,4
17,20268018,6,70.33141910305793,78.57837666217165,102.24273598176497,0.8950480029058187,1.2445321053201348,2
18,20268019,6,101.51162423654142,109.46677619490882,135.0795833121187,0.927328160790969,1.134272849825154,2
19,20268020,6,76.99921014075179,80.79802367802057,113.39765998750592,0.9529838309856807,2.3826102899539308,3
0,20270001,8,143.84834606549586,179.02222149170086,294.3346743638766,0.8035222938631917,2.864269942149955,6
1,20270002,8,150.69617123038836,163.55756336978735,212.08678178431148,0.9213647362163212,1.3282743244406723,2
2,20270003,8,115.49340223796193,151.33185606673882,167.6642390466546,0.7631797113955189,1.0,1
3,20270004,8,134.06233980584418,145.094596764084,189.24166503047297,0.9239650737912889,1.4235981107272482,4
4,20270005,8,100.18840467597977,110.60408693735735,159.08461021046327,0.9058291375139086,4.501083562463836,5
5,20270006,8,122.0082622102064,143.58718004610552,181.035895971373,0.8497155677201114,1.2582120574122655,2
6,20270007,8,106.56506192200223,143.65671029779764,177.93261152166468,0.741803579527158,1.3158548851058505,3
7,20270008,8,118.71963009950687,166.01574788237167,169.01578135404566,0.7151106543436117,1.0,1
8,20270009,8,102.64202089472181,133.1234124277617,201.61893012863118,0.7710290701150682,3.477559015933352,5
9,20270010,8,121.46248751367987,126.12047075765946,182.01732363986855,0.9630671911070654,1.3948011843298345,3
10,20270011,8,123.1449992486188,156.8497777457108,194.68689313487823,0.7851142731503571,1.5564636683581607,3
11,20270012,8,132.84411524694488,138.84930522841427,163.4798169990258,0.9567503058687219,1.2966116090966515,3
12,20270013,8,114.72490677775023,114.72490678881896,168.63445988676727,0.9999999999035195,1.9591724835566642,4
13,20270014,8,113.73012906750435,128.04473549304706,139.25045732052965,0.8882062087877092,1.0,1
14,20270015,8,95.71959208919752,95.71959277204043,144.4193828584964,0.9999999928662159,1.8566615834123639,4
15,20270016,8,134.79382756564968,184.1072592885688,255.62211441767886,0.7321483579002961,2.231210239886851,4
16,20270017,8,148.80981961837176,174.3973931261003,212.37068718732144,0.8532800688756448,1.3275128713358844,3
17,20270018,8,126.62709338902896,127.0824995320986,178.59548702274242,0.9964164527393907,1.866086688365266,5
