trial,seed,n_users,iteration,offloading_size,social_cost
0,20311001,50,0,0,1238.2783763068937
0,20311001,50,1,1,1206.6236577110108
0,20311001,50,2,2,1175.0840979106188
0,20311001,50,3,3,1145.2951076872075
0,20311001,50,4,4,1122.9742977998621
0,20311001,50,5,5,1101.4384895476237
0,20311001,50,6,6,1082.647175947162
0,20311001,50,7,7,1071.3623477624506
0,20311001,50,8,8,1062.163586519769
0,20311001,50,9,9,1054.7814703508773
0,20311001,50,10,10,1051.093687875799
0,20311001,50,11,11,1048.7061678894431
0,20311001,50,12,12,1047.6523840645657
1,20311002,50,0,0,1268.5849875674726
1,20311002,50,1,1,1226.727291422591
1,20311002,50,2,2,1196.0894537940924
1,20311002,50,3,3,1168.2522784236664
1,20311002,50,4,4,1141.5852078327648
1,20311002,50,5,5,1115.6379835845323
1,20311002,50,6,6,1093.0470061240665
1,20311002,50,7,7,1073.4614417095122
1,20311002,50,8,8,1055.327370760511
1,20311002,50,9,9,1040.1500655446364
1,20311002,50,10,10,1029.3702603400952
1,20311002,50,11,11,1021.9476291895446
1,20311002,50,12,12,1017.0702023770842
1,20311002,50,13,13,1013.2826045341816
1,20311002,50,14,14,1010.4066767346424
1,20311002,50,15,15,1010.2210588580763
2,20311003,50,0,0,1195.4242572550947
2,20311003,50,1,1,1159.5823144618387
2,20311003,50,2,2,1129.0306469605
2,20311003,50,3,3,1099.3772497387847
2,20311003,50,4,4,1072.6335281199497
2,20311003,50,5,5,1046.5824743974945
2,20311003,50,6,6,1022.4269037089183
2,20311003,50,7,7,1002.9583645266265
2,20311003,50,8,8,984.6388795483199
2,20311003,50,9,9,973.4435705472806
2,20311003,50,10,10,963.5874434352224
2,20311003,50,11,11,954.8262441354848
2,20311003,50,12,12,950.4802071440915
2,20311003,50,13,13,948.502474844513
2,20311003,50,14,14,947.5508403346164
2,20311003,50,15,14,947.5508403346164
3,20311004,50,0,0,1092.5870377769193
3,20311004,50,1,1,1049.8620770916232
3,20311004,50,2,2,1011.1010533633214
3,20311004,50,3,3,981.3607017191356
3,20311004,50,4,4,951.8928090017511
3,20311004,50,5,5,924.7709251081122
3,20311004,50,6,6,902.9780886824503
3,20311004,50,7,7,882.1351587725266
3,20311004,50,8,8,863.8760618062013
3,20311004,50,9,9,848.4889205094419
3,20311004,50,10,10,835.5626614595609
3,20311004,50,11,11,823.6121936014548
3,20311004,50,12,12,813.3008908367499
3,20311004,50,13,13,804.576451046147
3,20311004,50,14,14,802.7721741643262
3,20311004,50,15,14,802.7721741643262
4,20311005,50,0,0,1203.2225213390843
4,20311005,50,1,1,1168.6098307836141
4,20311005,50,2,2,1135.5616775066208
4,20311005,50,3,3,1107.4370594768845
4,20311005,50,4,4,1081.5399618391195
4,20311005,50,5,5,1056.5522300229968
4,20311005,50,6,6,1033.39258435584
4,20311005,50,7,7,1015.1168205318236
4,20311005,50,8,8,999.4337944970861
4,20311005,50,9,9,984.91523340268
4,20311005,50,10,10,971.7733884647485
4,20311005,50,11,11,961.9198413325765
4,20311005,50,12,12,953.4221368634163
4,20311005,50,13,13,946.4441980490393
4,20311005,50,14,14,942.0551040739167
4,20311005,50,15,14,942.0551040739167
5,20311006,50,0,0,1116.3245849543937
5,20311006,50,1,1,1089.9898175067344
5,20311006,50,2,2,1065.4783373945545
5,20311006,50,3,3,1045.7706767780094
5,20311006,50,4,4,1026.6684246770653
5,20311006,50,5,5,1008.5089277880104
5,20311006,50,6,6,992.1644263189432
5,20311006,50,7,7,976.3440969105778
5,20311006,50,8,8,963.7058487786956
5,20311006,50,9,9,954.2096981991817
5,20311006,50,10,10,946.1818290288445
5,20311006,50,11,11,942.6423434235123
5,20311006,50,12,12,941.0110862042039
5,20311006,50,13,12,941.0110862042039
5,20311006,50,14,12,941.0110862042039
5,20311006,50,15,12,941.0110862042039
6,20311007,50,0,0,1187.5396364164776
6,20311007,50,1,1,1145.0061492154523
6,20311007,50,2,2,1110.9821588805426
6,20311007,50,3,3,1079.3949351613865
6,20311007,50,4,4,1051.3129388890927
6,20311007,50,5,5,1026.9021895632718
6,20311007,50,6,6,1004.2407610621356
6,20311007,50,7,7,988.8987083830629
6,20311007,50,8,8,974.1652831329777
6,20311007,50,9,9,961.9502448157916
6,20311007,50,10,10,952.1919490639445
6,20311007,50,11,11,946.4211586105275
6,20311007,50,12,12,942.154304804614
6,20311007,50,13,13,939.1265974105579
6,20311007,50,14,14,937.0140344240099
6,20311007,50,15,15,936.5582066802217
7,20311008,50,0,0,1094.3730052316562
7,20311008,50,1,1,1056.67025885343
7,20311008,50,2,2,1020.7657940219794
7,20311008,50,3,3,993.4839582630595
7,20311008,50,4,4,968.8585449952293
7,20311008,50,5,5,947.8745920661854
7,20311008,50,6,6,927.0742224056505
7,20311008,50,7,7,907.4265533475627
7,20311008,50,8,8,890.6504816556144
7,20311008,50,9,9,876.6747452269211
7,20311008,50,10,10,866.4547548229094
7,20311008,50,11,11,861.4854973098929
7,20311008,50,12,12,858.0355169949182
7,20311008,50,13,13,855.2281636507179
7,20311008,50,14,13,855.2281636507179
8,20311009,50,0,0,1133.2083280377337
8,20311009,50,1,1,1102.3812071413736
8,20311009,50,2,2,1073.5576168197558
8,20311009,50,3,3,1047.74577778261
8,20311009,50,4,4,1022.5342547397609
8,20311009,50,5,5,999.9532213601186
8,20311009,50,6,6,981.1636173689805
8,20311009,50,7,7,962.9549870173723
8,20311009,50,8,8,947.6814016258162
8,20311009,50,9,9,935.8386941946828
8,20311009,50,10,10,928.5118948821332
8,20311009,50,11,11,923.3276210166996
8,20311009,50,12,12,920.2287785017036
8,20311009,50,13,13,918.3707513138745
9,20311010,50,0,0,1135.451576607416
9,20311010,50,1,1,1099.693050859278
9,20311010,50,2,2,1065.1609055009908
9,20311010,50,3,3,1032.7671873240633
9,20311010,50,4,4,1007.6024385210694
9,20311010,50,5,5,985.8332724567094
9,20311010,50,6,6,965.9855303288107
9,20311010,50,7,7,946.4885957220519
9,20311010,50,8,8,930.813595903476
9,20311010,50,9,9,918.8316121670216
9,20311010,50,10,10,908.7096915875769
9,20311010,50,11,11,905.2920077051599
9,20311010,50,12,12,903.7270026018589
9,20311010,50,13,13,902.8188919238632
0,20361001,100,0,0,2399.102716488748
0,20361001,100,1,1,2355.4144091530175
0,20361001,100,2,2,2320.7304625171705
0,20361001,100,3,3,2288.734981493069
0,20361001,100,4,4,2260.784065704724
0,20361001,100,5,5,2238.876312600459
0,20361001,100,6,6,2217.468825376101
0,20361001,100,7,7,2199.3066910595007
0,20361001,100,8,8,2181.672660856088
0,20361001,100,9,9,2166.407838430688
0,20361001,100,10,10,2153.31695977225
0,20361001,100,11,11,2142.2460663150932
0,20361001,100,12,12,2131.5813550380517
0,20361001,100,13,13,2123.095377146602
0,20361001,100,14,14,2117.2573912516114
0,20361001,100,15,15,2114.3584981242375
0,20361001,100,16,16,2113.799763441339
1,20361002,100,0,0,2384.2553383586096
1,20361002,100,1,1,2345.2402415256624
1,20361002,100,2,2,2307.010570043013
1,20361002,100,3,3,2270.01711211714
1,20361002,100,4,4,2235.5602270701934
1,20361002,100,5,5,2206.6750800356012
1,20361002,100,6,6,2179.834040472276
1,20361002,100,7,7,2153.717555041865
1,20361002,100,8,8,2132.520828274669
1,20361002,100,9,9,2112.5895676890855
1,20361002,100,10,10,2098.4145665596784
1,20361002,100,11,11,2085.16494440519
1,20361002,100,12,12,2074.655012422407
1,20361002,100,13,13,2064.930179955712
1,20361002,100,14,14,2058.8532677815456
1,20361002,100,15,15,2055.6266099255567
1,20361002,100,16,16,2053.479691549307
1,20361002,100,17,16,2053.479691549307
2,20361003,100,0,0,2278.0689585245746
2,20361003,100,1,1,2253.2383448226524
2,20361003,100,2,2,2229.472232871654
2,20361003,100,3,3,2205.981915422179
2,20361003,100,4,4,2182.7595300394996
2,20361003,100,5,5,2161.6800818385364
2,20361003,100,6,6,2140.6173842993107
2,20361003,100,7,7,2120.8955069990557
2,20361003,100,8,8,2102.4843887133957
2,20361003,100,9,9,2085.334897623313
2,20361003,100,10,10,2069.460768727441
2,20361003,100,11,11,2055.422945966038
2,20361003,100,12,12,2042.8051732030322
2,20361003,100,13,13,2033.280717073753
