trial,seed,n_users,method,offloading_size
0,20275000,10,Algorithm2,6
0,20275000,10,UBRD,8
0,20275000,10,VI,5
0,20275000,10,PEN,5
0,20275000,10,CS,6
1,20275001,10,Algorithm2,5
1,20275001,10,UBRD,6
1,20275001,10,VI,5
1,20275001,10,PEN,5
1,20275001,10,CS,5
2,20275002,10,Algorithm2,5
2,20275002,10,UBRD,5
2,20275002,10,VI,5
2,20275002,10,PEN,4
2,20275002,10,CS,5
3,20275003,10,Algorithm2,5
3,20275003,10,UBRD,6
3,20275003,10,VI,5
3,20275003,10,PEN,5
3,20275003,10,CS,5
4,20275004,10,Algorithm2,6
4,20275004,10,UBRD,7
4,20275004,10,VI,5
4,20275004,10,PEN,5
4,20275004,10,CS,6
5,20275005,10,Algorithm2,5
5,20275005,10,UBRD,6
5,20275005,10,VI,3
5,20275005,10,PEN,4
5,20275005,10,CS,5
6,20275006,10,Algorithm2,4
6,20275006,10,UBRD,4
6,20275006,10,VI,4
6,20275006,10,PEN,4
6,20275006,10,CS,4
7,20275007,10,Algorithm2,7
7,20275007,10,UBRD,7
7,20275007,10,VI,6
7,20275007,10,PEN,6
7,20275007,10,CS,7
8,20275008,10,Algorithm2,8
8,20275008,10,UBRD,8
8,20275008,10,VI,7
8,20275008,10,PEN,7
8,20275008,10,CS,8
9,20275009,10,Algorithm2,6
9,20275009,10,UBRD,6
9,20275009,10,VI,5
9,20275009,10,PEN,5
9,20275009,10,CS,6
0,20285000,20,Algorithm2,11
0,20285000,20,UBRD,14
0,20285000,20,VI,11
0,20285000,20,PEN,11
1,20285001,20,Algorithm2,9
1,20285001,20,UBRD,9
1,20285001,20,VI,8
1,20285001,20,PEN,8
2,20285002,20,Algorithm2,11
2,20285002,20,UBRD,13
2,20285002,20,VI,10
2,20285002,20,PEN,10
3,20285003,20,Algorithm2,9
3,20285003,20,UBRD,12
3,20285003,20,VI,9
3,20285003,20,PEN,9
4,20285004,20,Algorithm2,11
4,20285004,20,UBRD,15
4,20285004,20,VI,11
4,20285004,20,PEN,11
5,20285005,20,Algorithm2,10
5,20285005,20,UBRD,11
5,20285005,20,VI,9
5,20285005,20,PEN,9
6,20285006,20,Algorithm2,10
6,20285006,20,UBRD,12
6,20285006,20,VI,10
6,20285006,20,PEN,9
7,20285007,20,Algorithm2,11
7,20285007,20,UBRD,13
7,20285007,20,VI,11
7,20285007,20,PEN,10
8,20285008,20,Algorithm2,10
8,20285008,20,UBRD,13
8,20285008,20,VI,9
8,20285008,20,PEN,10
9,20285009,20,Algorithm2,11
9,20285009,20,UBRD,12
9,20285009,20,VI,11
9,20285009,20,PEN,10
0,20305000,40,Algorithm2,10
0,20305000,40,UBRD,17
0,20305000,40,VI,10
0,20305000,40,PEN,10
1,20305001,40,Algorithm2,13
1,20305001,40,UBRD,18
1,20305001,40,VI,13
1,20305001,40,PEN,12
2,20305002,40,Algorithm2,12
2,20305002,40,UBRD,16
2,20305002,40,VI,12
2,20305002,40,PEN,11
3,20305003,40,Algorithm2,14
3,20305003,40,UBRD,20
3,20305003,40,VI,13
3,20305003,40,PEN,13
4,20305004,40,Algorithm2,14
4,20305004,40,UBRD,18
4,20305004,40,VI,14
4,20305004,40,PEN,14
5,20305005,40,Algorithm2,15
5,20305005,40,UBRD,19
5,20305005,40,VI,14
5,20305005,40,PEN,15
6,20305006,40,Algorithm2,13
6,20305006,40,UBRD,18
6,20305006,40,VI,13
6,20305006,40,PEN,12
7,20305007,40,Algorithm2,12
7,20305007,40,UBRD,16
7,20305007,40,VI,12
7,20305007,40,PEN,11
8,20305008,40,Algorithm2,12
8,20305008,40,UBRD,16
8,20305008,40,VI,12
8,20305008,40,PEN,10
9,20305009,40,Algorithm2,13
9,20305009,40,UBRD,17
9,20305009,40,VI,10
9,20305009,40,PEN,12
0,20325000,60,Algorithm2,15
0,20325000,60,UBRD,21
0,20325000,60,VI,13
0,20325000,60,PEN,15
1,20325001,60,Algorithm2,15
1,20325001,60,UBRD,22
1,20325001,60,VI,14
1,20325001,60,PEN,14
2,20325002,60,Algorithm2,14
2,20325002,60,UBRD,20
2,20325002,60,VI,13
2,20325002,60,PEN,12
3,20325003,60,Algorithm2,13
3,20325003,60,UBRD,19
3,20325003,60,VI,12
3,20325003,60,PEN,13
4,20325004,60,Algorithm2,18
4,20325004,60,UBRD,26
4,20325004,60,VI,17
4,20325004,60,PEN,18
5,20325005,60,Algorithm2,17
5,20325005,60,UBRD,23
5,20325005,60,VI,15
5,20325005,60,PEN,17
6,20325006,60,Algorithm2,10
6,20325006,60,UBRD,16
6,20325006,60,VI,10
6,20325006,60,PEN,10
7,20325007,60,Algorithm2,14
7,20325007,60,UBRD,19
7,20325007,60,VI,14
7,20325007,60,PEN,13
8,20325008,60,Algorithm2,15
8,20325008,60,UBRD,21
8,20325008,60,VI,14
8,20325008,60,PEN,16
9,20325009,60,Algorithm2,17
9,20325009,60,UBRD,24
9,20325009,60,VI,13
9,20325009,60,PEN,16
0,20345000,80,Algorithm2,14
0,20345000,80,UBRD,23
0,20345000,80,VI,13
0,20345000,80,PEN,14
1,20345001,80,Algorithm2,17
1,20345001,80,UBRD,25
1,20345001,80,VI,13
1,20345001,80,PEN,17
2,20345002,80,Algorithm2,18
2,20345002,80,UBRD,25
2,20345002,80,VI,15
2,20345002,80,PEN,17
3,20345003,80,Algorithm2,17
3,20345003,80,UBRD,24
3,20345003,80,VI,13
3,20345003,80,PEN,16
4,20345004,80,Algorithm2,16
4,20345004,80,UBRD,23
4,20345004,80,VI,14
4,20345004,80,PEN,14
5,20345005,80,Algorithm2,16
5,20345005,80,UBRD,24
5,20345005,80,VI,12
5,20345005,80,PEN,15
6,20345006,80,Algorithm2,17
6,20345006,80,UBRD,26
6,20345006,80,VI,13
6,20345006,80,PEN,15
7,20345007,80,Algorithm2,18
7,20345007,80,UBRD,26
7,20345007,80,VI,13
7,20345007,80,PEN,17
8,20345008,80,Algorithm2,17
8,20345008,80,UBRD,24
8,20345008,80,VI,13
8,20345008,80,PEN,15
9,20345009,80,Algorithm2,18
9,20345009,80,UBRD,25
9,20345009,80,VI,14
9,20345009,80,PEN,16
0,20365000,100,Algorithm2,17
0,20365000,100,UBRD,26
0,20365000,100,VI,17
0,20365000,100,PEN,17
1,20365001,100,Algorithm2,20
1,20365001,100,UBRD,30
1,20365001,100,VI,20
1,20365001,100,PEN,21
2,20365002,100,Algorithm2,17
2,20365002,100,UBRD,26
2,20365002,100,VI,11
2,20365002,100,PEN,15
3,20365003,100,Algorithm2,19
3,20365003,100,UBRD,27
3,20365003,100,VI,18
3,20365003,100,PEN,19
4,20365004,100,Algorithm2,20
4,20365004,100,UBRD,30
4,20365004,100,VI,19
4,20365004,100,PEN,20
5,20365005,100,Algorithm2,18
5,20365005,100,UBRD,26
5,20365005,100,VI,13
5,20365005,100,PEN,17
6,20365006,100,Algorithm2,17
6,20365006,100,UBRD,27
6,20365006,100,VI,14
6,20365006,100,PEN,17
7,20365007,100,Algorithm2,16
7,20365007,100,UBRD,22
7,20365007,100,VI,14
7,20365007,100,PEN,13
8,20365008,100,Algorithm2,18
8,20365008,100,UBRD,25
8,20365008,100,VI,9
8,20365008,100,PEN,16
9,20365009,100,Algorithm2,17
9,20365009,100,UBRD,25
9,20365009,100,VI,13
9,20365009,100,PEN,17
