n_users,method,offloading_size_mean,offloading_size_std,count
10,Algorithm2,5.7,1.1595018087284057,10
10,CS,5.7,1.1595018087284057,10
10,PEN,5.0,0.9428090415820634,10
10,UBRD,6.3,1.2516655570345725,10
10,VI,5.0,1.0540925533894598,10
20,Algorithm2,10.3,0.8232726023485646,10
20,PEN,9.7,0.9486832980505138,10
20,UBRD,12.4,1.6465452046971292,10
20,VI,9.9,1.1005049346146119,10
40,Algorithm2,12.8,1.398411797560202,10
40,PEN,12.0,1.632993161855452,10
40,UBRD,17.5,1.35400640077266,10
40,VI,12.3,1.4181364924121764,10
60,Algorithm2,14.8,2.2997584414213788,10
60,PEN,14.4,2.4585451886114367,10
60,UBRD,21.1,2.8460498941515415,10
60,VI,13.5,1.8408935028645435,10
80,Algorithm2,16.8,1.2292725943057183,10
80,PEN,15.6,1.1737877907772674,10
80,UBRD,24.5,1.0801234497346435,10
80,VI,13.3,0.8232726023485646,10
100,Algorithm2,17.9,1.3703203194062976,10
100,PEN,17.2,2.3475755815545347,10
100,UBRD,26.4,2.3664319132398464,10
100,VI,14.8,3.5839146815241634,10
