trial,seed,n_users,method,social_cost,offloading_size
0,20281000,20,Algorithm2,346.8778214660722,8
0,20281000,20,UBRD,350.11240595451943,9
0,20281000,20,VI,362.6368320252989,6
0,20281000,20,PEN,353.4599917875656,7
1,20281001,20,Algorithm2,296.8239982957772,8
1,20281001,20,UBRD,299.62370934557634,9
1,20281001,20,VI,304.1771183058938,7
1,20281001,20,PEN,303.48740834375036,7
2,20281002,20,Algorithm2,306.41693566249,8
2,20281002,20,UBRD,312.1928282718793,10
2,20281002,20,VI,306.4170815915842,8
2,20281002,20,PEN,311.4224891412242,8
0,20296000,35,Algorithm2,611.6371794604196,11
0,20296000,35,UBRD,635.2678237197802,16
0,20296000,35,VI,614.6083996688394,10
0,20296000,35,PEN,619.9320876493682,11
1,20296001,35,Algorithm2,658.210101845774,15
1,20296001,35,UBRD,685.506862481554,19
1,20296001,35,VI,705.5422831737546,11
1,20296001,35,PEN,670.6983349955086,15
2,20296002,35,Algorithm2,550.6680302050395,12
2,20296002,35,UBRD,576.9586957700078,15
2,20296002,35,VI,552.0477271910627,11
2,20296002,35,PEN,558.0359341461917,12
0,20311000,50,Algorithm2,909.4740177991598,16
0,20311000,50,UBRD,964.8092190259454,22
0,20311000,50,VI,912.3918036701418,16
0,20311000,50,PEN,919.9206958041866,15
1,20311001,50,Algorithm2,1047.6523840645657,12
1,20311001,50,UBRD,1094.3157044729144,17
1,20311001,50,VI,1054.4433447314118,12
1,20311001,50,PEN,1056.6458326744296,11
2,20311002,50,Algorithm2,1010.2210588580763,15
2,20311002,50,UBRD,1073.179102888536,21
2,20311002,50,VI,1108.130377331274,8
2,20311002,50,PEN,1020.7122867756154,14
