trial,seed,n_users,method,social_cost,offloading_size
0,20270000,8,Algorithm2,124.4003830272039,6
0,20270000,8,UBRD,124.4003830272039,6
0,20270000,8,VI,124.40038349764723,6
0,20270000,8,PEN,126.71378584698827,5
0,20270000,8,CS,124.4003830272039,6
1,20270001,8,Algorithm2,143.84834606549586,8
1,20270001,8,UBRD,143.84834606549586,8
1,20270001,8,VI,154.52682631184243,7
1,20270001,8,PEN,147.03472167693513,7
1,20270001,8,CS,143.84834606549586,8
2,20270002,8,Algorithm2,150.69617123038836,4
2,20270002,8,UBRD,150.69617123038836,4
2,20270002,8,VI,150.69618060689348,4
2,20270002,8,PEN,154.57671258610418,3
2,20270002,8,CS,150.69617123038836,4
0,20272000,10,Algorithm2,149.02800242732997,6
0,20272000,10,UBRD,149.02800242732997,6
0,20272000,10,VI,149.32140673235762,5
0,20272000,10,PEN,149.30015108489653,5
0,20272000,10,CS,149.02800242732997,6
1,20272001,10,Algorithm2,160.01436308969275,7
1,20272001,10,UBRD,168.94750386066144,9
1,20272001,10,VI,160.01440419005854,7
1,20272001,10,PEN,164.1724354483515,6
1,20272001,10,CS,160.01436308969275,7
2,20272002,10,Algorithm2,144.39946343472866,8
2,20272002,10,UBRD,144.39946343472866,8
2,20272002,10,VI,144.3994897885614,8
2,20272002,10,PEN,147.93271158536072,7
2,20272002,10,CS,144.39946343472866,8
0,20274000,12,Algorithm2,180.7172809899862,8
0,20274000,12,UBRD,181.2922477655434,9
0,20274000,12,VI,187.14211741229008,7
0,20274000,12,PEN,183.26545089021783,8
0,20274000,12,CS,180.7172809899862,8
1,20274001,12,Algorithm2,177.18390633990646,5
1,20274001,12,UBRD,177.18390633990646,5
1,20274001,12,VI,190.18379743104524,2
1,20274001,12,PEN,178.7677885757275,4
1,20274001,12,CS,177.18390633990646,5
2,20274002,12,Algorithm2,181.7702666902323,7
2,20274002,12,UBRD,184.3564584895106,8
2,20274002,12,VI,181.7702746248508,7
2,20274002,12,PEN,186.50920834964506,6
2,20274002,12,CS,181.7702666902323,7
