n_users,trial,seed,round,updates,social_cost,avg_gain,max_gain,offloading_size,total_f,total_b
100,1,10002027,0,0,2398.5979022119623,9.306544682513884,39.762119573656406,0,0.0,0.0
100,1,10002027,1,4,2381.461720244479,0.0,0.0,4,24.523692235646017,40.0
100,2,10002028,0,0,2448.018625436728,10.078727554738762,36.65629778802811,0,0.0,0.0
100,2,10002028,1,6,2399.812177525042,0.0,0.0,6,37.78206854874128,40.0
100,3,10002029,0,0,2263.193778575451,8.410003598110734,44.9580114307842,0,0.0,0.0
100,3,10002029,1,6,2180.8678836893127,1.7763568394002505e-17,1.7763568394002505e-15,6,41.008156387055095,40.0
100,4,10002030,0,0,2179.1740933209767,7.874425444420958,39.266223788647764,0,0.0,0.0
100,4,10002030,1,5,2120.475226311761,0.0,0.0,5,28.594202817540168,40.0
100,5,10002031,0,0,2304.9264083060884,8.324738826262443,43.16147311757267,0,0.0,0.0
100,5,10002031,1,5,2259.7160518774067,1.7763568394002505e-17,1.7763568394002505e-15,5,28.678490189830956,40.0
100,6,10002032,0,0,2230.160510043283,8.736014601062307,42.846580695604466,0,0.0,0.0
100,6,10002032,1,5,2150.538682673378,0.0,0.0,5,31.601933853896373,40.0
100,7,10002033,0,0,2344.0170781002203,9.00864900813847,31.826315927664943,0,0.0,0.0
100,7,10002033,1,5,2282.5196265556056,1.7763568394002505e-17,1.7763568394002505e-15,5,36.27507092834523,40.0
100,8,10002034,0,0,2318.14863808339,9.337157916227955,42.57032461523167,0,0.0,0.0
100,8,10002034,1,7,2185.0919741873913,0.0,0.0,7,46.60315865806329,40.0
100,9,10002035,0,0,2376.6801739476573,9.509309366087086,43.75546746773574,0,0.0,0.0
100,9,10002035,1,5,2323.9408398323794,5.329070518200751e-17,3.552713678800501e-15,5,30.868467562763975,40.0
100,10,10002036,0,0,2451.212528849909,10.041912930474863,46.378003719198745,0,0.0,0.0
100,10,10002036,1,6,2397.0108802187387,3.552713678800501e-17,3.552713678800501e-15,6,32.763004917313516,40.0
100,11,10002037,0,0,2466.7033552100706,9.702536673517871,41.67656193611177,0,0.0,0.0
100,11,10002037,1,5,2404.907882016,0.0,0.0,5,30.184596071274015,40.0
100,12,10002038,0,0,2163.2669232340927,7.700946070542024,40.224347779439526,0,0.0,0.0
100,12,10002038,1,4,2141.254009924692,1.7763568394002505e-17,1.7763568394002505e-15,4,23.873821448997212,40.0
100,13,10002039,0,0,2436.3467379538797,9.905537241939834,45.29901362533343,0,0.0,0.0
100,13,10002039,1,6,2374.9836095729233,5.329070518200751e-17,3.552713678800501e-15,6,40.38822937272304,40.0
100,14,10002040,0,0,2338.881828391234,9.504849640493019,41.51656351621927,0,0.0,0.0
100,14,10002040,1,6,2239.029736656632,1.7763568394002505e-17,1.7763568394002505e-15,6,41.32583258925576,40.0
100,15,10002041,0,0,2421.7348459532554,9.42675015211831,45.58925457538059,0,0.0,0.0
100,15,10002041,1,6,2338.374716374673,0.0,0.0,6,36.29796271533644,40.0
100,16,10002042,0,0,2246.0874802604953,8.15395348373314,39.2504385037453,0,0.0,0.0
100,16,10002042,1,5,2212.0662927289204,0.0,0.0,5,26.83400881910025,40.0
100,17,10002043,0,0,2288.600250652708,9.075370527057679,48.11746524119563,0,0.0,0.0
100,17,10002043,1,6,2252.5006240276725,3.552713678800501e-17,1.7763568394002505e-15,6,34.00524182310309,40.0
100,18,10002044,0,0,2272.7345825711313,8.506440481439288,36.658347470786836,0,0.0,0.0
100,18,10002044,1,5,2199.8350893105,0.0,0.0,5,33.98408629708503,40.0
100,19,10002045,0,0,2322.333593468657,8.500775317403573,45.21112928314923,0,0.0,0.0
100,19,10002045,1,4,2266.8126464089114,1.7763568394002505e-17,1.7763568394002505e-15,4,26.740119604729212,40.0
100,20,10002046,0,0,2311.2569696960454,8.684057446330236,39.06492042125804,0,0.0,0.0
100,20,10002046,1,5,2278.746464422523,0.0,0.0,5,31.711249148667438,40.0
