trial,seed,n_users,method,runtime_sec
0,20274000,10,Algorithm2,0.013851599767804146
0,20274000,10,UBRD,0.002728000283241272
0,20274000,10,VI,0.010888899676501751
0,20274000,10,PEN,0.6607653996907175
0,20274000,10,CS,189.89852389972657
1,20274001,10,Algorithm2,0.025625699665397406
1,20274001,10,UBRD,0.005586499813944101
1,20274001,10,VI,0.015858699567615986
1,20274001,10,PEN,1.0933985002338886
1,20274001,10,CS,86.86639760015532
2,20274002,10,Algorithm2,0.006566300056874752
2,20274002,10,UBRD,0.0025173998437821865
2,20274002,10,VI,0.013961900025606155
2,20274002,10,PEN,1.0703314999118447
2,20274002,10,CS,119.4388129003346
3,20274003,10,Algorithm2,0.006310999859124422
3,20274003,10,UBRD,0.002572299912571907
3,20274003,10,VI,0.005628799553960562
3,20274003,10,PEN,0.9681689999997616
3,20274003,10,CS,131.6194688002579
4,20274004,10,Algorithm2,0.01578690018504858
4,20274004,10,UBRD,0.0060119000263512135
4,20274004,10,VI,0.021986799780279398
4,20274004,10,PEN,0.03099469980224967
4,20274004,10,CS,110.07079719984904
0,20284000,20,Algorithm2,0.02248709974810481
0,20284000,20,UBRD,0.008866399992257357
0,20284000,20,VI,0.00971050001680851
0,20284000,20,PEN,1.9684482999145985
1,20284001,20,Algorithm2,0.047266699839383364
1,20284001,20,UBRD,0.019938800018280745
1,20284001,20,VI,0.019859599880874157
1,20284001,20,PEN,1.5346017996780574
2,20284002,20,Algorithm2,0.027120899874716997
2,20284002,20,UBRD,0.008570899721235037
2,20284002,20,VI,0.020119700115174055
2,20284002,20,PEN,1.619068999774754
3,20284003,20,Algorithm2,0.031272499822080135
3,20284003,20,UBRD,0.020669799763709307
3,20284003,20,VI,0.0121288001537323
3,20284003,20,PEN,1.7793977004475892
4,20284004,20,Algorithm2,0.029983399901539087
4,20284004,20,UBRD,0.021209399681538343
4,20284004,20,VI,0.03668919997289777
4,20284004,20,PEN,1.5605314001441002
0,20314000,50,Algorithm2,0.0479950001463294
0,20314000,50,UBRD,0.07746850000694394
0,20314000,50,VI,0.026668600272387266
0,20314000,50,PEN,4.182074199896306
1,20314001,50,Algorithm2,0.046115399803966284
1,20314001,50,UBRD,0.09058169974014163
1,20314001,50,VI,0.06072769965976477
1,20314001,50,PEN,4.449554500170052
2,20314002,50,Algorithm2,0.08456189977005124
2,20314002,50,UBRD,0.07071799971163273
2,20314002,50,VI,0.07456269999966025
2,20314002,50,PEN,5.364762700162828
3,20314003,50,Algorithm2,0.07103739958256483
3,20314003,50,UBRD,0.10906859999522567
3,20314003,50,VI,0.08379069995135069
3,20314003,50,PEN,5.354795199818909
4,20314004,50,Algorithm2,0.04488909989595413
4,20314004,50,UBRD,0.07711669988930225
4,20314004,50,VI,0.085941799916327
4,20314004,50,PEN,4.204790299758315
0,20364000,100,Algorithm2,0.07183110015466809
0,20364000,100,UBRD,0.34024159982800484
0,20364000,100,VI,0.2196949003264308
0,20364000,100,PEN,9.718442500103265
1,20364001,100,Algorithm2,0.09197260020300746
1,20364001,100,UBRD,0.25267939968034625
1,20364001,100,VI,0.18440519971773028
1,20364001,100,PEN,8.365449199918658
2,20364002,100,Algorithm2,0.11327609978616238
2,20364002,100,UBRD,0.3590942998416722
2,20364002,100,VI,0.2548736003227532
2,20364002,100,PEN,9.939366400241852
3,20364003,100,Algorithm2,0.0497987000271678
3,20364003,100,UBRD,0.2673008996061981
3,20364003,100,VI,0.1531012998893857
3,20364003,100,PEN,10.496869599912316
4,20364004,100,Algorithm2,0.10502889985218644
4,20364004,100,UBRD,0.37185700004920363
4,20364004,100,VI,0.2759262998588383
4,20364004,100,PEN,9.87589649995789
0,20464000,200,Algorithm2,0.1660237996838987
0,20464000,200,UBRD,1.2549940003082156
0,20464000,200,VI,0.059009999968111515
0,20464000,200,PEN,19.418192400131375
1,20464001,200,Algorithm2,0.10988160036504269
1,20464001,200,UBRD,1.1584930000826716
1,20464001,200,VI,0.056393999606370926
1,20464001,200,PEN,18.036289600189775
2,20464002,200,Algorithm2,0.17906649969518185
2,20464002,200,UBRD,1.3873510002158582
2,20464002,200,VI,0.05678700003772974
2,20464002,200,PEN,19.990372099913657
3,20464003,200,Algorithm2,0.2064843000844121
3,20464003,200,UBRD,1.4048643000423908
3,20464003,200,VI,0.13939550006762147
3,20464003,200,PEN,19.576415699906647
4,20464004,200,Algorithm2,0.17014919966459274
4,20464004,200,UBRD,1.372707599774003
4,20464004,200,VI,0.0850647003389895
4,20464004,200,PEN,19.197081099729985
0,20764000,500,Algorithm2,0.2565139001235366
0,20764000,500,UBRD,8.022937499918044
0,20764000,500,VI,0.22320290002971888
0,20764000,500,PEN,53.023887699935585
1,20764001,500,Algorithm2,0.19424459990113974
1,20764001,500,UBRD,8.536416500341147
1,20764001,500,VI,0.25810009986162186
1,20764001,500,PEN,53.5037783998996
2,20764002,500,Algorithm2,0.2740665003657341
2,20764002,500,UBRD,8.788900299929082
2,20764002,500,VI,0.2345774001441896
2,20764002,500,PEN,56.37763520004228
3,20764003,500,Algorithm2,0.20190960029140115
3,20764003,500,UBRD,8.520098799839616
3,20764003,500,VI,0.2596142999827862
3,20764003,500,PEN,51.30504379980266
4,20764004,500,Algorithm2,0.3243909003213048
4,20764004,500,UBRD,9.246501199901104
4,20764004,500,VI,0.2315265997312963
4,20764004,500,PEN,54.799243399873376
