trial,seed,method,pE,pN,n_users,F,B,social_cost,offloading_size,epsilon_proxy,runtime_sec,esp_revenue,nsp_revenue
0,2026,DG,0.1,0.5,100,100.0,40.0,1944.4809601033949,17.0,803.3787120571787,0.20228519989177585,9.000000000000002,19.599999999999998
0,2026,UBRD,0.1,0.5,100,100.0,40.0,2068.5612341365854,27.0,854.8818454245617,0.19741109991446137,9.000000000000002,19.6
0,2026,VI,0.1,0.5,100,100.0,40.0,2004.2251313248178,15.0,797.8132260163475,0.13579299999400973,5.3483607026518625,17.29929073989973
0,2026,PEN,0.1,0.5,100,100.0,40.0,1960.8655685635185,17.0,788.0175716865342,7.815749099943787,8.554608134716968,18.912110848086655
0,2026,DG,0.5,0.5,100,100.0,40.0,1966.6771398193766,16.0,427.32710438891064,0.4906771997921169,49.00000000000001,19.599999999999998
0,2026,UBRD,0.5,0.5,100,100.0,40.0,2033.9846739133225,26.0,454.1934555397177,0.355046299751848,49.00000000000001,19.6
0,2026,VI,0.5,0.5,100,100.0,40.0,1978.1009921959796,15.0,453.25087937540275,0.24054829962551594,34.739208364216324,17.514848222683572
0,2026,PEN,0.5,0.5,100,100.0,40.0,1976.5929445718846,15.0,457.4358274488535,11.573885399848223,46.31040189158973,18.067789602764996
0,2026,DG,1.0,0.5,100,100.0,40.0,2080.1553433883146,17.0,547.0943637426412,0.27369699999690056,86.761019590267,19.6
0,2026,UBRD,1.0,0.5,100,100.0,40.0,2178.8768256706467,26.0,579.0026824682467,0.3407712001353502,99.00000000000001,19.600000000000005
0,2026,VI,1.0,0.5,100,100.0,40.0,2079.2780823399357,17.0,550.4019778809677,0.18572730012238026,86.61150754107643,19.599917166266803
0,2026,PEN,1.0,0.5,100,100.0,40.0,2092.3386023763055,15.0,522.2939285722849,7.383524599950761,75.68712922243121,18.86485225813714
1,2027,DG,0.1,0.5,100,100.0,40.0,1980.5051529972875,18.0,1681.3807162486646,0.3180947001092136,9.000000000000002,19.6
1,2027,UBRD,0.1,0.5,100,100.0,40.0,2091.0592928889637,26.0,1793.6139751297535,0.300721799954772,9.0,19.6
