step,pE,pN,nearest_grid_pE,nearest_grid_pN,nearest_grid_eps
0,0.5,0.5,0.5033557047,0.5033557047,164.2057909
1,0.5,1.572238596,0.5033557047,1.610738255,119.9104889
2,0.5,2.376417543,0.5033557047,2.416107383,87.69572375
3,0.5,2.979551753,0.5033557047,3.020134228,72.09696545
4,0.9678251333,2.979551753,1.006711409,3.020134228,55.67059096
5,0.9678251333,3.462397077,1.006711409,3.422818792,39.56320841
6,0.9678251333,3.82453107,1.006711409,3.825503356,23.45582586
7,0.9678251333,4.096131564,1.006711409,4.127516779,14.71340989
8,1.086483525,4.096131564,1.10738255,4.127516779,10.21832271
9,1.175477318,4.096131564,1.208053691,4.127516779,5.926832039
10,1.242222664,4.096131564,1.208053691,4.127516779,5.926832039
11,1.242222664,4.175002341,1.208053691,4.127516779,5.926832039
12,1.242222664,4.234155423,1.208053691,4.228187919,8.630353558
13,1.242222664,4.278520234,1.208053691,4.228187919,8.630353558
14,1.242222664,4.311793843,1.208053691,4.32885906,6.009182823
15,1.242222664,4.33674905,1.208053691,4.32885906,6.009182823
16,1.242222664,4.355465455,1.208053691,4.32885906,6.009182823
17,1.242222664,4.369502758,1.208053691,4.32885906,6.009182823
18,1.242222664,4.380030736,1.208053691,4.429530201,6.009182823
19,1.242222664,4.38792672,1.208053691,4.429530201,6.009182823
20,1.242222664,4.393848707,1.208053691,4.429530201,6.009182823
