step,pE,pN,nearest_grid_pE,nearest_grid_pN,nearest_grid_eps
0,0.5,0.5,0.5033557047,0.5033557047,164.2057909
1,6.937171847,0.5,6.946308725,0.5033557047,32.2147651
2,7.164262545,0.5,7.147651007,0.5033557047,31.66844661
3,7.164262545,0.5,7.147651007,0.5033557047,31.66844661
4,7.164262545,0.5,7.147651007,0.5033557047,31.66844661
5,7.164262545,0.5,7.147651007,0.5033557047,31.66844661
6,7.164262545,0.5,7.147651007,0.5033557047,31.66844661
7,7.164262545,0.5,7.147651007,0.5033557047,31.66844661
8,7.164262545,0.5,7.147651007,0.5033557047,31.66844661
9,7.164262545,0.5,7.147651007,0.5033557047,31.66844661
10,7.164262545,0.5,7.147651007,0.5033557047,31.66844661
