step,pE,pN,nearest_grid_pE,nearest_grid_pN,nearest_grid_eps
0,0.5,0.5,0.5033557047,0.5033557047,164.2057909
1,0.5,1.572238596,0.5033557047,1.610738255,119.9104889
2,1.32128294,1.572238596,1.308724832,1.610738255,94.47563969
3,1.32128294,2.249880358,1.308724832,2.214765101,70.31456586
4,1.937245145,2.249880358,1.912751678,2.214765101,48.88467842
5,1.937245145,2.528900371,1.912751678,2.516778523,36.80414151
6,2.266326953,2.528900371,2.315436242,2.516778523,24.11906287
7,2.266326953,2.663528631,2.315436242,2.617449664,20.09221723
8,2.375432287,2.663528631,2.416107383,2.617449664,16.7569185
9,2.375432287,2.741686352,2.416107383,2.718120805,12.73007286
10,2.435352142,2.741686352,2.416107383,2.718120805,12.73007286
